table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_9_employees,field_10_49_employees,field_50_249_employees,field_250_or_more_employees
5682,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['    257,725,139 ', '&nbsp;']","['    47,128 ', '&nbsp;']","['    10,540,042 ', '&nbsp;']","['    14,105,821 ', '&nbsp;']","['    233,032,148 ', '&nbsp;']"
5682,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['    84,504,901 ', '&nbsp;']","['    13,256 ', 'r']","['    2,265,853 ', '&nbsp;']","['    5,546,151 ', '&nbsp;']","['    76,679,641 ', '&nbsp;']"
5682,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['    3,281,200 ', '&nbsp;']","['    442 ', 'r']","['    24,785 ', '&nbsp;']","['    1,362,384 ', 'r']","['    1,893,589 ', '&nbsp;']"
5682,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['    76,747 ', '&nbsp;']","['D', '&nbsp;']","['    31,230 ', '&nbsp;']","['    34,474 ', '&nbsp;']","['    11,017 ', '&nbsp;']"
5682,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['    139,734 ', '&nbsp;']","['    0 ', '&nbsp;']","['    13,127 ', '&nbsp;']","['    28,991 ', '&nbsp;']","['    97,616 ', '&nbsp;']"
5682,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['    181,550 ', '&nbsp;']","['    0 ', '&nbsp;']","['    2,697 ', '&nbsp;']","['    7,466 ', '&nbsp;']","['    171,388 ', '&nbsp;']"
5682,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['    3,861,578 ', '&nbsp;']","['    0 ', '&nbsp;']","['    13,092 ', 'r']","['    38,438 ', 'r']","['    3,810,047 ', '&nbsp;']"
5682,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['    69,939 ', '&nbsp;']","['    0 ', '&nbsp;']","['    10,516 ', '&nbsp;']","['    13,193 ', '&nbsp;']","['    46,230 ', '&nbsp;']"
5682,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['    107,464 ', '&nbsp;']","['    0 ', '&nbsp;']","['    2,431 ', '&nbsp;']","['    3,652 ', '&nbsp;']","['    101,380 ', '&nbsp;']"
5682,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['    24,212,216 ', '&nbsp;']","['    12,471 ', 'r']","['    156,093 ', '&nbsp;']","['    726,460 ', 'r']","['    23,317,192 ', '&nbsp;']"
