table_id,row_id,type_of_institution_full_path,type_of_institution_level_1,type_of_institution_level_2,type_of_institution_level_3,type_of_institution_hierarchy_depth,field_institutions_with_research_spacea,field_institutions_with_research_space_shared_with_other_fields_number,field_institutions_with_research_space_shared_with_other_fields_percent,field_institutions_with_research_space_also_used_for_nonresearch_purposes_number,field_institutions_with_research_space_also_used_for_nonresearch_purposes_percent
3024,r001,All institutions,All institutions,,,1,569,314,55,355,62
3024,r002,All institutions -> Doctorate granting,All institutions,Doctorate granting,,2,435,243,56,268,62
3024,r003,All institutions -> Doctorate granting -> Public,All institutions,Doctorate granting,Public,3,299,169,57,181,61
3024,r004,All institutions -> Doctorate granting -> Private,All institutions,Doctorate granting,Private,3,136,74,54,87,64
3024,r005,All institutions -> Nondoctorate granting,All institutions,Nondoctorate granting,,2,134,71,53,87,65
