table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_companies_u_s_totala_number_,field__,field_united_states,field__,field_nebraska,field__,field_nevada,field__,field_new_hampshire,field__,field_new_jersey,field__,field_new_mexico,field__,field_new_york,field__,field_north_carolina,field__,field_north_dakota,field__,field_ohio,field__,field_oklahoma,field__,field_oregon,field__,field_pennsylvania,field__,field_rhode_island,field__,field_south_carolina,field__,field_south_dakota,field__,field_tennessee,field__,field_texas,field__,field_utah,field__,field_vermont,field__,field_virginia,field__,field_washington,field__,field_west_virginia,field__,field_wisconsin,field__,field_wyoming,field__,field_undistributedb
9670,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81",29860,,527804,,1004,,757,,1461,,20091,,1351,,23939,,9812,,330,,7814,,969,,10954,,14541,,689,,1601,,213,,1802,,24495,,3730,,434,,6330,,47644,,435,i ,5723,,88,,712
9670,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,14980,,287666,,311,,274,,947,,14456,,1110,,8749,,5805,,175,,5975,,613,,8953,,11010,,623,,1164,,155,,1104,,13615,,1639,,233,,1806,,5506,,369,i ,3736,,47,,375
9670,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,880,,"4,963 - 4,968",,60,,3,e ,13,,232,,0 - 247,e ,60,,132,,4,,156,,80,,18,,91,,1,e ,13,,4,,44,,45,,10,,5,,88,,48,,0.05,e ,110,,0.05,e ,0 - 242
9670,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,190,,1228,,0.05,e ,0.05,e ,0.05,e ,1,e ,0 - 24,r ,323,,84,,0.05,e ,0.05,e ,1,i ,1,e ,3,,0.05,e ,0.05,e ,0.05,e ,0.05,e ,206,,0.05,e ,0.05,e ,116,,57,,0.05,e ,12,,0.05,e ,0 - 24
9670,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,300,,818,,0.05,e ,0.05,e ,3,,23,,0.05,e ,29,,61,,0.05,e ,89,,2,,18,,9,,1,e ,63,,0.05,e ,3,e ,8,,8,,5,,1,e ,14,,0.05,e ,20,,0.05,e ,0 - 30
9670,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,150,,433 - 442,,1,e ,1,e ,2,e ,2,e ,0 - 39,e ,15,r ,19,,6,,10,e ,1,e ,16,,13,e ,0.05,e ,7,,1,e ,9,e ,29,,2,e ,1,e ,17,,12,,2,e ,20,,0.05,e ,0 - 39
9670,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,120,,1139,,1,,0.05,,2,,21,,0.05,e ,31,,36,,0.05,,18,,1,,0.05,i ,23,,3,,205,,0.05,e ,9,,16,,0.05,r ,1,,117,,15,,0.05,e ,358,,0.05,e ,8
9670,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,170,,196 - 205,i ,0.05,e ,2,i ,0.05,i ,1,i ,0.05,e ,6,,7,,0.05,e ,2,i ,0.05,e ,2,,15,,0.05,e ,5,i ,0.05,e ,12,,12,,2,i ,0.05,r ,0.05,i ,4,,3,i ,12,,0.05,e ,0 - 26
9670,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,110,,952,,0.05,e ,1,,0.05,e ,310,,0.05,e ,0.05,e ,0.05,e ,0,,5,,49,,2,,7,,0.05,e ,9,,0.05,e ,0.05,e ,448,,5,,0,,1,,0.05,e ,0.05,e ,2,,0,,9
9670,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,2120,,97097,,93,,20,i ,64,,11770,,15,,4044,,2077,,5,,2705,,22,,82,,8085,,245,,268,i ,37,,331,i ,1229,,451,,17,,425,i ,1752,,331,i ,547,,2,,19 - 207
