table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_science_occupations_total_number,field_science_occupations_total_se,field_science_occupations_biological_agricultural_and_other_life_scientist_number,field_science_occupations_biological_agricultural_and_other_life_scientist_se,field_science_occupations_computer_and_information_scientist_number,field_science_occupations_computer_and_information_scientist_se,field_science_occupations_mathematical_scientist_number,field_science_occupations_mathematical_scientist_se,field_science_occupations_physical_scientist_number,field_science_occupations_physical_scientist_se,field_science_occupations_psychologist_number,field_science_occupations_psychologist_se,field_science_occupations_social_scientist_number,field_science_occupations_social_scientist_se,field_engineering_occupations_number,field_engineering_occupations_se,field_s_e_related_occupations_number,field_s_e_related_occupations_se,field_non_s_e_occupations_number,field_non_s_e_occupations_se
3722,r001,Doctorate recipient,Doctorate recipient,,,,1,857200,1975,492750,2500,156650,1525,63000,1100,41400,750,84550,1275,77600,950,69500,1025,120650,1375,92350,1475,151500,1650
3722,r002,Doctorate recipient -> Sex,Doctorate recipient,Sex,,,2,,,,,,,,,,,,,,,,,,,,,,
3722,r003,Doctorate recipient -> Sex -> Male,Doctorate recipient,Sex,Male,,3,546050,1750,304050,1950,90050,1175,52650,1000,28950,725,63850,1125,29800,700,38750,800,101600,1400,51600,1200,88750,1450
3722,r004,Doctorate recipient -> Sex -> Female,Doctorate recipient,Sex,Female,,3,311200,1200,188700,1400,66650,925,10350,475,12450,425,20650,500,47850,850,30750,625,19000,625,40750,850,62750,1100
3722,r005,Doctorate recipient -> Ethnicity,Doctorate recipient,Ethnicity,,,2,,,,,,,,,,,,,,,,,,,,,,
3722,r006,Doctorate recipient -> Ethnicity -> Hispanic or Latino<sup>a</sup>,Doctorate recipient,Ethnicity,Hispanic or Latino<sup>a</sup>,,3,37250,550,22750,475,7300,300,1700,150,1650,150,3250,200,4550,225,4300,250,4700,275,3700,225,6050,300
3722,r007,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup>,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,,3,,,,,,,,,,,,,,,,,,,,,,
3722,r008,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,4,1300,125,600,100,100,25,,,,,50,25,200,75,250,75,100,50,200,50,400,75
3722,r009,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup> -> Asian,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,Asian,4,213350,1325,113550,1500,39550,900,28950,850,14500,575,17550,700,4400,350,8600,425,49650,1150,22000,850,28150,850
3722,r010,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,Black or African American,4,31100,400,16350,400,4450,225,1050,125,1100,125,2300,200,3450,225,4050,250,2900,175,4150,225,7650,350
3722,r011,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup> -> White,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,White,4,562350,1750,332600,2075,102750,1250,30700,725,23700,625,60350,1025,63850,950,51250,900,61850,1125,60950,1125,106950,1525
3722,r012,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,4,11950,400,6900,300,2500,175,650,100,450,75,1050,125,1150,150,1100,125,1400,200,1300,125,2350,175
3722,r013,Doctorate recipient -> Age,Doctorate recipient,Age,,,2,,,,,,,,,,,,,,,,,,,,,,
3722,r014,Doctorate recipient -> Age -> Under 35,Doctorate recipient,Age,Under 35,,3,99050,1050,63200,950,22600,550,10100,425,7150,325,11350,450,6150,375,5850,350,19100,650,7600,375,9100,475
3722,r015,Doctorate recipient -> Age -> 35&#8211;39,Doctorate recipient,Age,35&#8211;39,,3,128800,1375,79050,1125,26900,625,12950,575,7450,375,12650,500,9550,500,9550,425,22150,800,12450,600,15150,500
3722,r016,Doctorate recipient -> Age -> 40&#8211;44,Doctorate recipient,Age,40&#8211;44,,3,117500,1325,71750,1150,25650,800,9000,500,6450,375,11400,500,9250,450,10000,475,16900,725,12150,575,16700,600
3722,r017,Doctorate recipient -> Age -> 45&#8211;49,Doctorate recipient,Age,45&#8211;49,,3,108400,1450,62100,1200,19400,650,7650,425,5050,325,9850,450,9900,625,10250,500,13850,650,11950,500,20450,675
3722,r018,Doctorate recipient -> Age -> 50&#8211;54,Doctorate recipient,Age,50&#8211;54,,3,100900,1375,52050,1100,15800,575,6700,450,3550,250,8900,500,8500,450,8550,500,13700,625,12900,550,22250,675
3722,r019,Doctorate recipient -> Age -> 55&#8211;59,Doctorate recipient,Age,55&#8211;59,,3,101950,1400,53850,1175,16150,625,7050,425,4450,375,10250,550,8300,475,7650,450,14200,575,12050,550,21900,750
