table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_agencies,field_doc,field_dod,field_dot,field_hhs,field_nsf,field_usda
11231,r001,All institutions,All institutions,,1,-,1942928,33430,853,1582,1136253,630984,139826
11231,r002,All institutions -> U. Washington,All institutions,U. Washington,2,1,51354,0,0,0,45421,5618,315
11231,r003,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,2,40165,0,0,0,37665,2500,0
11231,r004,All institutions -> Johns Hopkins U.,All institutions,Johns Hopkins U.,2,3,39273,3606,0,0,34201,1466,0
11231,r005,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,4,38811,16098,0,0,15244,7339,131
11231,r006,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,5,37174,0,0,0,31778,4835,562
11231,r007,"All institutions -> U. North Carolina, The, Chapel Hill",All institutions,"U. North Carolina, The, Chapel Hill",2,6,31918,0,0,0,31431,486,0
11231,r008,All institutions -> Vanderbilt U.,All institutions,Vanderbilt U.,2,7,31510,0,0,0,29115,2396,0
11231,r009,All institutions -> U. Minnesota,All institutions,U. Minnesota,2,8,27885,0,0,0,19254,5186,3445
11231,r010,All institutions -> U. Michigan,All institutions,U. Michigan,2,9,26810,0,100,0,24249,2434,27
11231,r011,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,10,25564,0,0,0,22077,3487,0
11231,r012,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,11,24812,0,0,0,12039,12773,0
11231,r013,All institutions -> Yale U.,All institutions,Yale U.,2,12,23133,0,0,0,23085,48,0
11231,r014,All institutions -> Harvard U.,All institutions,Harvard U.,2,13,23101,0,0,0,22260,841,0
11231,r015,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,14,23024,0,0,0,20004,3020,0
11231,r016,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,15,22031,0,0,0,13749,8260,23
11231,r017,"All institutions -> U. Utah, The",All institutions,"U. Utah, The",2,16,21697,0,0,0,20002,1694,0
11231,r018,"All institutions -> Northwestern U., Evanston",All institutions,"Northwestern U., Evanston",2,17,21413,0,0,0,20550,862,0
11231,r019,All institutions -> U. Pittsburgh,All institutions,U. Pittsburgh,2,18,20678,0,0,0,20216,462,0
11231,r020,All institutions -> Emory U.,All institutions,Emory U.,2,19,19649,0,0,0,19647,2,0
11231,r021,All institutions -> Stanford U.,All institutions,Stanford U.,2,20,16777,0,0,0,16142,635,0
11231,r022,"All institutions -> Cornell U., Ithaca",All institutions,"Cornell U., Ithaca",2,21,16547,0,0,0,10866,4675,1006
11231,r023,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,22,16012,0,0,0,15245,580,186
11231,r024,"All institutions -> U. Maryland, College Park",All institutions,"U. Maryland, College Park",2,23,14055,8316,0,0,915,2228,2596
11231,r025,All institutions -> Duke U.,All institutions,Duke U.,2,24,13536,0,0,0,11287,2249,0
11231,r026,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,25,13421,0,0,0,5758,3225,4438
11231,r027,"All institutions -> Ohio State U., The",All institutions,"Ohio State U., The",2,26,13418,0,0,0,6550,3734,3133
11231,r028,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,27,13360,0,0,0,1538,10744,1078
11231,r029,All institutions -> U. New Mexico,All institutions,U. New Mexico,2,28,12759,0,0,0,12167,592,0
11231,r030,All institutions -> U. Arizona,All institutions,U. Arizona,2,29,12725,0,0,0,8085,3194,1445
11231,r031,All institutions -> U. Iowa,All institutions,U. Iowa,2,30,12662,0,0,0,12592,70,0
11231,r032,All institutions -> Pennsylvania State U.,All institutions,Pennsylvania State U.,2,31,12362,0,0,0,3823,6753,1787
11231,r033,"All institutions -> U. Chicago, The",All institutions,"U. Chicago, The",2,32,12222,0,0,0,11143,1080,0
11231,r034,"All institutions -> Texas A&M U., College Station",All institutions,"Texas A&M U., College Station",2,33,11893,0,0,154,6591,3899,1249
11231,r035,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,34,11795,0,0,0,742,10830,223
11231,r036,All institutions -> U. Florida,All institutions,U. Florida,2,35,11706,0,0,0,7514,2153,2038
11231,r037,"All institutions -> U. Missouri, Kansas City",All institutions,"U. Missouri, Kansas City",2,36,11604,0,0,0,8262,3342,0
11231,r038,All institutions -> Meharry Medical C.,All institutions,Meharry Medical C.,2,37,10860,0,0,0,10788,72,0
11231,r039,All institutions -> Boston U.,All institutions,Boston U.,2,38,10830,0,0,0,9586,1244,0
11231,r040,All institutions -> U. Rochester,All institutions,U. Rochester,2,39,10815,0,0,0,8721,2094,0
11231,r041,"All institutions -> Rutgers, The State U. New Jersey",All institutions,"Rutgers, The State U. New Jersey",2,40,10704,0,0,0,4956,5227,521
11231,r042,"All institutions -> U. Texas, The, El Paso",All institutions,"U. Texas, The, El Paso",2,41,10302,0,0,0,1297,8750,255
11231,r043,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,42,10178,0,0,0,8342,1387,449
11231,r044,"All institutions -> U. Nebraska, Central Administration",All institutions,"U. Nebraska, Central Administration",2,43,10121,0,0,0,9306,0,815
11231,r045,All institutions -> New York U.,All institutions,New York U.,2,44,9943,0,0,0,8689,1254,0
11231,r046,All institutions -> U. Southern California,All institutions,U. Southern California,2,45,9818,0,120,0,9490,208,0
11231,r047,"All institutions -> Montana State U., Bozeman",All institutions,"Montana State U., Bozeman",2,46,9794,0,0,0,6824,125,2846
11231,r048,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,47,9768,0,0,0,9768,0,0
11231,r049,All institutions -> U. Virginia,All institutions,U. Virginia,2,48,9697,0,0,0,9325,372,0
11231,r050,"All institutions -> U. Oklahoma, The, Norman",All institutions,"U. Oklahoma, The, Norman",2,49,9696,0,0,0,9532,164,0
11231,r051,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,50,9349,0,0,0,6435,2915,0
11231,r052,All institutions -> Georgetown U.,All institutions,Georgetown U.,2,51,9168,4363,0,0,2913,1892,0
11231,r053,All institutions -> Case Western Reserve U.,All institutions,Case Western Reserve U.,2,52,9119,0,0,0,9039,80,0
11231,r054,All institutions -> North Carolina Agricultural and Technical State U.,All institutions,North Carolina Agricultural and Technical State U.,2,53,8932,0,0,0,876,3843,4214
11231,r055,"All institutions -> U. Texas Health Science Center, The, San Antonio",All institutions,"U. Texas Health Science Center, The, San Antonio",2,54,8897,0,0,0,8897,0,0
