table_id,row_id,_b_field_and_citizenship_status_b_full_path,_b_field_and_citizenship_status_b_level_1,_b_field_and_citizenship_status_b_level_2,_b_field_and_citizenship_status_b_level_3,_b_field_and_citizenship_status_b_level_4,_b_field_and_citizenship_status_b_hierarchy_depth,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field__change_2011_21
7524,r001,All doctorate recipients<sup>a</sup>,All doctorate recipients<sup>a</sup>,,,,1,48909,50943,52703,53986,54886,54809,54552,55080,55609,55224,52250,6.8
7524,r002,All doctorate recipients<sup>a</sup> -> Life sciences,All doctorate recipients<sup>a</sup>,Life sciences,,,2,11535,11964,12207,12484,12493,12539,12554,12754,12748,12549,11814,2.4
7524,r003,All doctorate recipients<sup>a</sup> -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>a</sup>,Life sciences,Agricultural sciences and natural resources,,3,1206,1255,1324,1338,1434,1379,1493,1442,1488,1470,1334,10.6
7524,r004,All doctorate recipients<sup>a</sup> -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>a</sup>,Life sciences,Biological and biomedical sciences,,3,8152,8322,8354,8868,8783,8863,8566,8782,8678,8410,8149,0.0
7524,r005,All doctorate recipients<sup>a</sup> -> Life sciences -> Health sciences,All doctorate recipients<sup>a</sup>,Life sciences,Health sciences,,3,2177,2387,2529,2278,2276,2297,2495,2530,2582,2669,2331,7.1
7524,r006,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,,,2,5271,5419,5584,5910,5916,6251,6082,6330,6579,6241,5757,9.2
7524,r007,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,Chemistry,,3,2432,2416,2484,2673,2666,2703,2699,2807,2939,2761,2555,5.1
7524,r008,"All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",,3,852,941,989,1098,1057,1227,1169,1185,1272,1241,1064,24.9
7524,r009,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,Physics and astronomy,,3,1987,2062,2111,2139,2193,2321,2214,2338,2368,2239,2138,7.6
7524,r010,All doctorate recipients<sup>a</sup> -> Mathematics and computer sciences,All doctorate recipients<sup>a</sup>,Mathematics and computer sciences,,,2,3273,3496,3660,3862,3818,3954,3842,4022,4230,4387,4373,33.6
7524,r011,All doctorate recipients<sup>a</sup> -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>a</sup>,Mathematics and computer sciences,Computer and information sciences,,3,1667,1793,1843,1988,2003,2082,1998,2000,2220,2363,2361,41.6
7524,r012,All doctorate recipients<sup>a</sup> -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>a</sup>,Mathematics and computer sciences,Mathematics and statistics,,3,1606,1703,1817,1874,1815,1872,1844,2022,2010,2024,2012,25.3
7524,r013,All doctorate recipients<sup>a</sup> -> Psychology and social sciences,All doctorate recipients<sup>a</sup>,Psychology and social sciences,,,2,8220,8498,8580,8748,9073,9037,9034,8876,9043,8932,8675,5.5
7524,r014,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Psychology,,3,3576,3599,3592,3724,3776,3910,3925,3821,3909,3871,3797,6.2
7524,r015,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Anthropology,,3,553,547,550,523,492,460,446,424,445,447,400,-27.7
7524,r016,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Economics,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Economics,,3,1121,1243,1183,1196,1255,1236,1239,1245,1247,1212,1230,9.7
7524,r017,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Political science and government,,3,685,724,803,775,859,745,743,734,707,636,581,-15.2
7524,r018,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Sociology,,3,656,633,636,678,741,613,683,668,632,606,560,-14.6
7524,r019,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Other social sciences,,3,1629,1752,1816,1852,1950,2073,1998,1984,2103,2160,2107,29.3
7524,r020,All doctorate recipients<sup>a</sup> -> Engineering,All doctorate recipients<sup>a</sup>,Engineering,,,2,8032,8469,9000,9626,9875,9459,9776,10164,10298,10471,10240,27.5
7524,r021,"All doctorate recipients<sup>a</sup> -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>a</sup>,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,262,307,348,386,361,370,379,383,379,399,373,42.4
7524,r022,All doctorate recipients<sup>a</sup> -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>a</sup>,Engineering,Bioengineering and biomedical engineering,,3,898,943,1039,1046,1125,1089,1032,1133,1163,1082,1064,18.5
7524,r023,All doctorate recipients<sup>a</sup> -> Engineering -> Chemical engineering,All doctorate recipients<sup>a</sup>,Engineering,Chemical engineering,,3,823,840,824,973,1002,921,931,981,980,994,1024,24.4
7524,r024,All doctorate recipients<sup>a</sup> -> Engineering -> Civil engineering,All doctorate recipients<sup>a</sup>,Engineering,Civil engineering,,3,634,495,542,617,632,564,713,675,700,795,621,-2.1
7524,r025,"All doctorate recipients<sup>a</sup> -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>a</sup>,Engineering,"Electrical, electronics, and communications engineering",,3,1886,1938,1897,1952,1997,1823,1879,1943,1799,1973,2081,10.3
7524,r026,All doctorate recipients<sup>a</sup> -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>a</sup>,Engineering,Industrial and manufacturing engineering,,3,258,226,241,298,243,256,249,272,234,304,361,39.9
7524,r027,All doctorate recipients<sup>a</sup> -> Engineering -> Materials science engineering,All doctorate recipients<sup>a</sup>,Engineering,Materials science engineering,,3,662,743,815,832,871,984,937,992,992,879,936,41.4
7524,r028,All doctorate recipients<sup>a</sup> -> Engineering -> Mechanical engineering,All doctorate recipients<sup>a</sup>,Engineering,Mechanical engineering,,3,1084,1220,1277,1331,1466,1297,1398,1503,1532,1633,1444,33.2
7524,r029,All doctorate recipients<sup>a</sup> -> Engineering -> Other engineering,All doctorate recipients<sup>a</sup>,Engineering,Other engineering,,3,1525,1757,2017,2191,2178,2155,2258,2282,2519,2412,2336,53.2
7524,r030,All doctorate recipients<sup>a</sup> -> Education,All doctorate recipients<sup>a</sup>,Education,,,2,4670,4802,4934,4789,5098,5146,4826,4818,4633,4715,4252,-9.0
7524,r031,All doctorate recipients<sup>a</sup> -> Education -> Education administration,All doctorate recipients<sup>a</sup>,Education,Education administration,,3,924,1057,965,893,920,824,922,895,839,931,710,-23.2
7524,r032,All doctorate recipients<sup>a</sup> -> Education -> Education research,All doctorate recipients<sup>a</sup>,Education,Education research,,3,2378,2516,2638,2490,2717,2328,2373,2457,2253,2275,2167,-8.9
7524,r033,All doctorate recipients<sup>a</sup> -> Education -> Teacher education,All doctorate recipients<sup>a</sup>,Education,Teacher education,,3,204,156,109,152,156,180,114,96,104,113,111,-45.6
7524,r034,All doctorate recipients<sup>a</sup> -> Education -> Teaching fields,All doctorate recipients<sup>a</sup>,Education,Teaching fields,,3,805,757,892,915,953,1166,925,959,957,939,797,-1.0
7524,r035,All doctorate recipients<sup>a</sup> -> Education -> Other education,All doctorate recipients<sup>a</sup>,Education,Other education,,3,359,316,330,339,352,648,492,411,480,457,467,30.1
7524,r036,All doctorate recipients<sup>a</sup> -> Humanities and arts,All doctorate recipients<sup>a</sup>,Humanities and arts,,,2,5225,5561,5715,5524,5594,5482,5286,5139,5051,4924,4137,-20.8
7524,r037,All doctorate recipients<sup>a</sup> -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>a</sup>,Humanities and arts,Foreign languages and literature,,3,644,684,701,674,656,599,618,617,610,564,377,-41.5
7524,r038,All doctorate recipients<sup>a</sup> -> Humanities and arts -> History,All doctorate recipients<sup>a</sup>,Humanities and arts,History,,3,1065,1086,1148,1186,1146,1148,1058,948,912,884,725,-31.9
7524,r039,All doctorate recipients<sup>a</sup> -> Humanities and arts -> Letters,All doctorate recipients<sup>a</sup>,Humanities and arts,Letters,,3,1513,1638,1606,1551,1583,1531,1462,1439,1386,1389,1192,-21.2
7524,r040,All doctorate recipients<sup>a</sup> -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>a</sup>,Humanities and arts,Other humanities and arts,,3,2003,2153,2260,2113,2209,2204,2148,2135,2143,2087,1843,-8.0
7524,r041,All doctorate recipients<sup>a</sup> -> Other,All doctorate recipients<sup>a</sup>,Other,,,2,2683,2734,3023,3043,3019,2941,3152,2977,3027,3005,3002,11.9
7524,r042,All doctorate recipients<sup>a</sup> -> Other -> Business management and administration,All doctorate recipients<sup>a</sup>,Other,Business management and administration,,3,1327,1404,1551,1584,1582,1509,1565,1473,1533,1468,1392,4.9
7524,r043,All doctorate recipients<sup>a</sup> -> Other -> Communication,All doctorate recipients<sup>a</sup>,Other,Communication,,3,650,595,645,663,667,672,622,630,543,591,507,-22.0
7524,r044,All doctorate recipients<sup>a</sup> -> Other -> Non-science and engineering fields nec,All doctorate recipients<sup>a</sup>,Other,Non-science and engineering fields nec,,3,706,735,827,796,770,760,965,874,951,946,1103,56.2
7524,r045,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,,,2,31725,32981,33964,34003,35071,35678,35736,35350,35227,34473,31674,-0.2
