table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_paid_for_by_the_company_and_others,field_depreciation,field_capital_expenditures_related_to_r_d,field_adjusted_domestic_r_d_paid_for_by_the_company_and_others,field_change_amount,field_change_percent
9702,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['602,499', '  ']","['21,180', '  ']","['52,844', '  ']","['634,163', 'i ']","['31,664', 'i ']","['5.3', '  ']"
9702,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['326,060', '  ']","['13,686', '  ']","['28,450', '  ']","['340,825', '  ']","['14,764', '&nbsp;']","['4.5', '  ']"
9702,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['5,266', '  ']","['250', '  ']","['946', '  ']","['5,962', 'i ']","['696', '  ']","['13.2', '  ']"
9702,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,247', '  ']","['68', '  ']","['297', 'i ']","['1,476', '  ']","['229', 'i ']","['18.4', '  ']"
9702,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['829', '  ']","['15', '  ']","['69', '  ']","['883', 'i ']","['54', 'i ']","['6.5', '  ']"
9702,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['444', '  ']","['2', '  ']","['15', '  ']","['456', '  ']","['13', '  ']","['2.8', '  ']"
9702,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,139', '  ']","['7', '  ']","['511', '  ']","['1,643', 'i ']","['504', 'i ']","['44.2', '  ']"
9702,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['204', 'i ']","['11', 'i ']","['39', '  ']","['233', 'i ']","['29', 'i ']","['14.0', '  ']"
9702,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['957', '  ']","['43', '  ']","['171', 'i ']","['1,084', '  ']","['127', 'i ']","['13.3', '  ']"
9702,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['109,490', '  ']","['4,349', '  ']","['8,291', '  ']","['113,432', '  ']","['3,942', '&nbsp;']","['3.6', '  ']"
9702,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,713', '  ']","['178', '  ']","['317', '  ']","['2,852', '  ']","['140', '  ']","['5.1', '  ']"
