table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies_companies_number_,field_all_companies_amount,field_1_4_employees_companies_number_,field_1_4_employees_amount,field_5_9_employees_companies_number_,field_5_9_employees_amount
7384,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['15,401', '&nbsp;']","['712,053', '&nbsp;']","['9,774', '&nbsp;']","['276,329', '&nbsp;']","['5,627', '&nbsp;']","['435,723', '&nbsp;']"
7384,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['1,659', '&nbsp;']","['53,506', '&nbsp;']","['945', '&nbsp;']","['23,358', '&nbsp;']","['715', '&nbsp;']","['30,149', '&nbsp;']"
7384,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['29', '&nbsp;']","['71', 'r']","['16', 'r']","['71', 'r']","['13', '&nbsp;']","['0', '&nbsp;']"
7384,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['3', 'r']","['0', '&nbsp;']","['3', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7384,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['2', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2', 'r']","['0', '&nbsp;']"
7384,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7384,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['4', '&nbsp;']","['0', '&nbsp;']","['2', 'r']","['0', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']"
7384,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7384,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['374', '&nbsp;']","['25,452', '&nbsp;']","['261', '&nbsp;']","['7,626', '&nbsp;']","['114', '&nbsp;']","['17,827', 'r']"
7384,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['165', '&nbsp;']","['14,493', '&nbsp;']","['106', '&nbsp;']","['6,351', '&nbsp;']","['59', '&nbsp;']","['8,142', 'r']"
