table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_agencies,field_doc,field_dod,field_doe,field_ed,field_epa,field_hhs,field_nasa,field_nsf,field_usda,field_othera
10415,r001,All systems,All systems,,1,-,18514644,190911,2310759,838647,99239,22045,10001729,678160,3160304,1009823,203025
10415,r002,All systems -> U. California System,All systems,U. California System,2,1,3854832,11562,421708,129444,7164,6919,2480725,147163,539428,91606,19114
10415,r003,All systems -> U. Texas System,All systems,U. Texas System,2,2,1453777,10462,306772,34544,6724,0,895694,15964,174652,2931,6035
10415,r004,All systems -> U. North Carolina System,All systems,U. North Carolina System,2,3,916881,7435,52537,29054,15563,5829,574667,2502,139584,80220,9491
10415,r005,All systems -> State U. System of Florida,All systems,State U. System of Florida,2,4,848137,10684,80452,41663,10167,1437,399186,22765,217081,49540,15162
10415,r006,All systems -> Columbia U. System,All systems,Columbia U. System,2,5,831279,3150,43336,17408,2963,0,641063,19691,102884,454,330
10415,r007,All systems -> U. Colorado System,All systems,U. Colorado System,2,6,696843,58075,78015,15050,32,1696,361095,61842,117883,1927,1228
10415,r008,All systems -> U. System of Georgia,All systems,U. System of Georgia,2,7,688456,8144,215353,26359,2741,2078,228336,17811,123873,55770,7991
10415,r009,All systems -> U. System of Maryland,All systems,U. System of Maryland,2,8,674987,10745,140744,9459,2278,0,304207,76776,86138,41689,2950
10415,r010,All systems -> U. System of Ohio,All systems,U. System of Ohio,2,9,663492,2995,95876,40220,4583,1181,359536,7093,108276,39944,3789
10415,r011,All systems -> U. Wisconsin System,All systems,U. Wisconsin System,2,10,658710,4192,61525,63009,2674,485,372279,13688,96924,40454,3481
10415,r012,All systems -> Arizona U. System,All systems,Arizona U. System,2,11,595344,4416,85066,20257,3734,0,240594,85976,136735,14772,3793
10415,r013,All systems -> U. Illinois System,All systems,U. Illinois System,2,12,582631,20,81919,79574,443,0,226964,8932,128784,44605,11390
10415,r014,All systems -> U. Minnesota System,All systems,U. Minnesota System,2,13,525480,1578,39725,24243,3707,413,332567,5491,61046,52859,3851
10415,r015,All systems -> Utah System of Higher Education,All systems,Utah System of Higher Education,2,14,460879,1847,95958,12600,0,0,241565,21415,69335,17578,580
10415,r016,All systems -> U. Alabama System,All systems,U. Alabama System,2,15,424484,711,38426,5770,691,0,343009,10980,21937,0,2961
10415,r017,All systems -> SUNY System,All systems,SUNY System,2,16,396945,948,58404,23184,1409,0,202166,7203,99313,1741,2577
10415,r018,All systems -> Texas A&M U. System,All systems,Texas A&M U. System,2,17,385977,6502,31288,25552,5003,0,84177,3398,132896,88036,9125
10415,r019,All systems -> Massachusetts Public Higher Education System,All systems,Massachusetts Public Higher Education System,2,18,357331,760,50137,9537,1397,0,221941,5275,53231,12699,2354
10415,r020,All systems -> Indiana U. System,All systems,Indiana U. System,2,19,339255,4075,23891,4733,337,0,261177,912,37878,1938,4313
10415,r021,All systems -> Kansas Board of Regents,All systems,Kansas Board of Regents,2,20,275985,2750,37748,12285,6053,0,118969,4255,38346,33406,22173
10415,r022,All systems -> U. Nebraska System,All systems,U. Nebraska System,2,21,222770,1096,16532,6810,2713,0,118250,156,36067,27187,13960
10415,r023,All systems -> U. Hawaii System,All systems,U. Hawaii System,2,22,199076,2,44957,1508,0,0,53530,22167,53234,23577,100
10415,r024,All systems -> U. Missouri System,All systems,U. Missouri System,2,23,179583,0,18102,12004,6109,354,78059,1795,22408,36436,4315
10415,r025,All systems -> California State U. System,All systems,California State U. System,2,24,176007,225,11976,3283,1280,0,68102,9228,69238,5222,7453
10415,r026,All systems -> Montana U. System,All systems,Montana U. System,2,25,175068,940,57302,5444,0,0,44148,6941,33614,24246,2434
10415,r027,All systems -> U. Tennessee System,All systems,U. Tennessee System,2,26,153084,2480,15758,19304,0,0,67917,2815,26156,16035,2620
10415,r028,All systems -> U. Arkansas System,All systems,U. Arkansas System,2,27,151982,0,22654,1570,0,0,74515,1325,25659,23953,2305
10415,r029,All systems -> Colorado State U. System,All systems,Colorado State U. System,2,28,144118,8987,6166,14612,0,0,52897,5789,30308,20217,5142
10415,r030,All systems -> Louisiana State U. System,All systems,Louisiana State U. System,2,29,140293,1784,5143,3132,0,0,88468,250,22673,16260,2583
10415,r031,All systems -> U. Alaska System,All systems,U. Alaska System,2,30,123395,2715,9813,11819,3800,0,14272,17555,51638,6306,5477
10415,r032,All systems -> West Virginia Public Colleges and Universities System,All systems,West Virginia Public Colleges and Universities System,2,31,115429,600,1182,28491,0,0,49370,2853,12794,18847,1291
10415,r033,All systems -> U. System of New Hampshire,All systems,U. System of New Hampshire,2,32,110079,11128,4340,14634,0,0,9498,49185,13487,6043,1764
10415,r034,All systems -> CUNY System,All systems,CUNY System,2,33,104380,0,12861,3288,1294,0,49538,1789,35611,0,0
10415,r035,All systems -> North Dakota U. System,All systems,North Dakota U. System,2,34,99618,0,4557,20614,0,0,27811,350,20180,20449,5656
10415,r036,All systems -> U. North Texas System,All systems,U. North Texas System,2,35,98646,0,3834,1681,296,0,81538,401,8472,1562,862
10415,r037,All systems -> U. South Carolina System,All systems,U. South Carolina System,2,36,93362,0,2084,8294,0,0,56200,994,21882,10,3898
10415,r038,All systems -> Nevada System of Higher Education,All systems,Nevada System of Higher Education,2,37,87674,1091,9634,18158,0,1583,34505,3689,11430,4257,3327
10415,r039,All systems -> U. Houston System,All systems,U. Houston System,2,38,78321,300,5844,7535,3319,0,33515,1983,24300,1275,249
10415,r040,All systems -> U. Puerto Rico System,All systems,U. Puerto Rico System,2,39,69016,600,946,250,732,0,37861,989,17955,9526,157
10415,r041,All systems -> Oklahoma State U. System,All systems,Oklahoma State U. System,2,40,56647,0,2427,4127,0,0,9677,2783,15781,21025,825
10415,r042,All systems -> U. Maine System,All systems,U. Maine System,2,41,54316,2177,3215,15276,0,0,4099,1770,12610,12586,2583
