table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
7978,r001,All HBCUs,All HBCUs,,1,-,"['549,289', '']","['396,833', '']","['54,742', '']","['76,467', '']","['7,356', '']","['10,971', '']","['2,920', '']"
7978,r002,All HBCUs -> Howard U.,All HBCUs,Howard U.,2,1,"['52,412', '']","['35,443', '']","['1,176', '']","['12,094', '']","['2,860', '']","['839', '']","['0', '']"
7978,r003,All HBCUs -> Florida A&M U.,All HBCUs,Florida A&M U.,2,2,"['47,124', '']","['36,761', '']","['5,741', '']","['3,886', '']","['566', '']","['170', '']","['0', '']"
7978,r004,All HBCUs -> North Carolina Agricultural and Technical State U.,All HBCUs,North Carolina Agricultural and Technical State U.,2,3,"['40,751', '']","['25,755', '']","['542', '']","['14,005', '']","['149', '']","['257', '']","['43', '']"
7978,r005,All HBCUs -> Morehouse School of Medicine,All HBCUs,Morehouse School of Medicine,2,4,"['32,637', '']","['25,181', '']","['611', '']","['3,622', '']","['0', '']","['3,223', '']","['0', '']"
7978,r006,All HBCUs -> Tennessee State U.,All HBCUs,Tennessee State U.,2,5,"['26,880', 'i']","['20,378', 'i']","['455', 'i']","['5,986', 'i']","['43', 'i']","['18', 'i']","['0', 'i']"
7978,r007,All HBCUs -> Delaware State U.,All HBCUs,Delaware State U.,2,6,"['23,193', '']","['16,460', '']","['2,432', '']","['4,094', '']","['195', '']","['12', '']","['0', '']"
7978,r008,All HBCUs -> Tuskegee U.,All HBCUs,Tuskegee U.,2,7,"['21,355', '']","['15,424', '']","['2,676', '']","['2,724', '']","['0', '']","['0', '']","['531', '']"
7978,r009,All HBCUs -> Morgan State U.,All HBCUs,Morgan State U.,2,8,"['20,628', '']","['16,319', '']","['2,782', '']","['389', '']","['225', '']","['571', '']","['342', '']"
7978,r010,All HBCUs -> Prairie View A&M U.,All HBCUs,Prairie View A&M U.,2,9,"['17,582', '']","['9,566', '']","['4,041', '']","['3,421', '']","['115', '']","['439', '']","['0', '']"
7978,r011,All HBCUs -> Jackson State U.,All HBCUs,Jackson State U.,2,10,"['16,157', '']","['14,038', '']","['0', '']","['1,426', '']","['198', '']","['473', '']","['22', '']"
7978,r012,All HBCUs -> Meharry Medical C.,All HBCUs,Meharry Medical C.,2,11,"['15,840', '']","['13,784', '']","['0', '']","['565', '']","['1', '']","['1,490', '']","['0', '']"
7978,r013,All HBCUs -> U. of the Virgin Islands,All HBCUs,U. of the Virgin Islands,2,12,"['15,231', '']","['13,099', '']","['1,818', '']","['17', '']","['142', '']","['155', '']","['0', '']"
7978,r014,All HBCUs -> Alcorn State U.,All HBCUs,Alcorn State U.,2,13,"['14,188', '']","['7,593', '']","['4,457', '']","['2,103', '']","['6', '']","['29', '']","['0', '']"
7978,r015,All HBCUs -> North Carolina Central U.,All HBCUs,North Carolina Central U.,2,14,"['14,105', '']","['10,676', '']","['976', '']","['NA', '']","['503', '']","['844', '']","['1,106', '']"
7978,r016,All HBCUs -> Xavier U. Louisiana,All HBCUs,Xavier U. Louisiana,2,15,"['12,799', '']","['11,213', '']","['709', '']","['702', '']","['0', '']","['175', '']","['0', '']"
7978,r017,All HBCUs -> Hampton U.,All HBCUs,Hampton U.,2,16,"['11,669', '']","['11,517', '']","['0', '']","['152', '']","['0', '']","['0', '']","['0', '']"
7978,r018,All HBCUs -> Virginia State U.,All HBCUs,Virginia State U.,2,17,"['10,123', '']","['4,846', '']","['2,278', '']","['2,602', '']","['0', '']","['397', '']","['0', '']"
7978,r019,All HBCUs -> Texas Southern U.,All HBCUs,Texas Southern U.,2,18,"['9,128', '']","['5,562', '']","['760', '']","['2,692', '']","['0', '']","['114', '']","['0', '']"
7978,r020,All HBCUs -> Alabama A&M U.,All HBCUs,Alabama A&M U.,2,19,"['9,065', 'i']","['5,967', 'i']","['2,534', 'i']","['447', 'i']","['117', 'i']","['0', 'i']","['0', 'i']"
7978,r021,All HBCUs -> Clark Atlanta U.,All HBCUs,Clark Atlanta U.,2,20,"['8,892', '']","['5,355', '']","['0', '']","['3,435', '']","['57', '']","['45', '']","['0', '']"
7978,r022,All HBCUs -> Kentucky State U.,All HBCUs,Kentucky State U.,2,21,"['8,756', '']","['3,716', '']","['4,870', '']","['0', '']","['72', '']","['98', '']","['0', '']"
7978,r023,All HBCUs -> Central State U.,All HBCUs,Central State U.,2,22,"['8,751', '']","['4,165', '']","['2,866', '']","['1,720', '']","['0', '']","['0', '']","['0', '']"
7978,r024,"All HBCUs -> U. Arkansas, Pine Bluff",All HBCUs,"U. Arkansas, Pine Bluff",2,23,"['8,713', '']","['3,960', '']","['2,216', '']","['2,502', '']","['0', '']","['35', '']","['0', '']"
