table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_number_employed_thousands_total,field_number_employed_thousands_women,field_number_employed_thousands_men,field_median_weekly_earnings_full_time_employed_total,field_median_weekly_earnings_full_time_employed_women,field_median_weekly_earnings_full_time_employed_men,field_unemployment_rate_total,field_unemployment_rate_women,field_unemployment_rate_men
3344,r001,All U.S. employment,All U.S. employment,,,,1,157538,74078,83460,920,808,1000,3.67,3.61,3.72
3344,r002,All U.S. employment -> STEM occupations,All U.S. employment,STEM occupations,,,2,10756,2816,7940,1557,1346,1635,1.95,2.06,1.91
3344,r003,All U.S. employment -> STEM occupations -> S&E occupations,All U.S. employment,STEM occupations,S&E occupations,,3,8442,2229,6213,1596,1346,1654,1.97,2.0,1.95
3344,r004,All U.S. employment -> STEM occupations -> S&E occupations -> Computer and mathematical scientists,All U.S. employment,STEM occupations,S&E occupations,Computer and mathematical scientists,4,4843,1295,3548,1560,1346,1637,2.19,2.28,2.16
3344,r005,All U.S. employment -> STEM occupations -> S&E occupations -> Life scientists,All U.S. employment,STEM occupations,S&E occupations,Life scientists,4,327,151,177,1158,1154,1192,2.11,0.85,3.16
3344,r006,All U.S. employment -> STEM occupations -> S&E occupations -> Physical scientists,All U.S. employment,STEM occupations,S&E occupations,Physical scientists,4,559,229,329,1583,1386,1731,1.13,1.48,0.88
3344,r007,All U.S. employment -> STEM occupations -> S&E occupations -> Social scientists,All U.S. employment,STEM occupations,S&E occupations,Social scientists,4,328,226,102,1442,1403,1614,1.94,1.71,2.45
3344,r008,All U.S. employment -> STEM occupations -> S&E occupations -> Engineers,All U.S. employment,STEM occupations,S&E occupations,Engineers,4,2385,328,2058,1666,1462,1712,1.68,1.99,1.63
3344,r009,All U.S. employment -> STEM occupations -> Technology occupations,All U.S. employment,STEM occupations,Technology occupations,,3,2314,587,1727,1477,1250,1538,1.9,2.3,1.76
3344,r010,All U.S. employment -> S&E-related occupations,All U.S. employment,S&E-related occupations,,,2,10621,7851,2770,1200,1153,1442,1.54,1.59,1.38
3344,r011,All U.S. employment -> S&E-related occupations -> Health-related occupations,All U.S. employment,S&E-related occupations,Health-related occupations,,3,10380,7787,2593,1200,1152,1442,1.53,1.58,1.4
3344,r012,All U.S. employment -> S&E-related occupations -> Health-related occupations -> Dentists,All U.S. employment,S&E-related occupations,Health-related occupations,Dentists,4,162,55,107,2307,1464,2553,0.74,NA,1.11
3344,r013,All U.S. employment -> S&E-related occupations -> Health-related occupations -> Physicians and surgeons,All U.S. employment,S&E-related occupations,Health-related occupations,Physicians and surgeons,4,1088,441,647,2307,1870,2500,0.53,0.94,0.25
3344,r014,All U.S. employment -> S&E-related occupations -> Health-related occupations -> Registered nurses,All U.S. employment,S&E-related occupations,Health-related occupations,Registered nurses,4,3240,2897,343,1218,1200,1250,1.25,1.24,1.37
3344,r015,All U.S. employment -> S&E-related occupations -> Health-related occupations -> Other health-related occupations,All U.S. employment,S&E-related occupations,Health-related occupations,Other health-related occupations,4,5890,4394,1496,1080,1000,1332,1.89,1.88,1.91
3344,r016,All U.S. employment -> S&E-related occupations -> Other S&E-related occupations,All U.S. employment,S&E-related occupations,Other S&E-related occupations,,3,241,64,177,1692,1501,1820,1.68,3.03,1.18
3344,r017,All U.S. employment -> Non-STEM and non-S&E-related occupations,All U.S. employment,Non-STEM and non-S&E-related occupations,,,2,136161,63411,72751,846,769,923,3.56,3.51,3.6
3344,r018,All U.S. employment -> Non-STEM and non-S&E-related occupations -> Chief executives,All U.S. employment,Non-STEM and non-S&E-related occupations,Chief executives,,3,1597,427,1170,2365,2000,2500,1.16,2.09,0.81
3344,r019,All U.S. employment -> Non-STEM and non-S&E-related occupations -> Education administrators,All U.S. employment,Non-STEM and non-S&E-related occupations,Education administrators,,3,937,634,303,1346,1346,1456,0.96,1.08,0.72
3344,r020,All U.S. employment -> Non-STEM and non-S&E-related occupations -> Financial analysts,All U.S. employment,Non-STEM and non-S&E-related occupations,Financial analysts,,3,332,113,219,1603,1354,1749,1.95,0.79,2.53
3344,r021,All U.S. employment -> Non-STEM and non-S&E-related occupations -> General and operations manager,All U.S. employment,Non-STEM and non-S&E-related occupations,General and operations manager,,3,1065,338,727,1384,1154,1468,1.69,0.52,2.22
3344,r022,All U.S. employment -> Non-STEM and non-S&E-related occupations -> Lawyers,All U.S. employment,Non-STEM and non-S&E-related occupations,Lawyers,,3,1296,478,818,2019,1855,2211,0.8,1.45,0.41
3344,r023,All U.S. employment -> Non-STEM and non-S&E-related occupations -> Management analysts,All U.S. employment,Non-STEM and non-S&E-related occupations,Management analysts,,3,969,406,563,1615,1519,1845,3.12,3.23,3.03
3344,r024,All U.S. employment -> Non-STEM and non-S&E-related occupations -> Technical writers,All U.S. employment,Non-STEM and non-S&E-related occupations,Technical writers,,3,64,36,29,1424,1316,1442,2.16,3.83,NA
3344,r025,All U.S. employment -> Non-STEM and non-S&E-related occupations -> Other non-STEM occupations,All U.S. employment,Non-STEM and non-S&E-related occupations,Other non-STEM occupations,,3,129900,60978,68922,808,750,900,3.66,3.59,3.72
