table_id,row_id,field_full_path,field_level_1,field_level_2,field_level_3,field_level_4,field_hierarchy_depth,field_2021,field_2022,field__change_in_current_dollars_fys_2021_22,field__change_in_constant_2012_dollars_fys_2021_22
10080,r001,All R&D fields,All R&D fields,,,,1,89695,97681,8.9,1.8
10080,r002,All R&D fields -> Science,All R&D fields,Science,,,2,70289,76226,8.4,1.4
10080,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,2953,3225,9.2,2.1
10080,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,3295,3690,12.0,4.7
10080,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,624,669,7.2,0.2
10080,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,1242,1371,10.4,3.2
10080,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,1035,1211,17.0,9.4
10080,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,393,440,12.0,4.6
10080,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,52350,56498,7.9,0.9
10080,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,3553,3936,10.8,3.5
10080,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,16566,18161,9.6,2.5
10080,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,29859,31870,6.7,-0.2
10080,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation,All R&D fields,Science,Life sciences,Natural resources and conservation,4,935,1013,8.3,1.3
10080,r014,All R&D fields -> Science -> Life sciences -> Life sciences nec,All R&D fields,Science,Life sciences,Life sciences nec,4,1436,1518,5.7,-1.2
10080,r015,All R&D fields -> Science -> Mathematics and statistics,All R&D fields,Science,Mathematics and statistics,,3,773,880,13.8,6.4
10080,r016,All R&D fields -> Science -> Physical sciences,All R&D fields,Science,Physical sciences,,3,5737,6168,7.5,0.5
10080,r017,All R&D fields -> Science -> Physical sciences -> Astronomy and astrophysics,All R&D fields,Science,Physical sciences,Astronomy and astrophysics,4,741,814,9.9,2.7
10080,r018,All R&D fields -> Science -> Physical sciences -> Chemistry,All R&D fields,Science,Physical sciences,Chemistry,4,1996,2127,6.6,-0.4
10080,r019,All R&D fields -> Science -> Physical sciences -> Materials science,All R&D fields,Science,Physical sciences,Materials science,4,286,286,0.0,-6.5
10080,r020,All R&D fields -> Science -> Physical sciences -> Physics,All R&D fields,Science,Physical sciences,Physics,4,2464,2669,8.3,1.2
10080,r021,All R&D fields -> Science -> Physical sciences -> Physical sciences nec,All R&D fields,Science,Physical sciences,Physical sciences nec,4,251,271,8.0,0.9
10080,r022,All R&D fields -> Science -> Psychology,All R&D fields,Science,Psychology,,3,1330,1444,8.6,1.5
10080,r023,All R&D fields -> Science -> Social sciences,All R&D fields,Science,Social sciences,,3,2828,3165,11.9,4.6
10080,r024,All R&D fields -> Science -> Social sciences -> Anthropology,All R&D fields,Science,Social sciences,Anthropology,4,108,133,23.1,15.1
10080,r025,All R&D fields -> Science -> Social sciences -> Economics,All R&D fields,Science,Social sciences,Economics,4,550,668,21.5,13.5
10080,r026,All R&D fields -> Science -> Social sciences -> Political science and government,All R&D fields,Science,Social sciences,Political science and government,4,424,488,15.1,7.6
10080,r027,"All R&D fields -> Science -> Social sciences -> Sociology, demography, and population studies",All R&D fields,Science,Social sciences,"Sociology, demography, and population studies",4,553,616,11.4,4.1
10080,r028,All R&D fields -> Science -> Social sciences -> Social sciences nec,All R&D fields,Science,Social sciences,Social sciences nec,4,1193,1260,5.6,-1.3
10080,r029,All R&D fields -> Science -> Sciences nec,All R&D fields,Science,Sciences nec,,3,1025,1156,12.8,5.4
10080,r030,All R&D fields -> Engineering,All R&D fields,Engineering,,,2,14292,15597,9.1,2.0
10080,r031,"All R&D fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,1452,1647,13.4,6.0
10080,r032,All R&D fields -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,Engineering,Bioengineering and biomedical engineering,,3,1560,1726,10.6,3.4
10080,r033,All R&D fields -> Engineering -> Chemical engineering,All R&D fields,Engineering,Chemical engineering,,3,1024,1108,8.2,1.1
10080,r034,All R&D fields -> Engineering -> Civil engineering,All R&D fields,Engineering,Civil engineering,,3,1482,1647,11.1,3.9
10080,r035,"All R&D fields -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,Engineering,"Electrical, electronic, and communications engineering",,3,3079,3437,11.6,4.3
10080,r036,All R&D fields -> Engineering -> Industrial and manufacturing engineering,All R&D fields,Engineering,Industrial and manufacturing engineering,,3,574,615,7.1,0.1
10080,r037,All R&D fields -> Engineering -> Mechanical engineering,All R&D fields,Engineering,Mechanical engineering,,3,1882,2063,9.6,2.4
10080,r038,All R&D fields -> Engineering -> Metallurgical and materials engineering,All R&D fields,Engineering,Metallurgical and materials engineering,,3,842,887,5.3,-1.5
10080,r039,All R&D fields -> Engineering -> Engineering nec,All R&D fields,Engineering,Engineering nec,,3,2397,2467,2.9,-3.8
10080,r040,All R&D fields -> Non-S&E,All R&D fields,Non-S&E,,,2,5114,5858,14.5,7.1
10080,r041,All R&D fields -> Non-S&E -> Business management and business administration,All R&D fields,Non-S&E,Business management and business administration,,3,934,1081,15.7,8.2
10080,r042,All R&D fields -> Non-S&E -> Communication and communications technologies,All R&D fields,Non-S&E,Communication and communications technologies,,3,186,213,14.5,7.0
10080,r043,All R&D fields -> Non-S&E -> Education,All R&D fields,Non-S&E,Education,,3,1616,1741,7.7,0.7
