table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_level_3,budget_function_hierarchy_depth,field_2017_actual,field_2018_preliminarya,field_2019_proposedb,field_2017_18_change_,field_2018_19_change_
1321,r001,R&D and R&D plant,R&D and R&D plant,,,1,127306,130541,123767,2.5,-5.2
1321,r002,R&D and R&D plant -> National defense,R&D and R&D plant,National defense,,2,57530,61088,66027,6.2,8.1
1321,r003,R&D and R&D plant -> Health,R&D and R&D plant,Health,,2,34393,34572,25259,0.5,-26.9
1321,r004,R&D and R&D plant -> General science and basic research,R&D and R&D plant,General science and basic research,,2,11289,11337,11456,0.4,1.0
1321,r005,"R&D and R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,"Space flight, research, and supporting activities",,2,10187,9735,10163,-4.4,4.4
1321,r006,R&D and R&D plant -> Energy,R&D and R&D plant,Energy,,2,3544,3508,2027,-1.0,-42.2
1321,r007,R&D and R&D plant -> Natural resources and environment,R&D and R&D plant,Natural resources and environment,,2,2533,2582,1876,1.9,-27.3
1321,r008,R&D and R&D plant -> Agriculture,R&D and R&D plant,Agriculture,,2,2302,2206,2063,-4.2,-6.5
1321,r009,R&D and R&D plant -> Transportation,R&D and R&D plant,Transportation,,2,1479,1473,1344,-0.4,-8.7
1321,r010,R&D and R&D plant -> Veterans benefits and services,R&D and R&D plant,Veterans benefits and services,,2,1346,1338,1345,-0.6,0.5
1321,r011,R&D and R&D plant -> Commerce and housing credit,R&D and R&D plant,Commerce and housing credit,,2,1036,1087,811,5.0,-25.4
1321,r012,R&D and R&D plant -> Administration of justice,R&D and R&D plant,Administration of justice,,2,707,656,495,-7.2,-24.5
1321,r013,"R&D and R&D plant -> Education, training, employment, and social services",R&D and R&D plant,"Education, training, employment, and social services",,2,505,485,596,-4.0,22.9
1321,r014,R&D and R&D plant -> International affairs,R&D and R&D plant,International affairs,,2,289,322,117,11.4,-63.7
1321,r015,R&D and R&D plant -> Income security,R&D and R&D plant,Income security,,2,74,63,105,-14.9,66.7
1321,r016,R&D and R&D plant -> Community and regional development,R&D and R&D plant,Community and regional development,,2,71,70,65,-1.4,-7.1
1321,r017,R&D and R&D plant -> Medicare,R&D and R&D plant,Medicare,,2,21,19,17,-9.5,-10.5
1321,r018,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,2,124710,128107,120638,2.7,-5.8
1321,r019,R&D and R&D plant -> R&D -> National defense,R&D and R&D plant,R&D,National defense,3,57055,60775,65329,6.5,7.5
1321,r020,R&D and R&D plant -> R&D -> Health,R&D and R&D plant,R&D,Health,3,34255,34379,25014,0.4,-27.2
1321,r021,R&D and R&D plant -> R&D -> General science and basic research,R&D and R&D plant,R&D,General science and basic research,3,9947,10050,9982,1.0,-0.7
1321,r022,"R&D and R&D plant -> R&D -> Space flight, research, and supporting activities",R&D and R&D plant,R&D,"Space flight, research, and supporting activities",3,10134,9713,10109,-4.2,4.1
1321,r023,R&D and R&D plant -> R&D -> Energy,R&D and R&D plant,R&D,Energy,3,3519,3483,2008,-1.0,-42.3
1321,r024,R&D and R&D plant -> R&D -> Natural resources and environment,R&D and R&D plant,R&D,Natural resources and environment,3,2378,2389,1691,0.4,-29.2
1321,r025,R&D and R&D plant -> R&D -> Agriculture,R&D and R&D plant,R&D,Agriculture,3,2090,1994,1762,-4.6,-11.6
1321,r026,R&D and R&D plant -> R&D -> Transportation,R&D and R&D plant,R&D,Transportation,3,1444,1439,1308,-0.4,-9.1
1321,r027,R&D and R&D plant -> R&D -> Veterans benefits and services,R&D and R&D plant,R&D,Veterans benefits and services,3,1346,1338,1345,-0.6,0.5
1321,r028,R&D and R&D plant -> R&D -> Commerce and housing credit,R&D and R&D plant,R&D,Commerce and housing credit,3,901,953,745,5.8,-21.8
1321,r029,R&D and R&D plant -> R&D -> Administration of justice,R&D and R&D plant,R&D,Administration of justice,3,707,656,490,-7.2,-25.3
1321,r030,"R&D and R&D plant -> R&D -> Education, training, employment, and social services",R&D and R&D plant,R&D,"Education, training, employment, and social services",3,478,463,550,-3.1,18.8
1321,r031,R&D and R&D plant -> R&D -> International affairs,R&D and R&D plant,R&D,International affairs,3,289,322,117,11.4,-63.7
1321,r032,R&D and R&D plant -> R&D -> Income security,R&D and R&D plant,R&D,Income security,3,74,63,105,-14.9,66.7
1321,r033,R&D and R&D plant -> R&D -> Community and regional development,R&D and R&D plant,R&D,Community and regional development,3,71,70,65,-1.4,-7.1
1321,r034,R&D and R&D plant -> R&D -> Medicare,R&D and R&D plant,R&D,Medicare,3,21,19,17,-9.5,-10.5
1321,r035,R&D and R&D plant -> R&D plant,R&D and R&D plant,R&D plant,,2,2597,2435,3129,-6.2,28.5
1321,r036,R&D and R&D plant -> R&D plant -> National defense,R&D and R&D plant,R&D plant,National defense,3,475,313,698,-34.1,123.0
1321,r037,R&D and R&D plant -> R&D plant -> Health,R&D and R&D plant,R&D plant,Health,3,138,193,245,39.9,26.9
1321,r038,"R&D and R&D plant -> R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,R&D plant,"Space flight, research, and supporting activities",3,52,22,54,-57.9,147.3
1321,r039,R&D and R&D plant -> R&D plant -> General science and basic research,R&D and R&D plant,R&D plant,General science and basic research,3,1342,1287,1474,-4.1,14.5
1321,r040,R&D and R&D plant -> R&D plant -> Energy,R&D and R&D plant,R&D plant,Energy,3,25,25,19,-0.6,-24.4
1321,r041,R&D and R&D plant -> R&D plant -> Natural resources and environment,R&D and R&D plant,R&D plant,Natural resources and environment,3,155,193,185,24.5,-4.3
1321,r042,R&D and R&D plant -> R&D plant -> Agriculture,R&D and R&D plant,R&D plant,Agriculture,3,213,212,301,-0.3,42.0
1321,r043,R&D and R&D plant -> R&D plant -> Transportation,R&D and R&D plant,R&D plant,Transportation,3,35,34,36,-3.4,5.9
1321,r044,R&D and R&D plant -> R&D plant -> Veterans benefits and services,R&D and R&D plant,R&D plant,Veterans benefits and services,3,0,0,0,--,--
1321,r045,R&D and R&D plant -> R&D plant -> Commerce and housing credit,R&D and R&D plant,R&D plant,Commerce and housing credit,3,135,134,66,-0.5,-50.6
1321,r046,R&D and R&D plant -> R&D plant -> Administration of justice,R&D and R&D plant,R&D plant,Administration of justice,3,0,0,5,--,--
1321,r047,"R&D and R&D plant -> R&D plant -> Education, training, employment, and social services",R&D and R&D plant,R&D plant,"Education, training, employment, and social services",3,27,22,46,-18.5,109.1
1321,r048,R&D and R&D plant -> R&D plant -> International affairs,R&D and R&D plant,R&D plant,International affairs,3,0,0,0,--,--
1321,r049,R&D and R&D plant -> R&D plant -> Income security,R&D and R&D plant,R&D plant,Income security,3,0,0,0,--,--
1321,r050,R&D and R&D plant -> R&D plant -> Community and regional development,R&D and R&D plant,R&D plant,Community and regional development,3,0,0,0,--,--
1321,r051,R&D and R&D plant -> R&D plant -> Medicare,R&D and R&D plant,R&D plant,Medicare,3,0,0,0,--,--
