table_id,row_id,_b_debt_level_and_field_b_full_path,_b_debt_level_and_field_b_level_1,_b_debt_level_and_field_b_level_2,_b_debt_level_and_field_b_level_3,_b_debt_level_and_field_b_level_4,_b_debt_level_and_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
4676,r001,All doctorate recipients,All doctorate recipients,,,,1,43898,44781,46490,46449,46819,48759,49778,49230,50047,50735,50405
4676,r002,All doctorate recipients -> No debt,All doctorate recipients,No debt,,,2,28105,28663,29297,28883,29333,30890,31987,32603,33849,34717,35114
4676,r003,"All doctorate recipients -> $10,000 or less",All doctorate recipients,"$10,000 or less",,,2,3510,3697,4030,3931,3842,4189,4071,3801,3831,3470,3402
4676,r004,"All doctorate recipients -> $10,001&#8211;$30,000",All doctorate recipients,"$10,001&#8211;$30,000",,,2,4238,4314,4565,4609,4435,4464,4376,3897,3720,3791,3412
4676,r005,"All doctorate recipients -> $30,001 or more",All doctorate recipients,"$30,001 or more",,,2,8045,8107,8598,9026,9209,9216,9344,8929,8647,8757,8477
4676,r006,All doctorate recipients -> Life sciences<sup>a</sup>,All doctorate recipients,Life sciences<sup>a</sup>,,,2,10466,10673,11115,10867,10917,11306,11636,11617,11789,11903,11692
4676,r007,All doctorate recipients -> Life sciences<sup>a</sup> -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,No debt,,3,7268,7451,7658,7318,7427,7812,8100,8213,8401,8492,8440
4676,r008,"All doctorate recipients -> Life sciences<sup>a</sup> -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,"$10,000 or less",,3,849,853,943,904,860,940,914,913,875,837,803
4676,r009,"All doctorate recipients -> Life sciences<sup>a</sup> -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,"$10,001&#8211;$30,000",,3,944,909,1001,1016,997,943,940,818,815,852,724
4676,r010,"All doctorate recipients -> Life sciences<sup>a</sup> -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,"$30,001 or more",,3,1405,1460,1513,1629,1633,1611,1682,1673,1698,1722,1725
4676,r011,All doctorate recipients -> Life sciences<sup>a</sup> -> Physical sciences and earth sciences,All doctorate recipients,Life sciences<sup>a</sup>,Physical sciences and earth sciences,,3,4629,4900,5009,5005,5203,5328,5748,5624,5872,6123,5803
4676,r012,All doctorate recipients -> Life sciences<sup>a</sup> -> Physical sciences and earth sciences -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,Physical sciences and earth sciences,No debt,4,3575,3734,3833,3831,4023,4164,4530,4583,4825,5023,4911
4676,r013,"All doctorate recipients -> Life sciences<sup>a</sup> -> Physical sciences and earth sciences -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,Physical sciences and earth sciences,"$10,000 or less",4,384,401,426,421,404,460,484,392,446,394,359
4676,r014,"All doctorate recipients -> Life sciences<sup>a</sup> -> Physical sciences and earth sciences -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,Physical sciences and earth sciences,"$10,001&#8211;$30,000",4,333,353,377,380,365,324,335,298,269,317,234
4676,r015,"All doctorate recipients -> Life sciences<sup>a</sup> -> Physical sciences and earth sciences -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,Physical sciences and earth sciences,"$30,001 or more",4,337,412,373,373,411,380,399,351,332,389,299
4676,r016,All doctorate recipients -> Life sciences<sup>a</sup> -> Mathematics and computer sciences,All doctorate recipients,Life sciences<sup>a</sup>,Mathematics and computer sciences,,3,2956,2999,3149,3273,3415,3407,3589,3468,3675,3890,4038
4676,r017,All doctorate recipients -> Life sciences<sup>a</sup> -> Mathematics and computer sciences -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,Mathematics and computer sciences,No debt,4,2358,2381,2505,2633,2685,2747,2885,2835,3045,3251,3406
4676,r018,"All doctorate recipients -> Life sciences<sup>a</sup> -> Mathematics and computer sciences -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,Mathematics and computer sciences,"$10,000 or less",4,174,217,202,204,238,222,190,218,215,211,208
4676,r019,"All doctorate recipients -> Life sciences<sup>a</sup> -> Mathematics and computer sciences -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,Mathematics and computer sciences,"$10,001&#8211;$30,000",4,171,178,187,182,189,175,217,175,170,169,189
4676,r020,"All doctorate recipients -> Life sciences<sup>a</sup> -> Mathematics and computer sciences -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,Mathematics and computer sciences,"$30,001 or more",4,253,223,255,254,303,263,297,240,245,259,235
4676,r021,All doctorate recipients -> Life sciences<sup>a</sup> -> Psychology and social sciences,All doctorate recipients,Life sciences<sup>a</sup>,Psychology and social sciences,,3,7095,7363,7598,7442,7435,7853,8073,7956,7921,8062,7980
4676,r022,All doctorate recipients -> Life sciences<sup>a</sup> -> Psychology and social sciences -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,Psychology and social sciences,No debt,4,3415,3523,3560,3446,3431,3635,3966,4057,4169,4339,4449
4676,r023,"All doctorate recipients -> Life sciences<sup>a</sup> -> Psychology and social sciences -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,Psychology and social sciences,"$10,000 or less",4,556,630,657,615,609,670,687,644,609,550,570
