table_id,row_id,_b_field_and_citizenship_status_b_full_path,_b_field_and_citizenship_status_b_level_1,_b_field_and_citizenship_status_b_level_2,_b_field_and_citizenship_status_b_level_3,_b_field_and_citizenship_status_b_level_4,_b_field_and_citizenship_status_b_hierarchy_depth,field_1978,field_1983,field_1988,field_1993,field_1998,field_2003,field_2008,field_2013,field_2018,field_2023
11645,r001,All fields,All fields,,,,1,30875,31280,33497,39800,42636,40762,48776,52703,55078,57862
11645,r002,All fields -> U.S. citizen or permanent resident,All fields,U.S. citizen or permanent resident,,,2,26683,25698,24932,28722,31204,28170,30844,33964,35349,35566
11645,r003,All fields -> Temporary visa holder,All fields,Temporary visa holder,,,2,3475,4555,6241,9964,9461,10597,15261,15674,17582,19393
11645,r004,All fields -> Unknown citizenship,All fields,Unknown citizenship,,,2,717,1027,2324,1114,1971,1995,2671,3065,2147,2903
11645,r005,All fields -> Science and engineering,All fields,Science and engineering,,,2,17977,19130,21697,26486,28636,26759,34765,39084,42144,45533
11645,r006,All fields -> Science and engineering -> U.S. citizen or permanent resident,All fields,Science and engineering,U.S. citizen or permanent resident,,3,14874,14963,15121,17397,19338,16867,19907,23503,25436,26622
11645,r007,All fields -> Science and engineering -> Temporary visa holder,All fields,Science and engineering,Temporary visa holder,,3,2656,3532,5078,8332,8012,8694,13053,13444,15204,16768
11645,r008,All fields -> Science and engineering -> Unknown citizenship,All fields,Science and engineering,Unknown citizenship,,3,447,635,1498,757,1286,1198,1805,2137,1504,2143
11645,r009,All fields -> Science and engineering -> Agricultural sciences and natural resources,All fields,Science and engineering,Agricultural sciences and natural resources,,3,1085,1268,1277,1235,1315,1226,1252,1391,1499,1477
11645,r010,All fields -> Science and engineering -> Agricultural sciences and natural resources -> U.S. citizen or permanent resident,All fields,Science and engineering,Agricultural sciences and natural resources,U.S. citizen or permanent resident,4,724,841,775,647,708,628,675,769,823,845
11645,r011,All fields -> Science and engineering -> Agricultural sciences and natural resources -> Temporary visa holder,All fields,Science and engineering,Agricultural sciences and natural resources,Temporary visa holder,4,342,400,423,567,562,524,516,539,630,580
11645,r012,All fields -> Science and engineering -> Agricultural sciences and natural resources -> Unknown citizenship,All fields,Science and engineering,Agricultural sciences and natural resources,Unknown citizenship,4,19,27,79,21,45,74,61,83,46,52
11645,r013,All fields -> Science and engineering -> Biological and biomedical sciences,All fields,Science and engineering,Biological and biomedical sciences,,3,3516,3817,4208,5212,6011,5927,8145,8707,8782,9575
11645,r014,All fields -> Science and engineering -> Biological and biomedical sciences -> U.S. citizen or permanent resident,All fields,Science and engineering,Biological and biomedical sciences,U.S. citizen or permanent resident,4,3139,3399,3412,3844,4455,4250,5405,6044,6396,6906
11645,r015,All fields -> Science and engineering -> Biological and biomedical sciences -> Temporary visa holder,All fields,Science and engineering,Biological and biomedical sciences,Temporary visa holder,4,297,338,566,1277,1351,1434,2364,2211,2157,2299
11645,r016,All fields -> Science and engineering -> Biological and biomedical sciences -> Unknown citizenship,All fields,Science and engineering,Biological and biomedical sciences,Unknown citizenship,4,80,80,230,91,205,243,376,452,229,370
11645,r017,All fields -> Science and engineering -> Computer and information sciences,All fields,Science and engineering,Computer and information sciences,,3,121,286,515,880,927,866,1787,1843,2000,2687
11645,r018,All fields -> Science and engineering -> Computer and information sciences -> U.S. citizen or permanent resident,All fields,Science and engineering,Computer and information sciences,U.S. citizen or permanent resident,4,90,208,326,510,563,447,697,758,742,965
11645,r019,All fields -> Science and engineering -> Computer and information sciences -> Temporary visa holder,All fields,Science and engineering,Computer and information sciences,Temporary visa holder,4,27,74,176,348,326,379,1005,990,1163,1573
11645,r020,All fields -> Science and engineering -> Computer and information sciences -> Unknown citizenship,All fields,Science and engineering,Computer and information sciences,Unknown citizenship,4,4,4,13,22,38,40,85,95,95,149
11645,r021,All fields -> Science and engineering -> Engineering,All fields,Science and engineering,Engineering,,3,2423,2781,4186,5698,5922,5279,7863,9000,10164,11403
11645,r022,All fields -> Science and engineering -> Engineering -> U.S. citizen or permanent resident,All fields,Science and engineering,Engineering,U.S. citizen or permanent resident,4,1588,1485,2150,2700,3048,2180,2958,3767,4213,4804
11645,r023,All fields -> Science and engineering -> Engineering -> Temporary visa holder,All fields,Science and engineering,Engineering,Temporary visa holder,4,781,1191,1730,2791,2581,2913,4492,4759,5575,6034
11645,r024,All fields -> Science and engineering -> Engineering -> Unknown citizenship,All fields,Science and engineering,Engineering,Unknown citizenship,4,54,105,306,207,293,186,413,474,376,565
11645,r025,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",,3,578,587,670,721,766,682,865,989,1185,1231
11645,r026,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> U.S. citizen or permanent resident",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",U.S. citizen or permanent resident,4,499,474,494,463,534,451,536,654,760,782
11645,r027,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Temporary visa holder",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Temporary visa holder,4,69,97,131,228,202,201,293,290,392,395
11645,r028,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Unknown citizenship",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Unknown citizenship,4,10,16,45,30,30,30,36,45,33,54
11645,r029,All fields -> Science and engineering -> Health sciences,All fields,Science and engineering,Health sciences,,3,485,518,737,1016,1285,1353,1689,2109,2473,2435
11645,r030,All fields -> Science and engineering -> Health sciences -> U.S. citizen or permanent resident,All fields,Science and engineering,Health sciences,U.S. citizen or permanent resident,4,433,439,581,814,987,1020,1199,1539,1809,1729
11645,r031,All fields -> Science and engineering -> Health sciences -> Temporary visa holder,All fields,Science and engineering,Health sciences,Temporary visa holder,4,36,58,97,163,244,268,372,427,573,564
11645,r032,All fields -> Science and engineering -> Health sciences -> Unknown citizenship,All fields,Science and engineering,Health sciences,Unknown citizenship,4,16,21,59,39,54,65,118,143,91,142
11645,r033,All fields -> Science and engineering -> Mathematics and statistics,All fields,Science and engineering,Mathematics and statistics,,3,838,701,749,1146,1177,993,1400,1817,2022,2167
11645,r034,All fields -> Science and engineering -> Mathematics and statistics -> U.S. citizen or permanent resident,All fields,Science and engineering,Mathematics and statistics,U.S. citizen or permanent resident,4,666,459,388,590,673,517,673,873,994,977
11645,r035,All fields -> Science and engineering -> Mathematics and statistics -> Temporary visa holder,All fields,Science and engineering,Mathematics and statistics,Temporary visa holder,4,157,208,307,518,444,440,651,843,965,1112
11645,r036,All fields -> Science and engineering -> Mathematics and statistics -> Unknown citizenship,All fields,Science and engineering,Mathematics and statistics,Unknown citizenship,4,15,34,54,38,60,36,76,101,63,78
11645,r037,All fields -> Science and engineering -> Physical sciences ,All fields,Science and engineering,Physical sciences ,,3,2611,2801,3316,3681,3800,3289,4081,4595,5144,5460
11645,r038,All fields -> Science and engineering -> Physical sciences  -> U.S. citizen or permanent resident,All fields,Science and engineering,Physical sciences ,U.S. citizen or permanent resident,4,2167,2189,2239,2317,2444,1953,2138,2593,3008,3176
