table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_worldwide,field_domestic,field_foreign
1394,r001,All business activities,All business activities,,1,21100–81000,"['12,285,760', '  ']","['9,191,871', '  ']","['3,093,889', '&nbsp;']"
1394,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['117,732', '  ']","['58,244', '  ']","['59,489', '&nbsp;']"
1394,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['28,755', '  ']","['18,634', '  ']","['10,121', '&nbsp;']"
1394,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['44,702', '  ']","['25,825', '  ']","['18,877', '&nbsp;']"
1394,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['306,761', '  ']","['302,288', '  ']","['4,473', '&nbsp;']"
1394,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['52,281', '  ']","['45,590', '  ']","['6,691', '&nbsp;']"
1394,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['707,781', '  ']","['523,397', '  ']","['184,384', '&nbsp;']"
1394,r008,All business activities -> Beverages manufacturing,All business activities,Beverages manufacturing,2,31210,"['155,463', '  ']","['111,433', '  ']","['44,030', '&nbsp;']"
1394,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['65,022', '  ']","['34,196', '  ']","['30,826', '&nbsp;']"
1394,r010,"All business activities -> Textiles, apparel, and leather products manufacturing",All business activities,"Textiles, apparel, and leather products manufacturing",2,31990,"['113,516', '  ']","['93,256', '  ']","['20,260', '&nbsp;']"
1394,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['40,764', '  ']","['35,117', '  ']","['5,647', '&nbsp;']"
1394,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['126,987', '  ']","['92,775', '  ']","['34,212', '&nbsp;']"
1394,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['31,309', '  ']","['26,808', '  ']","['4,501', '&nbsp;']"
1394,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['415,590', '  ']","['245,480', '  ']","['170,110', '&nbsp;']"
1394,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['12,300', '  ']","['9,066', '  ']","['3,234', '&nbsp;']"
1394,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['15,672', '  ']","['10,569', '  ']","['5,103', '&nbsp;']"
1394,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['264,981', '  ']","['205,258', '  ']","['59,722', '&nbsp;']"
1394,r018,"All business activities -> Resins, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resins, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['91,427', '  ']","['58,372', '  ']","['33,055', '&nbsp;']"
1394,r019,"All business activities -> Pesticides, fertilizers, and other agricultural chemicals manufacturing",All business activities,"Pesticides, fertilizers, and other agricultural chemicals manufacturing",2,32530,"['59,610', '  ']","['42,103', '  ']","['17,507', '&nbsp;']"
1394,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",2,32541,"['599,300', '  ']","['454,867', '  ']","['144,433', '&nbsp;']"
1394,r021,All business activities -> In vitro diagnostic substances manufacturing,All business activities,In vitro diagnostic substances manufacturing,2,32542,"['16,288', '  ']","['7,753', '  ']","['8,536', 'i']"
1394,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances) manufacturing,All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances) manufacturing,2,32543,"['90,940', '  ']","['77,531', '  ']","['13,408', '&nbsp;']"
1394,r023,"All business activities -> Soaps, cleaning compounds, and toilet preparations manufacturing",All business activities,"Soaps, cleaning compounds, and toilet preparations manufacturing",2,32591,"['164,824', '  ']","['83,100', '  ']","['81,724', '&nbsp;']"
1394,r024,"All business activities -> Paints, adhesives, and other chemicals manufacturing",All business activities,"Paints, adhesives, and other chemicals manufacturing",2,32592,"['118,873', '  ']","['73,419', '  ']","['45,453', '&nbsp;']"
1394,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['240,149', '  ']","['175,735', '  ']","['64,414', '&nbsp;']"
1394,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['47,765', '  ']","['30,853', '  ']","['16,912', '&nbsp;']"
1394,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['34,781', '  ']","['28,328', '  ']","['6,453', '&nbsp;']"
1394,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['121,362', '  ']","['105,918', '  ']","['15,444', '&nbsp;']"
1394,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['165,127', '  ']","['129,815', '  ']","['35,312', '&nbsp;']"
1394,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['51,777', '  ']","['30,093', '  ']","['21,684', '&nbsp;']"
1394,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['49,370', '  ']","['35,074', '  ']","['14,296', '&nbsp;']"
1394,r032,"All business activities -> Mining, oil, and gas field machinery and equipment manufacturing",All business activities,"Mining, oil, and gas field machinery and equipment manufacturing",2,33319,"['48,043', '  ']","['21,616', '  ']","['26,427', '&nbsp;']"
1394,r033,All business activities -> Semiconductor machinery manufacturing,All business activities,Semiconductor machinery manufacturing,2,33321,"['30,749', '  ']","['15,676', '  ']","['15,074', '&nbsp;']"
1394,r034,All business activities -> Industrial machinery manufacturing (except semiconductor machinery),All business activities,Industrial machinery manufacturing (except semiconductor machinery),2,33322,"['37,747', '  ']","['25,375', '  ']","['12,372', '&nbsp;']"
1394,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['7,670', '  ']","['6,774', '  ']","['896', '&nbsp;']"
1394,r036,"All business activities -> Commercial, service industry, temperature control, and air-flow control machinery manufacturing",All business activities,"Commercial, service industry, temperature control, and air-flow control machinery manufacturing",2,33332,"['114,388', '  ']","['76,726', '  ']","['37,662', '&nbsp;']"
1394,r037,All business activities -> Digital cameras manufacturing,All business activities,Digital cameras manufacturing,2,33333,"['5,580', 'i ']","['2,068', 'i ']","['3,512', 'i']"
1394,r038,"All business activities -> Engine, turbine, and power transmission equipment manufacturing",All business activities,"Engine, turbine, and power transmission equipment manufacturing",2,33360,"['89,194', '  ']","['52,344', '  ']","['36,850', '&nbsp;']"
1394,r039,All business activities -> Metalworking and other general purpose machinery manufacturing,All business activities,Metalworking and other general purpose machinery manufacturing,2,33390,"['116,040', '  ']","['77,458', '  ']","['38,582', '&nbsp;']"
1394,r040,All business activities -> Computers and peripheral equipment manufacturing and magnetic and optical media,All business activities,Computers and peripheral equipment manufacturing and magnetic and optical media,2,33412,"['414,723', '  ']","['212,338', '  ']","['202,386', '&nbsp;']"
1394,r041,"All business activities -> Telephone apparatus manufacturing, including routers, modems, and gateways",All business activities,"Telephone apparatus manufacturing, including routers, modems, and gateways",2,33421,"['76,228', '  ']","['44,014', '  ']","['32,213', '&nbsp;']"
1394,r042,"All business activities -> Radio, television, and wireless communication equipment manufacturing",All business activities,"Radio, television, and wireless communication equipment manufacturing",2,33422,"['49,323', '  ']","['40,293', 'i ']","['9,030', '&nbsp;']"
1394,r043,"All business activities -> Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",All business activities,"Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",2,33429,"['16,352', '  ']","['14,452', '  ']","['1,900', '&nbsp;']"
1394,r044,All business activities -> Audio and video equipment manufacturing,All business activities,Audio and video equipment manufacturing,2,33430,"['35,473', '  ']","['25,739', 'i ']","['9,734', '&nbsp;']"
1394,r045,All business activities -> Semiconductor and other electronic components manufacturing,All business activities,Semiconductor and other electronic components manufacturing,2,33440,"['296,187', '  ']","['156,528', '  ']","['139,659', '&nbsp;']"
1394,r046,"All business activities -> Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",All business activities,"Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",2,33451,"['47,577', '  ']","['32,312', '  ']","['15,265', '&nbsp;']"
1394,r047,"All business activities -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments manufacturing",All business activities,"Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments manufacturing",2,33452,"['59,659', '  ']","['47,879', '  ']","['11,780', '&nbsp;']"
1394,r048,All business activities -> Measuring and control instruments manufacturing (not listed elsewhere),All business activities,Measuring and control instruments manufacturing (not listed elsewhere),2,33459,"['102,293', '  ']","['62,706', '  ']","['39,587', '&nbsp;']"
