table_id,row_id,r_d_activity_full_path,r_d_activity_level_1,r_d_activity_level_2,r_d_activity_hierarchy_depth,field_companies_number_,field_public_support_number_yes,field_public_support_number_no,field_public_support_percent_yes,field_public_support_percent_no
2649,r001,Product or process innovating companies,Product or process innovating companies,,1,"['    1,218,460 ', '&nbsp;']","['    38,829 ', '&nbsp;']","['    1,179,632 ', '&nbsp;']","['    3.2 ', '&nbsp;']","['    96.8 ', '&nbsp;']"
2649,r002,Product or process innovating companies -> R&D-active companies,Product or process innovating companies,R&D-active companies,2,"['    365,864 ', '&nbsp;']","['    22,918 ', '&nbsp;']","['    342,946 ', '&nbsp;']","['    6.3 ', '&nbsp;']","['    93.7 ', '&nbsp;']"
2649,r003,Product or process innovating companies -> Non-R&D-active companies,Product or process innovating companies,Non-R&D-active companies,2,"['    852,596 ', '&nbsp;']","['    15,911 ', '&nbsp;']","['    836,686 ', '&nbsp;']","['    1.9 ', '&nbsp;']","['    98.1 ', '&nbsp;']"
