table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_non_medical_school_r_d_expenditures,field_all_medical_school_r_d_expenditures,field_all_r_d_expenditures
12683,r001,All institutions,All institutions,,1,-,"['69,196,722', '']","['39,484,286', '']","['108,681,008', '']"
12683,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['2,883,002', '']","['918,583', '']","['3,801,585', '']"
12683,r003,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,2,"['1,405,080', '']","['0', '']","['1,405,080', '']"
12683,r004,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,3,"['1,255,190', '']","['0', '']","['1,255,190', '']"
12683,r005,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,4,"['1,221,049', '']","['56,765', '']","['1,277,814', '']"
12683,r006,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,5,"['1,128,841', '']","['797,034', '']","['1,925,875', '']"
12683,r007,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,6,"['1,127,480', '']","['604,469', '']","['1,731,949', '']"
12683,r008,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,7,"['1,076,754', '']","['0', '']","['1,076,754', '']"
12683,r009,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,8,"['1,049,305', '']","['157,488', '']","['1,206,793', '']"
12683,r010,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,9,"['1,000,081', '']","['0', '']","['1,000,081', '']"
12683,r011,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,10,"['989,652', '']","['46,186', '']","['1,035,838', '']"
12683,r012,All institutions -> Harvard U.,All institutions,Harvard U.,2,11,"['984,897', '']","['450,321', '']","['1,435,218', '']"
12683,r013,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,12,"['923,334', '']","['782,076', '']","['1,705,410', '']"
12683,r014,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,13,"['903,779', '']","['0', '']","['903,779', '']"
12683,r015,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,14,"['865,640', '']","['454,543', '']","['1,320,183', '']"
12683,r016,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,15,"['844,570', '']","['0', '']","['844,570', '']"
12683,r017,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,16,"['841,731', '']","['543,571', '']","['1,385,302', '']"
12683,r018,All institutions -> Cornell U.,All institutions,Cornell U.,2,17,"['821,271', '']","['630,700', '']","['1,451,971', '']"
12683,r019,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,18,"['820,053', '']","['970', '']","['821,023', '']"
12683,r020,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,19,"['789,767', '']","['944,324', '']","['1,734,091', '']"
12683,r021,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,20,"['727,411', '']","['116,665', '']","['844,076', '']"
12683,r022,All institutions -> U. Florida,All institutions,U. Florida,2,21,"['719,135', '']","['531,066', '']","['1,250,201', '']"
12683,r023,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,22,"['710,495', '']","['738,693', '']","['1,449,188', '']"
12683,r024,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,23,"['700,090', '']","['262,309', '']","['962,399', '']"
12683,r025,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,24,"['695,523', '']","['854,094', '']","['1,549,617', '']"
12683,r026,All institutions -> U. Southern California,All institutions,U. Southern California,2,25,"['676,214', '']","['478,590', '']","['1,154,804', '']"
12683,r027,All institutions -> U. Arizona,All institutions,U. Arizona,2,26,"['668,877', '']","['286,547', '']","['955,424', '']"
12683,r028,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,27,"['651,924', '']","['0', '']","['651,924', '']"
12683,r029,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,28,"['648,383', '']","['693,569', '']","['1,341,952', '']"
12683,r030,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,29,"['633,251', '']","['0', '']","['633,251', '']"
12683,r031,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,30,"['631,766', '']","['1,089,899', '']","['1,721,665', '']"
