table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2020_actual,field_2021_preliminary,field_2022_proposed,field_2020_21_change_,field_2021_22_change_
5543,r001,R&D and R&D plant,R&D and R&D plant,,,,,,1,1008,1127,1300,11.8,15.4
5543,r002,R&D and R&D plant -> Other advancement of commerce (376),R&D and R&D plant,Other advancement of commerce (376),,,,,2,,,,,
5543,r003,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,,,,3,974,1095,1268,12.4,15.8
5543,r004,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> Census Bureau,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,Census Bureau,,,4,153,138,130,-9.8,-5.8
5543,r005,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology<sup>a</sup>,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology<sup>a</sup>,,,4,813,945,1130,16.2,19.6
5543,r006,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology<sup>a</sup> -> Construction of research facilities,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology<sup>a</sup>,Construction of research facilities,,5,118,80,140,-32.2,75.0
5543,r007,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology<sup>a</sup> -> Industrial technology services,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology<sup>a</sup>,Industrial technology services,,5,21,159,162,657.1,1.9
5543,r008,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology<sup>a</sup> -> Scientific and technical research and services,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology<sup>a</sup>,Scientific and technical research and services,,5,674,706,828,4.7,17.3
5543,r009,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Oceanic and Atmospheric Administration,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Oceanic and Atmospheric Administration,,,4,8,12,8,50.0,-33.3
5543,r010,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,,5,8,12,8,50.0,-33.3
