table_id,row_id,sex_citizenship_ethnicity_and_race_full_path,sex_citizenship_ethnicity_and_race_level_1,sex_citizenship_ethnicity_and_race_level_2,sex_citizenship_ethnicity_and_race_level_3,sex_citizenship_ethnicity_and_race_level_4,sex_citizenship_ethnicity_and_race_hierarchy_depth,field_total,field_university_administered,field_nonprofit_administered,field_industry_administered
2527,r001,All postdocs,All postdocs,,,,1,3335,1398,912,1025
2527,r002,All postdocs -> Male,All postdocs,Male,,,2,2476,1033,670,773
2527,r003,All postdocs -> Female,All postdocs,Female,,,2,859,365,242,252
2527,r004,All postdocs -> U.S. citizens and permanent residents<sup>a</sup>,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,,,2,1429,446,365,618
2527,r005,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,76,25,15,36
2527,r006,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,1311,384,350,577
2527,r007,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,0,0,0,0
2527,r008,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,193,62,46,85
2527,r009,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,38,10,11,17
2527,r010,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,2,0,0,2
2527,r011,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,1043,293,289,461
2527,r012,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,35,19,4,12
2527,r013,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity or race,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity or race,,3,42,37,0,5
2527,r014,All postdocs -> Temporary visa holders,All postdocs,Temporary visa holders,,,2,1906,952,547,407
