table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_level_4,field_of_study_and_sex_level_5,field_of_study_and_sex_hierarchy_depth,field_total_number,field_total_se,field_employed_total_number,field_employed_total_se,field_employed_full_time_number,field_employed_full_time_se,field_employed_part_time_number,field_employed_part_time_se,field_unemployeda_number,field_unemployeda_se,field_retired_number,field_retired_se,field_not_employed_or_not_seeking_workb_number,field_not_employed_or_not_seeking_workb_se
3670,r001,All fields,All fields,,,,,1,1008950,1450,857200,1975,763350,2000,93900,1525,14100,650,120000,1400,17650,625
3670,r002,All fields -> Male,All fields,Male,,,,2,644650,1400,546050,1750,496700,1925,49350,1275,8500,575,84700,1275,5450,375
3670,r003,All fields -> Female,All fields,Female,,,,2,364300,1025,311200,1200,266650,1325,44550,925,5600,350,35300,650,12200,475
3670,r004,All fields -> Science,All fields,Science,,,,2,761850,1425,640300,1900,561850,1900,78450,1350,10200,575,97200,1300,14100,575
3670,r005,All fields -> Science -> Male,All fields,Science,Male,,,3,460650,1500,383900,1700,344350,1775,39550,1075,5850,475,67000,1175,3850,325
3670,r006,All fields -> Science -> Female,All fields,Science,Female,,,3,301200,1125,256400,1200,217500,1375,38900,875,4300,325,30200,625,10250,475
3670,r007,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,,3,258550,850,220700,1100,200900,1100,19850,625,4000,350,28700,700,5150,325
3670,r008,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Male,,4,147800,975,124550,1025,114500,1075,10050,525,2300,325,19850,625,1150,175
3670,r009,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Female,,4,110750,850,96200,900,86400,875,9800,450,1700,200,8850,350,4000,300
3670,r010,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,,4,21700,300,17400,350,15800,350,1600,175,400,125,3550,250,350,75
