table_id,row_id,sex_and_field_full_path,sex_and_field_level_1,sex_and_field_level_2,sex_and_field_level_3,sex_and_field_level_4,sex_and_field_level_5,sex_and_field_level_6,sex_and_field_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
3395,r001,Both sexes,Both sexes,,,,,,1,,,,,,,,,,,
3395,r002,Both sexes -> All fields,Both sexes,All fields,,,,,2,755598,793279,856381,949963,1026536,1015211,1012523,1024187,1017860,1014574,1020278
3395,r003,Both sexes -> All fields -> S&E,Both sexes,All fields,S&E,,,,3,49166,54284,62211,76021,84785,85798,87976,90589,88832,92650,98513
3395,r004,Both sexes -> All fields -> S&E -> Science,Both sexes,All fields,S&E,Science,,,4,46763,51955,59546,73027,81248,81927,83567,85585,83418,86602,91987
3395,r005,Both sexes -> All fields -> S&E -> Science -> Agricultural sciences,Both sexes,All fields,S&E,Science,Agricultural sciences,,5,1762,1811,1952,2138,2526,2392,2484,2678,2673,2781,2969
3395,r006,Both sexes -> All fields -> S&E -> Science -> Biological sciences,Both sexes,All fields,S&E,Science,Biological sciences,,5,2379,2546,2881,3440,4028,4340,4689,5071,5461,5737,6531
3395,r007,Both sexes -> All fields -> S&E -> Science -> Computer sciences,Both sexes,All fields,S&E,Science,Computer sciences,,5,28327,30050,32514,37675,41190,38897,37643,36421,30512,31179,31434
3395,r008,"Both sexes -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences",Both sexes,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",,5,67,98,99,95,103,112,136,153,152,151,129
3395,r009,Both sexes -> All fields -> S&E -> Science -> Mathematics and statistics,Both sexes,All fields,S&E,Science,Mathematics and statistics,,5,855,930,1051,1645,1529,1802,2140,2697,3029,3454,4135
3395,r010,Both sexes -> All fields -> S&E -> Science -> Physical sciences,Both sexes,All fields,S&E,Science,Physical sciences,,5,1909,2101,2304,3068,3567,3992,4399,4909,5390,5699,6578
3395,r011,Both sexes -> All fields -> S&E -> Science -> Psychology,Both sexes,All fields,S&E,Science,Psychology,,5,2412,3949,6582,3866,4713,6118,7529,8736,10602,11282,12488
3395,r012,Both sexes -> All fields -> S&E -> Science -> Social sciences,Both sexes,All fields,S&E,Science,Social sciences,,5,9052,10470,12163,21100,23592,24274,24547,24920,25599,26319,27723
3395,r013,Both sexes -> All fields -> S&E -> Engineering,Both sexes,All fields,S&E,Engineering,,,4,2403,2329,2665,2994,3537,3871,4409,5004,5414,6048,6526
3395,r014,Both sexes -> All fields -> Non-S&E,Both sexes,All fields,Non-S&E,,,,3,706432,738995,794170,873942,941751,929413,924547,933598,929028,921924,921765
