table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_number_,field_number_of_workers_increased,field_number_of_workers_decreased,field_number_of_workers_did_not_change,field_skill_level_of_workers_increased,field_skill_level_of_workers_decreased,field_skill_level_of_workers_did_not_change,field_stem_skills_of_workers_increased,field_stem_skills_of_workers_decreased,field_stem_skills_of_workers_did_not_change,field_stem_skills_of_workers_did_not_employ
5739,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation manufacturing",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation manufacturing",,4,3256,"['D', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']"
5739,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5739,r015,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['    9 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    88.9 ', 'r']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5739,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']"
5739,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['    0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']"
5739,r018,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['    153 ', '&nbsp;']","['    40.4 ', 'r']","['    18.5 ', 'r']","['    41.0 ', 'r']","['    60.8 ', 'r']","['D', '&nbsp;']","['    38.6 ', 'r']","['    60.8 ', 'r']","['    0.0 ', '&nbsp;']","['    37.3 ', 'r']","['D', '&nbsp;']"
5739,r019,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['    231 ', '&nbsp;']","['    56.7 ', 'r']","['D', '&nbsp;']","['    42.4 ', 'r']","['    42.2 ', 'r']","['    0.0 ', '&nbsp;']","['    57.8 ', '&nbsp;']","['    36.4 ', 'r']","['    0.0 ', '&nbsp;']","['    58.0 ', 'r']","['    5.6 ', 'r']"
5739,r020,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['    145 ', '&nbsp;']","['    44.1 ', '&nbsp;']","['    3.5 ', 'r']","['    52.5 ', '&nbsp;']","['    68.3 ', '&nbsp;']","['D', '&nbsp;']","['    27.6 ', '&nbsp;']","['    69.0 ', '&nbsp;']","['D', '&nbsp;']","['    19.3 ', '&nbsp;']","['    9.0 ', 'r']"
5739,r021,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['    9 ', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    55.6 ', 'r']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    55.6 ', 'r']","['    77.8 ', 'r']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']"
5739,r022,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['    10 ', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    60.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    100.0 ', 'r']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    50.0 ', '&nbsp;']","['D', '&nbsp;']"
