table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2021_actual,field_2022_preliminarya,field_2023_proposed,field_2021_22_change_,field_2022_23_change_
8447,r001,R&D and R&D plant,R&D and R&D plant,,,,1,230,233,228,1.3,-2.1
8447,r002,R&D and R&D plant -> International development and humanitarian assistance (151),R&D and R&D plant,International development and humanitarian assistance (151),,,2,217,220,215,1.4,-2.3
8447,r003,R&D and R&D plant -> International development and humanitarian assistance (151) -> Agency for International Development,R&D and R&D plant,International development and humanitarian assistance (151),Agency for International Development,,3,153,153,153,0.0,0.0
8447,r004,R&D and R&D plant -> International development and humanitarian assistance (151) -> Department of State,R&D and R&D plant,International development and humanitarian assistance (151),Department of State,,3,64,67,62,4.7,-7.5
8447,r005,R&D and R&D plant -> International Security Assistance (152),R&D and R&D plant,International Security Assistance (152),,,2,13,13,13,0.0,0.0
8447,r006,R&D and R&D plant -> International Security Assistance (152) -> Economic Support Fund,R&D and R&D plant,International Security Assistance (152),Economic Support Fund,,3,13,13,13,0.0,0.0
8447,r007,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,2,230,233,228,1.3,-2.1
8447,r008,R&D and R&D plant -> R&D -> International development and humanitarian assistance (151),R&D and R&D plant,R&D,International development and humanitarian assistance (151),,3,217,220,215,1.4,-2.3
8447,r009,R&D and R&D plant -> R&D -> International development and humanitarian assistance (151) -> Agency for International Development (151),R&D and R&D plant,R&D,International development and humanitarian assistance (151),Agency for International Development (151),4,153,153,153,0.0,0.0
8447,r010,R&D and R&D plant -> R&D -> International development and humanitarian assistance (151) -> Department of State,R&D and R&D plant,R&D,International development and humanitarian assistance (151),Department of State,4,64,67,62,4.7,-7.5
8447,r011,R&D and R&D plant -> R&D -> International Security Assistance (152),R&D and R&D plant,R&D,International Security Assistance (152),,3,13,13,13,0.0,0.0
8447,r012,R&D and R&D plant -> R&D -> International Security Assistance (152) -> Economic Support Fund,R&D and R&D plant,R&D,International Security Assistance (152),Economic Support Fund,4,13,13,13,0.0,0.0
