table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_united_states,field_companies_outside_united_states_company_s_parent,field_companies_outside_united_states_unaffiliated_companies,field_u_s_federal_government_agencies,field_u_s_state_government_agencies,field_foreign_government_agencies,field_all_other_in_united_states,field_all_other_outside_united_states
749,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['12,433', '&nbsp;']","['7,669', 'i']","['891', 'i']","['793', 'i']","['2,939', '&nbsp;']","['35', '&nbsp;']","['D', '&nbsp;']","['87', '&nbsp;']","['D', '&nbsp;']"
749,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['4,157', 'i']","['2,962', '&nbsp;']","['387', 'i']","['499', 'i']","['264', '&nbsp;']","['3', '&nbsp;']","['13', 'i']","['28', '&nbsp;']","['0', '&nbsp;']"
749,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,"['7,583', '&nbsp;']","['4,688', 'i']","['504', '&nbsp;']","['294', 'i']","['2,043', '&nbsp;']","['14', '&nbsp;']","['D', '&nbsp;']","['34', '&nbsp;']","['D', '&nbsp;']"
749,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,"['693', '&nbsp;']","['19', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['632', '&nbsp;']","['18', '&nbsp;']","['0', '&nbsp;']","['25', '&nbsp;']","['0', '&nbsp;']"
749,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['481', '&nbsp;']","['90', '&nbsp;']","['140', '&nbsp;']","['20', '&nbsp;']","['229', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']"
749,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['298', 'i']","['256', 'i']","['D', '&nbsp;']","['D', '&nbsp;']","['4', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['30', 'i']","['0', '&nbsp;']"
749,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['69', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['25', '&nbsp;']","['12', '&nbsp;']","['0', '&nbsp;']","['1', 'i']","['0', '&nbsp;']"
749,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['59,144', '&nbsp;']","['14,595', 'i']","['12,579', '&nbsp;']","['3,738', '&nbsp;']","['26,990', '&nbsp;']","['127', '&nbsp;']","['572', '&nbsp;']","['489', '&nbsp;']","['54', 'i']"
749,r074,All companies (number of domestic employees) -> Micro companies<sup>a</sup>,All companies (number of domestic employees),Micro companies<sup>a</sup>,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
749,r075,All companies (number of domestic employees) -> Micro companies<sup>a</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>a</sup>,5&#8211;9,,,3,–,"['1,016', 'i']","['396', 'i']","['148', '&nbsp;']","['18', 'i']","['412', 'i']","['6', 'i']","['3', '&nbsp;']","['34', 'i']","['*', '&nbsp;']"
749,r076,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
749,r077,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,"['1,246', 'i']","['452', 'i']","['364', 'i']","['81', 'i']","['317', 'i']","['12', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1', 'i']"
749,r078,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['2,316', 'i']","['767', 'i']","['417', 'i']","['60', 'i']","['1,024', '&nbsp;']","['20', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
749,r079,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
749,r080,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['2,706', '&nbsp;']","['1,279', 'i']","['658', '&nbsp;']","['197', 'i']","['532', '&nbsp;']","['5', 'i']","['*', 'i']","['34', '&nbsp;']","['1', 'i']"
749,r081,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['2,566', '&nbsp;']","['723', '&nbsp;']","['648', '&nbsp;']","['92', '&nbsp;']","['1,006', '&nbsp;']","['10', 'i']","['D', '&nbsp;']","['68', '&nbsp;']","['D', '&nbsp;']"
749,r082,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
749,r083,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['2,185', '&nbsp;']","['449', '&nbsp;']","['655', '&nbsp;']","['279', '&nbsp;']","['723', '&nbsp;']","['20', '&nbsp;']","['*', 'i']","['52', 'i']","['6', '&nbsp;']"
749,r084,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['2,023', 'i']","['634', '&nbsp;']","['969', 'i']","['206', 'i']","['183', '&nbsp;']","['2', 'i']","['11', 'i']","['16', '&nbsp;']","['2', 'i']"
749,r085,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['9,830', '&nbsp;']","['1,942', 'i']","['4,952', '&nbsp;']","['1,200', '&nbsp;']","['1,644', 'i']","['19', '&nbsp;']","['*', '&nbsp;']","['67', '&nbsp;']","['6', 'i']"
749,r086,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['4,178', '&nbsp;']","['1,143', '&nbsp;']","['1,760', '&nbsp;']","['290', '&nbsp;']","['891', '&nbsp;']","['10', '&nbsp;']","['0', '&nbsp;']","['82', '&nbsp;']","['1', '&nbsp;']"
749,r087,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['10,878', '&nbsp;']","['3,519', 'i']","['1,747', '&nbsp;']","['1,189', '&nbsp;']","['4,244', '&nbsp;']","['13', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
749,r088,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['20,201', '&nbsp;']","['3,290', '&nbsp;']","['261', '&nbsp;']","['127', '&nbsp;']","['16,013', 'i']","['10', '&nbsp;']","['420', '&nbsp;']","['80', '&nbsp;']","['1', '&nbsp;']"
