table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_united_states,field_companies_outside_united_states_company_s_parent,field_companies_outside_united_states_unaffiliated_companies,field_u_s_federal_government_agencies,field_u_s_state_government_agencies,field_foreign_government_agencies,field_all_other_in_united_states,field_all_other_outside_united_states
749,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements ,All industries,Manufacturing industries,Machinery,Agricultural implements ,,4,33311,"['15', 'i']","['4', 'i']","['6', '&nbsp;']","['*', 'i']","['3', 'i']","['*', 'i']","['0', '&nbsp;']","['1', 'i']","['*', 'i']"
749,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,"['297', 'i']","['1', 'i']","['217', 'i']","['7', 'i']","['71', 'i']","['*', 'i']","['0', '&nbsp;']","['1', 'i']","['0', '&nbsp;']"
749,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment ",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment ",,4,3336,"['154', '&nbsp;']","['39', '&nbsp;']","['81', '&nbsp;']","['*', '&nbsp;']","['33', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
749,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,"['416', '&nbsp;']","['158', 'i']","['113', '&nbsp;']","['14', '&nbsp;']","['114', '&nbsp;']","['1', 'i']","['*', 'i']","['16', '&nbsp;']","['*', 'i']"
749,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['8,345', '&nbsp;']","['1,474', '&nbsp;']","['2,153', '&nbsp;']","['306', '&nbsp;']","['4,213', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
749,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['1,426', 'i']","['D', '&nbsp;']","['D', '&nbsp;']","['1', '&nbsp;']","['776', 'i']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
749,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['1,855', '&nbsp;']","['393', '&nbsp;']","['1,246', '&nbsp;']","['169', '&nbsp;']","['45', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['*', '&nbsp;']","['D', '&nbsp;']"
749,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['4,910', '&nbsp;']","['808', '&nbsp;']","['430', '&nbsp;']","['115', '&nbsp;']","['3,365', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
749,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses ",5,"334510, 334517","['233', '&nbsp;']","['30', 'i']","['142', '&nbsp;']","['13', 'i']","['15', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['33', 'i']","['0', '&nbsp;']"
749,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments ",5,334511,"['4,480', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['91', '&nbsp;']","['3,301', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
749,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices ,5,other 3345,"['197', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['10', '&nbsp;']","['49', 'i']","['*', 'i']","['0', '&nbsp;']","['2', 'i']","['0', '&nbsp;']"
749,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['154', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['21', '&nbsp;']","['28', 'i']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
749,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['483', 'i']","['16', 'i']","['349', 'i']","['47', 'i']","['50', 'i']","['1', '&nbsp;']","['0', '&nbsp;']","['4', 'i']","['17', 'i']"
749,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['20,050', 'i']","['1,304', 'i']","['1,523', '&nbsp;']","['167', '&nbsp;']","['16,515', 'i']","['15', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
