table_id,row_id,time_period,_b_median_earnings_b_level_1,_b_median_earnings_b_level_2,_b_median_earnings_b_hierarchy_depth,value
11011,r001_1,Automotive service technicians and mechanics,Median earnings,All,2,42903
11011,r001_2,Automotive service technicians and mechanics,Median earnings,Male,2,42943
11011,r001_3,Automotive service technicians and mechanics,Median earnings,Female,2,34042
11011,r001_4,Automotive service technicians and mechanics,Median earnings,Male - Female,2,8901
11011,r001_5,Automotive service technicians and mechanics,Median earnings,Significant,2,0.05
11011,r002_1,Carpenters,Median earnings,All,2,41576
11011,r002_2,Carpenters,Median earnings,Male,2,41715
11011,r002_3,Carpenters,Median earnings,Female,2,38871
11011,r002_4,Carpenters,Median earnings,Male - Female,2,2844
11011,r003_1,Computer and information systems managers,Median earnings,All,2,119581
11011,r003_2,Computer and information systems managers,Median earnings,Male,2,121775
11011,r003_3,Computer and information systems managers,Median earnings,Female,2,104574
11011,r003_4,Computer and information systems managers,Median earnings,Male - Female,2,17201
11011,r003_5,Computer and information systems managers,Median earnings,Significant,2,0.05
11011,r004_1,"Computer occupations, all other",Median earnings,All,2,72981
11011,r004_2,"Computer occupations, all other",Median earnings,Male,2,74303
11011,r004_3,"Computer occupations, all other",Median earnings,Female,2,69722
11011,r004_4,"Computer occupations, all other",Median earnings,Male - Female,2,4581
11011,r004_5,"Computer occupations, all other",Median earnings,Significant,2,0.05
11011,r005_1,Computer support specialists,Median earnings,All,2,59968
11011,r005_2,Computer support specialists,Median earnings,Male,2,61450
11011,r005_3,Computer support specialists,Median earnings,Female,2,57216
11011,r005_4,Computer support specialists,Median earnings,Male - Female,2,4234
11011,r005_5,Computer support specialists,Median earnings,Significant,2,0.05
11011,r006_1,Computer systems analysts,Median earnings,All,2,84201
11011,r006_2,Computer systems analysts,Median earnings,Male,2,89793
11011,r006_3,Computer systems analysts,Median earnings,Female,2,77160
11011,r006_4,Computer systems analysts,Median earnings,Male - Female,2,12633
11011,r006_5,Computer systems analysts,Median earnings,Significant,2,0.05
11011,r007_1,Electricians,Median earnings,All,2,54325
11011,r007_2,Electricians,Median earnings,Male,2,54389
11011,r007_3,Electricians,Median earnings,Female,2,51409
11011,r007_4,Electricians,Median earnings,Male - Female,2,2980
11011,r008_1,Licensed practical and licensed vocational nurses,Median earnings,All,2,44936
11011,r008_2,Licensed practical and licensed vocational nurses,Median earnings,Male,2,49924
11011,r008_3,Licensed practical and licensed vocational nurses,Median earnings,Female,2,44882
11011,r008_4,Licensed practical and licensed vocational nurses,Median earnings,Male - Female,2,5042
11011,r008_5,Licensed practical and licensed vocational nurses,Median earnings,Significant,2,0.05
11011,r009_1,"Maintenance and repair workers, general",Median earnings,All,2,49825
11011,r009_2,"Maintenance and repair workers, general",Median earnings,Male,2,49852
11011,r009_3,"Maintenance and repair workers, general",Median earnings,Female,2,35783
11011,r009_4,"Maintenance and repair workers, general",Median earnings,Male - Female,2,14069
11011,r009_5,"Maintenance and repair workers, general",Median earnings,Significant,2,0.05
11011,r010_1,Medical and health services managers,Median earnings,All,2,76763
11011,r010_2,Medical and health services managers,Median earnings,Male,2,89516
11011,r010_3,Medical and health services managers,Median earnings,Female,2,74071
11011,r010_4,Medical and health services managers,Median earnings,Male - Female,2,15445
11011,r010_5,Medical and health services managers,Median earnings,Significant,2,0.05
11011,r011_1,"Misc. production workers, incl. equipment operators and tenders",Median earnings,All,2,38238
11011,r011_2,"Misc. production workers, incl. equipment operators and tenders",Median earnings,Male,2,39998
11011,r011_3,"Misc. production workers, incl. equipment operators and tenders",Median earnings,Female,2,31904
11011,r011_4,"Misc. production workers, incl. equipment operators and tenders",Median earnings,Male - Female,2,8094
11011,r011_5,"Misc. production workers, incl. equipment operators and tenders",Median earnings,Significant,2,0.05
11011,r012_1,Other engineers,Median earnings,All,2,99706
11011,r012_2,Other engineers,Median earnings,Male,2,99855
11011,r012_3,Other engineers,Median earnings,Female,2,96361
11011,r012_4,Other engineers,Median earnings,Male - Female,2,3494
11011,r013_1,Physicians,Median earnings,All,2,225364
11011,r013_2,Physicians,Median earnings,Male,2,252038
11011,r013_3,Physicians,Median earnings,Female,2,198350
11011,r013_4,Physicians,Median earnings,Male - Female,2,53688
11011,r013_5,Physicians,Median earnings,Significant,2,0.05
11011,r014_1,Registered nurses,Median earnings,All,2,71210
11011,r014_2,Registered nurses,Median earnings,Male,2,77055
11011,r014_3,Registered nurses,Median earnings,Female,2,69920
11011,r014_4,Registered nurses,Median earnings,Male - Female,2,7135
11011,r014_5,Registered nurses,Median earnings,Significant,2,0.05
11011,r015_1,Software developers,Median earnings,All,2,119038
11011,r015_2,Software developers,Median earnings,Male,2,119435
11011,r015_3,Software developers,Median earnings,Female,2,105639
11011,r015_4,Software developers,Median earnings,Male - Female,2,13796
11011,r015_5,Software developers,Median earnings,Significant,2,0.05
