table_id,row_id,characteristic,2009,2010,2011,2012,2013,2014,2015,2016,2017
9772,r001,Graduate student ,8878,11144,15685,19374,28581,33838,35464,33387,28524
9772,r002,All employees ,46595,54239,74528,83153,123164,138574,141233,134977,120657
9772,r003,Reporting universities,5,6,10,12,18,21,21,21,19
