table_id,row_id,time_period,_b_total_b_level_1,_b_total_b_level_2,_b_total_b_hierarchy_depth,value
3121,r001,2010,Total,All R&D expenditures,2,61286610
3121,r002,2010,Total,Basic research,2,40833182
3121,r003,2010,Total,Applied research,2,15277905
3121,r004,2010,Total,Experimental development,2,5175523
3121,r005,2010,Federal,All R&D expenditures,2,37477582
3121,r006,2010,Federal,Basic research,2,25583533
3121,r007,2010,Federal,Applied research,2,9268611
3121,r008,2010,Federal,Experimental development,2,2625438
3121,r009,2010,Nonfederal,All R&D expenditures,2,23809028
3121,r010,2010,Nonfederal,Basic research,2,15249649
3121,r011,2010,Nonfederal,Applied research,2,6009294
3121,r012,2010,Nonfederal,Experimental development,2,2550085
3121,r013,2011,Total,All R&D expenditures,2,65274393
3121,r014,2011,Total,Basic research,2,43280304
3121,r015,2011,Total,Applied research,2,16506290
3121,r016,2011,Total,Experimental development,2,5487799
3121,r017,2011,Federal,All R&D expenditures,2,40768251
3121,r018,2011,Federal,Basic research,2,27534372
3121,r019,2011,Federal,Applied research,2,10395286
3121,r020,2011,Federal,Experimental development,2,2838593
3121,r021,2011,Nonfederal,All R&D expenditures,2,24506142
3121,r022,2011,Nonfederal,Basic research,2,15745932
3121,r023,2011,Nonfederal,Applied research,2,6111004
3121,r024,2011,Nonfederal,Experimental development,2,2649206
3121,r025,2012,Total,All R&D expenditures,2,65729007
3121,r026,2012,Total,Basic research,2,42897421
3121,r027,2012,Total,Applied research,2,17038612
3121,r028,2012,Total,Experimental development,2,5792974
3121,r029,2012,Federal,All R&D expenditures,2,40142223
3121,r030,2012,Federal,Basic research,2,26673531
3121,r031,2012,Federal,Applied research,2,10465710
3121,r032,2012,Federal,Experimental development,2,3002982
3121,r033,2012,Nonfederal,All R&D expenditures,2,25586784
3121,r034,2012,Nonfederal,Basic research,2,16223890
3121,r035,2012,Nonfederal,Applied research,2,6572902
3121,r036,2012,Nonfederal,Experimental development,2,2789992
3121,r037,2013,Total,All R&D expenditures,2,67013138
3121,r038,2013,Total,Basic research,2,43789190
3121,r039,2013,Total,Applied research,2,17148776
3121,r040,2013,Total,Experimental development,2,6075172
3121,r041,2013,Federal,All R&D expenditures,2,39445931
3121,r042,2013,Federal,Basic research,2,26258644
3121,r043,2013,Federal,Applied research,2,10229149
3121,r044,2013,Federal,Experimental development,2,2958138
3121,r045,2013,Nonfederal,All R&D expenditures,2,27567207
3121,r046,2013,Nonfederal,Basic research,2,17530546
3121,r047,2013,Nonfederal,Applied research,2,6919627
3121,r048,2013,Nonfederal,Experimental development,2,3117034
3121,r049,2014,Total,All R&D expenditures,2,67199090
3121,r050,2014,Total,Basic research,2,43437547
3121,r051,2014,Total,Applied research,2,17526608
3121,r052,2014,Total,Experimental development,2,6234935
3121,r053,2014,Federal,All R&D expenditures,2,37961118
3121,r054,2014,Federal,Basic research,2,25082603
3121,r055,2014,Federal,Applied research,2,9928578
3121,r056,2014,Federal,Experimental development,2,2949937
3121,r057,2014,Nonfederal,All R&D expenditures,2,29237972
3121,r058,2014,Nonfederal,Basic research,2,18354944
3121,r059,2014,Nonfederal,Applied research,2,7598030
3121,r060,2014,Nonfederal,Experimental development,2,3284998
3121,r061,2015,Total,All R&D expenditures,2,68549882
3121,r062,2015,Total,Basic research,2,44192656
3121,r063,2015,Total,Applied research,2,17765667
3121,r064,2015,Total,Experimental development,2,6591559
3121,r065,2015,Federal,All R&D expenditures,2,37846802
3121,r066,2015,Federal,Basic research,2,25106489
3121,r067,2015,Federal,Applied research,2,9852482
3121,r068,2015,Federal,Experimental development,2,2887831
3121,r069,2015,Nonfederal,All R&D expenditures,2,30703080
3121,r070,2015,Nonfederal,Basic research,2,19086167
3121,r071,2015,Nonfederal,Applied research,2,7913185
3121,r072,2015,Nonfederal,Experimental development,2,3703728
3121,r073,2016,Total,All R&D expenditures,2,71736098
3121,r074,2016,Total,Basic research,2,45453223
3121,r075,2016,Total,Applied research,2,19656900
3121,r076,2016,Total,Experimental development,2,6625975
3121,r077,2016,Federal,All R&D expenditures,2,38771218
3121,r078,2016,Federal,Basic research,2,25121663
3121,r079,2016,Federal,Applied research,2,10756243
3121,r080,2016,Federal,Experimental development,2,2893312
3121,r081,2016,Nonfederal,All R&D expenditures,2,32964880
3121,r082,2016,Nonfederal,Basic research,2,20331560
3121,r083,2016,Nonfederal,Applied research,2,8900657
3121,r084,2016,Nonfederal,Experimental development,2,3732663
3121,r085,2017,Total,All R&D expenditures,2,75133630
3121,r086,2017,Total,Basic research,2,46854929
3121,r087,2017,Total,Applied research,2,21122947
3121,r088,2017,Total,Experimental development,2,7155754
3121,r089,2017,Federal,All R&D expenditures,2,40223757
3121,r090,2017,Federal,Basic research,2,25803477
3121,r091,2017,Federal,Applied research,2,11416109
3121,r092,2017,Federal,Experimental development,2,3004171
3121,r093,2017,Nonfederal,All R&D expenditures,2,34909873
3121,r094,2017,Nonfederal,Basic research,2,21051452
3121,r095,2017,Nonfederal,Applied research,2,9706838
3121,r096,2017,Nonfederal,Experimental development,2,4151583
3121,r097,2018,Total,All R&D expenditures,2,79014076
3121,r098,2018,Total,Basic research,2,49597334
3121,r099,2018,Total,Applied research,2,22006994
3121,r100,2018,Total,Experimental development,2,7409748
3121,r101,2018,Federal,All R&D expenditures,2,41836102
3121,r102,2018,Federal,Basic research,2,26878500
3121,r103,2018,Federal,Applied research,2,11859350
3121,r104,2018,Federal,Experimental development,2,3098252
3121,r105,2018,Nonfederal,All R&D expenditures,2,37177974
3121,r106,2018,Nonfederal,Basic research,2,22718834
3121,r107,2018,Nonfederal,Applied research,2,10147644
3121,r108,2018,Nonfederal,Experimental development,2,4311496
3121,r109,2019,Total,All R&D expenditures,2,83496348
3121,r110,2019,Total,Basic research,2,52262017
3121,r111,2019,Total,Applied research,2,23509649
3121,r112,2019,Total,Experimental development,2,7724682
3121,r113,2019,Federal,All R&D expenditures,2,44455265
3121,r114,2019,Federal,Basic research,2,28499842
3121,r115,2019,Federal,Applied research,2,12655790
3121,r116,2019,Federal,Experimental development,2,3299633
3121,r117,2019,Nonfederal,All R&D expenditures,2,39041083
3121,r118,2019,Nonfederal,Basic research,2,23762175
3121,r119,2019,Nonfederal,Applied research,2,10853859
3121,r120,2019,Nonfederal,Experimental development,2,4425049
