table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2020_actual,field_2021_preliminary,field_2022_proposed,field_2020_21_change_,field_2021_22_change_
5538,r001,R&D and R&D plant,R&D and R&D plant,,,,1,13659,13800,15445,1.0,11.9
5538,r002,R&D and R&D plant -> Department of Energy,R&D and R&D plant,Department of Energy,,,2,,,,,
5538,r003,R&D and R&D plant -> Department of Energy -> Office of Science<sup>a</sup>,R&D and R&D plant,Department of Energy,Office of Science<sup>a</sup>,,3,6923,6918,7272,-0.1,5.1
5538,r004,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup>",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",,,2,6736,6882,8173,2.2,18.8
5538,r005,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Arctic Research Commission",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",Arctic Research Commission,,3,2,2,2,0.0,3.1
5538,r006,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Biological Sciences",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",Biological Sciences,,3,828,818,949,-1.2,15.9
5538,r007,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Computer and Information Science and Engineering",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",Computer and Information Science and Engineering,,3,1011,1005,1116,-0.6,11.0
5538,r008,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Education and Human Resources",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",Education and Human Resources,,3,1089,1110,1287,1.9,15.9
5538,r009,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Engineering",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",Engineering,,3,769,762,917,-1.0,20.3
5538,r010,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Geosciences",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",Geosciences,,3,994,1004,1195,1.1,19.0
5538,r011,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Integrative Activities",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",Integrative Activities,,3,353,527,505,49.3,-4.2
5538,r012,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> International Science and Engineering",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",International Science and Engineering,,3,51,51,75,0.6,46.8
5538,r013,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Major Research Equipment and Facilities and Construction",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",Major Research Equipment and Facilities and Construction,,3,155,241,249,55.6,3.3
5538,r014,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Mathematical and Physical Sciences",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",Mathematical and Physical Sciences,,3,1536,1580,1691,2.9,7.0
5538,r015,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Social, Behavioral and Economic Sciences",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>","Social, Behavioral and Economic Sciences",,3,290,282,320,-2.7,13.3
5538,r016,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Technology, Innovation, and Partnerships",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>","Technology, Innovation, and Partnerships",,3,352,365,865,3.6,137.0
5538,r017,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Budget authority adjustment<sup>d</sup>",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",Budget authority adjustment<sup>d</sup>,,3,-695,-867,-996,na,na
5538,r018,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,2,11620,11683,13344,0.5,14.2
5538,r019,R&D and R&D plant -> R&D -> Department of Energy,R&D and R&D plant,R&D,Department of Energy,,3,,,,,
5538,r020,R&D and R&D plant -> R&D -> Department of Energy -> Office of Science<sup>a</sup>,R&D and R&D plant,R&D,Department of Energy,Office of Science<sup>a</sup>,4,5325,5335,5765,0.2,8.1
5538,r021,"R&D and R&D plant -> R&D -> National Science Foundation<sup>b,e</sup>",R&D and R&D plant,R&D,"National Science Foundation<sup>b,e</sup>",,3,6294,6348,7578,0.9,19.4
5538,r022,"R&D and R&D plant -> R&D -> National Science Foundation<sup>b,e</sup> -> Arctic Research Commission",R&D and R&D plant,R&D,"National Science Foundation<sup>b,e</sup>",Arctic Research Commission,4,2,2,2,0.0,3.1
5538,r023,"R&D and R&D plant -> R&D -> National Science Foundation<sup>b,e</sup> -> Biological Sciences",R&D and R&D plant,R&D,"National Science Foundation<sup>b,e</sup>",Biological Sciences,4,828,818,949,-1.2,15.9
5538,r024,"R&D and R&D plant -> R&D -> National Science Foundation<sup>b,e</sup> -> Computer and Information Science and Engineering",R&D and R&D plant,R&D,"National Science Foundation<sup>b,e</sup>",Computer and Information Science and Engineering,4,1011,1005,1116,-0.6,11.0
5538,r025,"R&D and R&D plant -> R&D -> National Science Foundation<sup>b,e</sup> -> Education and Human Resources",R&D and R&D plant,R&D,"National Science Foundation<sup>b,e</sup>",Education and Human Resources,4,1089,1110,1287,1.9,15.9
5538,r026,"R&D and R&D plant -> R&D -> National Science Foundation<sup>b,e</sup> -> Engineering",R&D and R&D plant,R&D,"National Science Foundation<sup>b,e</sup>",Engineering,4,769,762,917,-1.0,20.3
5538,r027,"R&D and R&D plant -> R&D -> National Science Foundation<sup>b,e</sup> -> Geosciences",R&D and R&D plant,R&D,"National Science Foundation<sup>b,e</sup>",Geosciences,4,994,1004,1195,1.1,19.0
5538,r028,"R&D and R&D plant -> R&D -> National Science Foundation<sup>b,e</sup> -> Integrative Activities",R&D and R&D plant,R&D,"National Science Foundation<sup>b,e</sup>",Integrative Activities,4,353,527,505,49.3,-4.2
5538,r029,"R&D and R&D plant -> R&D -> National Science Foundation<sup>b,e</sup> -> International Science and Engineering",R&D and R&D plant,R&D,"National Science Foundation<sup>b,e</sup>",International Science and Engineering,4,51,51,75,0.6,46.8
5538,r030,"R&D and R&D plant -> R&D -> National Science Foundation<sup>b,e</sup> -> Major Research Equipment and Facilities Construction",R&D and R&D plant,R&D,"National Science Foundation<sup>b,e</sup>",Major Research Equipment and Facilities Construction,4,155,241,249,55.6,3.3
5538,r031,"R&D and R&D plant -> R&D -> National Science Foundation<sup>b,e</sup> -> Mathematical and Physical Sciences",R&D and R&D plant,R&D,"National Science Foundation<sup>b,e</sup>",Mathematical and Physical Sciences,4,1536,1580,1691,2.9,7.0
5538,r032,"R&D and R&D plant -> R&D -> National Science Foundation<sup>b,e</sup> -> Social, Behavioral and Economic Sciences",R&D and R&D plant,R&D,"National Science Foundation<sup>b,e</sup>","Social, Behavioral and Economic Sciences",4,290,282,320,-2.7,13.3
5538,r033,"R&D and R&D plant -> R&D -> National Science Foundation<sup>b,e</sup> -> Technology, Innovation, and Partnerships",R&D and R&D plant,R&D,"National Science Foundation<sup>b,e</sup>","Technology, Innovation, and Partnerships",4,352,365,865,3.6,137.0
5538,r034,"R&D and R&D plant -> R&D -> National Science Foundation<sup>b,e</sup> -> Budget authority adjustment<sup>f</sup>",R&D and R&D plant,R&D,"National Science Foundation<sup>b,e</sup>",Budget authority adjustment<sup>f</sup>,4,-1136,-1400,-1591,na,na
