table_id,row_id,student_grade_and_characteristic_full_path,student_grade_and_characteristic_level_1,student_grade_and_characteristic_level_2,student_grade_and_characteristic_level_3,student_grade_and_characteristic_hierarchy_depth,field_1990,field_1992,field_1996,field_2000,field_2003,field_2005,field_2007,field_2009,field_2011,field_2013,field_2015,field_2017,field_2019,field_2022
9442,r001,All students in grade 4,All students in grade 4,,,1,13,18,21,24,32,36,39,39,40,42,40,40,41,36
9442,r002,All students in grade 4 -> Sex,All students in grade 4,Sex,,2,,,,,,,,,,,,,,
9442,r003,All students in grade 4 -> Sex -> Female,All students in grade 4,Sex,Female,3,12,16,20,22,30,34,37,37,39,41,38,38,38,32
9442,r004,All students in grade 4 -> Sex -> Male,All students in grade 4,Sex,Male,3,13,19,22,26,35,38,41,41,42,43,42,42,44,40
9442,r005,All students in grade 4 -> Race or ethnicity<sup>a</sup>,All students in grade 4,Race or ethnicity<sup>a</sup>,,2,,,,,,,,,,,,,,
9442,r006,All students in grade 4 -> Race or ethnicity<sup>a</sup> -> American Indian or Alaska Native,All students in grade 4,Race or ethnicity<sup>a</sup>,American Indian or Alaska Native,3,s,s,10,8,17,21,25,21,22,23,23,24,24,22
9442,r007,All students in grade 4 -> Race or ethnicity<sup>a</sup> -> Asian or Pacific Islander,All students in grade 4,Race or ethnicity<sup>a</sup>,Asian or Pacific Islander,3,22,28,27,s,48,55,58,60,62,64,62,64,66,61
9442,r008,All students in grade 4 -> Race or ethnicity<sup>a</sup> -> Black,All students in grade 4,Race or ethnicity<sup>a</sup>,Black,3,1,2,3,5,10,13,15,16,17,18,19,19,20,15
9442,r009,All students in grade 4 -> Race or ethnicity<sup>a</sup> -> Hispanic<sup>b</sup>,All students in grade 4,Race or ethnicity<sup>a</sup>,Hispanic<sup>b</sup>,3,5,6,7,7,16,19,22,22,24,26,26,26,28,22
9442,r010,All students in grade 4 -> Race or ethnicity<sup>a</sup> -> Two or more races<sup>c</sup>,All students in grade 4,Race or ethnicity<sup>a</sup>,Two or more races<sup>c</sup>,3,s,s,s,16,33,40,40,42,45,46,45,45,44,38
9442,r011,All students in grade 4 -> Race or ethnicity<sup>a</sup> -> White,All students in grade 4,Race or ethnicity<sup>a</sup>,White,3,16,22,27,31,43,47,51,51,52,54,51,51,52,48
9442,r012,All students in grade 4 -> Socioeconomic status<sup>d </sup>,All students in grade 4,Socioeconomic status<sup>d </sup>,,2,,,,,,,,,,,,,,
9442,r013,All students in grade 4 -> Socioeconomic status<sup>d </sup> -> Eligible for free or reduced-price lunch,All students in grade 4,Socioeconomic status<sup>d </sup>,Eligible for free or reduced-price lunch,3,NA,NA,8,8,15,19,22,22,24,25,24,25,26,20
9442,r014,All students in grade 4 -> Socioeconomic status<sup>d </sup> -> Not eligible for free or reduced-price lunch,All students in grade 4,Socioeconomic status<sup>d </sup>,Not eligible for free or reduced-price lunch,3,NA,NA,27,32,45,49,53,54,57,59,58,57,58,51
