table_id,row_id,field_of_study_and_employment_status_full_path,field_of_study_and_employment_status_level_1,field_of_study_and_employment_status_level_2,field_of_study_and_employment_status_level_3,field_of_study_and_employment_status_level_4,field_of_study_and_employment_status_hierarchy_depth,field_total_number,field_total_se,field_hispanic_or_latinoa_number,field_hispanic_or_latinoa_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_number,field_not_hispanic_or_latinob_american_indian_or_alaska_native_se,field_not_hispanic_or_latinob_asian_number,field_not_hispanic_or_latinob_asian_se,field_not_hispanic_or_latinob_black_or_african_american_number,field_not_hispanic_or_latinob_black_or_african_american_se,field_not_hispanic_or_latinob_white_number,field_not_hispanic_or_latinob_white_se,field_not_hispanic_or_latinob_other_racec_number,field_not_hispanic_or_latinob_other_racec_se
3671,r001,All fields,All fields,,,,1,1008950,1450,41400,575,1600,150,235050,1325,35050,350,682450,1425,13400,400
3671,r002,All fields -> Full time,All fields,Full time,,,2,763350,2000,33250,575,1100,125,201300,1375,27650,425,489300,1775,10700,350
3671,r003,All fields -> Part time,All fields,Part time,,,2,93900,1525,3950,250,150,50,12050,625,3400,275,73050,1275,1250,150
3671,r004,All fields -> Unemployed<sup>d</sup>,All fields,Unemployed<sup>d</sup>,,,2,14100,650,850,125,50,50,3950,350,1050,175,8000,475,150,50
3671,r005,All fields -> Retired,All fields,Retired,,,2,120000,1400,2250,200,150,50,13500,700,2300,200,100800,1400,1000,150
3671,r006,All fields -> Not employed or not seeking work<sup>e</sup>,All fields,Not employed or not seeking work<sup>e</sup>,,,2,17650,625,1050,175,50,50,4200,375,650,125,11300,500,350,75
3671,r007,All fields -> Science,All fields,Science,,,2,761850,1425,32400,500,1300,125,142100,1250,26850,375,548500,1525,10700,350
3671,r008,All fields -> Science -> Full time,All fields,Science,Full time,,3,561850,1900,25750,475,900,125,120250,1200,20850,400,385750,1850,8350,325
3671,r009,All fields -> Science -> Part time,All fields,Science,Part time,,3,78450,1350,3450,225,150,50,8600,475,2950,250,62150,1175,1150,125
3671,r010,All fields -> Science -> Unemployed<sup>d</sup>,All fields,Science,Unemployed<sup>d</sup>,,3,10200,575,650,100,50,50,2400,275,750,175,6150,425,100,50
3671,r011,All fields -> Science -> Retired,All fields,Science,Retired,,3,97200,1300,1800,150,100,50,7800,475,1800,175,84950,1300,800,125
3671,r012,All fields -> Science -> Not employed or not seeking work<sup>e</sup>,All fields,Science,Not employed or not seeking work<sup>e</sup>,,3,14100,575,700,125,50,50,3050,300,500,100,9450,475,300,75
3671,r013,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,3,258550,850,11250,300,250,50,55700,900,7800,275,179600,1075,3950,225
3671,r014,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Full time",All fields,Science,"Biological, agricultural, and environmental life sciences",Full time,4,200900,1100,9500,300,200,50,47850,900,6500,250,133650,1050,3200,200
