table_id,row_id,occupation_and_age_years_full_path,occupation_and_age_years_level_1,occupation_and_age_years_level_2,occupation_and_age_years_level_3,occupation_and_age_years_level_4,occupation_and_age_years_level_5,occupation_and_age_years_hierarchy_depth,field_total,field_without_disability,field_with_disability
3303,r001,All occupations,All occupations,,,,,1,80000,81000,79000
3303,r002,All occupations -> 29 and younger,All occupations,29 and younger,,,,2,55000,55000,52000
3303,r003,All occupations -> 30&#8211;39,All occupations,30&#8211;39,,,,2,79000,80000,66000
3303,r004,All occupations -> 40&#8211;49,All occupations,40&#8211;49,,,,2,95000,96000,87000
3303,r005,All occupations -> 50&#8211;75,All occupations,50&#8211;75,,,,2,98000,100000,88000
3303,r006,All occupations -> S&E occupations<sup>a</sup>,All occupations,S&E occupations<sup>a</sup>,,,,2,95000,95000,92000
3303,r007,All occupations -> S&E occupations<sup>a</sup> -> 29 and younger,All occupations,S&E occupations<sup>a</sup>,29 and younger,,,3,67000,68000,58000
3303,r008,All occupations -> S&E occupations<sup>a</sup> -> 30&#8211;39,All occupations,S&E occupations<sup>a</sup>,30&#8211;39,,,3,90000,90000,82000
3303,r009,All occupations -> S&E occupations<sup>a</sup> -> 40&#8211;49,All occupations,S&E occupations<sup>a</sup>,40&#8211;49,,,3,105000,106000,102000
3303,r010,All occupations -> S&E occupations<sup>a</sup> -> 50&#8211;75,All occupations,S&E occupations<sup>a</sup>,50&#8211;75,,,3,110000,110000,108000
3303,r011,All occupations -> S&E occupations<sup>a</sup> -> Science occupations,All occupations,S&E occupations<sup>a</sup>,Science occupations,,,3,92000,93000,90000
3303,r012,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> 29 and younger,All occupations,S&E occupations<sup>a</sup>,Science occupations,29 and younger,,4,62000,64000,58000
3303,r013,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> 30&#8211;39,All occupations,S&E occupations<sup>a</sup>,Science occupations,30&#8211;39,,4,88000,88000,80000
3303,r014,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> 40&#8211;49,All occupations,S&E occupations<sup>a</sup>,Science occupations,40&#8211;49,,4,103000,103000,104000
3303,r015,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> 50&#8211;75,All occupations,S&E occupations<sup>a</sup>,Science occupations,50&#8211;75,,4,106000,107000,101000
3303,r016,"All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Biological, agricultural, and other life scientist",All occupations,S&E occupations<sup>a</sup>,Science occupations,"Biological, agricultural, and other life scientist",,4,66000,66000,68000
3303,r017,"All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Biological, agricultural, and other life scientist -> 29 and younger",All occupations,S&E occupations<sup>a</sup>,Science occupations,"Biological, agricultural, and other life scientist",29 and younger,5,40000,40000,35000
3303,r018,"All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Biological, agricultural, and other life scientist -> 30&#8211;39",All occupations,S&E occupations<sup>a</sup>,Science occupations,"Biological, agricultural, and other life scientist",30&#8211;39,5,61000,60000,104000
3303,r019,"All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Biological, agricultural, and other life scientist -> 40&#8211;49",All occupations,S&E occupations<sup>a</sup>,Science occupations,"Biological, agricultural, and other life scientist",40&#8211;49,5,91000,94000,68000
