table_id,row_id,state,total_unique_ai_related_job_postings,total_unique_job_postings,percent_of_all_unique_job_postings_that_are_ai_related
6209,r001,Alabama,24531,2770968,0.89
6209,r002,Alaska,6018,475521,1.27
6209,r003,Arizona,63577,3343964,1.9
6209,r004,Arkansas,19008,2059626,0.92
6209,r005,California,685998,17827088,3.85
6209,r006,Colorado,91198,4069643,2.24
6209,r007,Connecticut,44109,2149345,2.05
6209,r008,Delaware,16694,718979,2.32
6209,r009,District of Columbia,64115,1390626,4.61
6209,r010,Florida,116986,8625104,1.36
6209,r011,Georgia,96084,5697887,1.69
6209,r012,Hawaii,5388,454259,1.19
6209,r013,Idaho,11579,987540,1.17
6209,r014,Illinois,164296,8384859,1.96
6209,r015,Indiana,31966,4246109,0.75
6209,r016,Iowa,26723,2717540,0.98
6209,r017,Kansas,24270,2213575,1.1
6209,r018,Kentucky,19664,2755659,0.71
6209,r019,Louisiana,15071,2246998,0.67
6209,r020,Maine,8434,931436,0.91
6209,r021,Maryland,97644,4026884,2.42
6209,r022,Massachusetts,169238,5115881,3.31
6209,r023,Michigan,69008,5347399,1.29
6209,r024,Minnesota,68688,4163393,1.65
6209,r025,Mississippi,8083,1527234,0.53
6209,r026,Missouri,53496,4264348,1.25
6209,r027,Montana,6880,709650,0.97
6209,r028,Nebraska,14643,1456123,1.01
6209,r029,Nevada,17353,1397034,1.24
6209,r030,New Hampshire,15154,1087345,1.39
6209,r031,New Jersey,122873,5041387,2.44
6209,r032,New Mexico,15147,1105194,1.37
6209,r033,New York,309182,9864638,3.13
6209,r034,North Carolina,106490,5737720,1.86
6209,r035,North Dakota,7156,634223,1.13
6209,r036,Ohio,87520,7458853,1.17
6209,r037,Oklahoma,14220,2210086,0.64
6209,r038,Oregon,45371,2445498,1.86
6209,r039,Pennsylvania,126313,8794619,1.44
6209,r040,Rhode Island,16355,760158,2.15
6209,r041,South Carolina,21601,2758078,0.78
6209,r042,South Dakota,6561,632103,1.04
6209,r043,Tennessee,41137,3962863,1.04
6209,r044,Texas,268357,13657677,1.96
6209,r045,Utah,35218,1954017,1.8
6209,r046,Vermont,8834,597382,1.48
6209,r047,Virginia,189320,6497229,2.91
6209,r048,Washington,186966,4641732,4.03
6209,r049,West Virginia,8534,1433391,0.6
6209,r050,Wisconsin,36408,3882506,0.94
6209,r051,Wyoming,4574,461915,0.99
6209,r052,Total,3714033,187693286,1.98
