table_id,row_id,stratum_full_path,stratum_level_1,stratum_level_2,stratum_level_3,stratum_hierarchy_depth,field_sent_one_form,field_sent_multiple_formsa
2106,r001,Total,Total,,,1,44671,92
2106,r002,Total -> Known positive R&D,Total,Known positive R&D,,2,17528,92
2106,r003,Total -> Known positive R&D -> Certainties,Total,Known positive R&D,Certainties,3,12821,92
2106,r004,Total -> Known positive R&D -> Noncertainties,Total,Known positive R&D,Noncertainties,3,4707,0
2106,r005,Total -> Known zero R&D,Total,Known zero R&D,,2,2105,0
2106,r006,Total -> Known zero R&D -> Certainties,Total,Known zero R&D,Certainties,3,1524,0
2106,r007,Total -> Known zero R&D -> Noncertainties,Total,Known zero R&D,Noncertainties,3,581,0
2106,r008,Total -> Unknown R&D,Total,Unknown R&D,,2,24945,0
2106,r009,Total -> Unknown R&D -> Certainties,Total,Unknown R&D,Certainties,3,5885,0
2106,r010,Total -> Unknown R&D -> Noncertainties,Total,Unknown R&D,Noncertainties,3,19060,0
2106,r011,Total -> Cases not in the frame,Total,Cases not in the frame,,2,93,0
