table_id,row_id,region_country_or_economy,2003,2005,2007,2009,2011,2013,2015,2017,2019,2021
10005,r001,China,37.43,37.97,38.64,41.05,44.21,46.02,46.93,45.24,41.8,35.61
10005,r002,India,38.38,38.52,36.07,34.92,33.99,34.43,32.74,31.5,28.39,25.02
10005,r003,United Kingdom,30.73,30.81,30.12,28.99,29.28,29.12,29.51,28.93,27.98,27.75
10005,r004,Germany,30.01,29.77,28.98,28.2,28.65,28.95,28.47,28.69,27.96,27.95
10005,r005,Italy,31.53,32.41,31.69,30.94,30.7,30.08,28.62,28.1,26.92,27.17
10005,r006,Japan,40.75,38.7,37.63,34.65,33.4,33.55,32.49,32.83,30.73,31.18
10005,r007,Canada,50.56,50.18,48.63,46.38,46.02,44.67,44.32,43.74,42.45,42.47
10005,r008,France,25.8,25.53,24.51,23.77,24.86,25.37,24.91,25.2,25.07,25.94
10005,r009,Australia,33.05,32.27,30.96,30.16,29.89,29.42,29.13,28.34,26.61,26.64
10005,r010,Spain,27.56,26.19,25.57,25.12,25.84,25.34,24.52,24.89,24.43,24.13
10005,r011,Russia,26.22,27.72,26.81,25.23,25.31,26.35,25.53,24.05,21.58,20.19
10005,r012,South Korea,56.22,55.95,52.88,51.13,52.38,51.13,49.63,46.21,40.93,37.17
10005,r013,Brazil,39.24,37.63,38.93,36.9,36.09,35.72,35.21,36.12,34.41,34.7
10005,r014,Iran,27.66,20.99,22.4,21.95,21.37,23.04,24.01,25.59,21.64,20.77
