table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_hierarchy_depth,field_exporting_industry_naics_code,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
10760,r001,&nbsp;,&nbsp;,,1,,U.S. gross exports to all economies,,,,,,,,,,,,,,
10760,r002,All industries,All industries,,1,Total,1509591,1671302,1433083,1669248,1900197,1982383,2037816,2111188,1991463,1947445,2085548,2211375,2203540,1851596,2179415
10760,r003,All industries -> Semiconductor and other electronic components manufacturing,All industries,Semiconductor and other electronic components manufacturing,2,3344,49460,50087,36098,42966,43743,36936,35575,37767,36182,34758,34652,34597,33698,33721,38535
10760,r004,All industries -> Computer and electronic products (excluding semiconductors) manufacturing,All industries,Computer and electronic products (excluding semiconductors) manufacturing,2,"334, excluding semiconductors",72163,70533,59048,62005,64927,68589,68757,67219,64667,63890,62767,65513,62454,55159,57435
10760,r005,All industries -> Aerospace product and parts manufacturing,All industries,Aerospace product and parts manufacturing,2,3364,76257,72227,71903,68972,74707,89418,100166,109965,112055,113861,108853,115280,110067,64566,67254
10760,r006,All industries -> Transportation equipment (excluding aerospace),All industries,Transportation equipment (excluding aerospace),2,"336, excluding aerospace",99781,98939,68603,92475,107750,113643,117987,123092,117146,115389,115481,113181,111184,87156,98099
10760,r007,All industries -> Pharmaceutical and medicines,All industries,Pharmaceutical and medicines,2,3254,27704,28303,30335,31710,32333,31184,31573,30910,36739,39870,38625,42528,41459,41031,54570
10760,r008,All industries -> Software publishers,All industries,Software publishers,2,5112,26737,27569,26936,29435,31237,32120,33540,31501,38297,31174,31353,31046,30044,29888,32030
10760,r009,All industries -> IT and other information services,All industries,IT and other information services,2,"5415, 518, and 519",12641,14513,15557,16930,18879,21905,23916,27158,32310,35637,41773,45370,53468,56105,61975
10760,r010,All industries -> Scientific R&D services,All industries,Scientific R&D services,2,5417,14406,15915,16531,20198,23222,25164,26240,29268,30906,53889,39889,41903,43513,39471,41824
10760,r011,&nbsp;,&nbsp;,,1,,Domestic value-added content of gross exports,,,,,,,,,,,,,,
10760,r012,All industries,All industries,,1,Total,1288047,1395590,1260730,1441833,1603658,1685503,1745031,1807215,1753481,1730661,1848305,1951706,1967644,1668091,1938219
10760,r013,All industries -> Semiconductor and other electronic components manufacturing,All industries,Semiconductor and other electronic components manufacturing,2,3344,41598,42768,32710,39582,40703,32687,30770,33136,32604,31334,32370,32529,31827,31808,36213
10760,r014,All industries -> Computer and electronic products (excluding semiconductors) manufacturing,All industries,Computer and electronic products (excluding semiconductors) manufacturing,2,"334, excluding semiconductors",58370,57318,51610,54030,55596,62115,63010,61741,60014,59426,59332,62558,59904,53017,54410
10760,r015,All industries -> Aerospace product and parts manufacturing,All industries,Aerospace product and parts manufacturing,2,3364,61421,57210,59288,56635,60693,69323,76960,83245,88112,90782,85965,90444,89166,55410,57034
10760,r016,All industries -> Transportation equipment (excluding aerospace),All industries,Transportation equipment (excluding aerospace),2,"336, excluding aerospace",73703,70885,50354,67106,76060,81460,84496,86481,84326,85270,85114,82780,82310,65218,70505
10760,r017,All industries -> Pharmaceutical and medicines,All industries,Pharmaceutical and medicines,2,3254,25628,25896,28973,29649,29817,27588,27001,27151,29838,31910,30735,32963,32656,32054,42538
10760,r018,All industries -> Software publishers,All industries,Software publishers,2,5112,25993,26686,26233,28634,30325,31212,32640,30620,37353,30382,30617,30359,29491,29551,31629
10760,r019,All industries -> IT and other information services,All industries,IT and other information services,2,"5415, 518, and 519",12148,13947,15037,16273,18109,21001,23018,26116,31302,34578,40409,43847,51853,54519,60165
10760,r020,All industries -> Scientific R&D services,All industries,Scientific R&D services,2,5417,13887,15321,15970,19495,22381,24257,25308,28210,29882,52387,38199,40092,41551,37530,39882
10760,r021,&nbsp;,&nbsp;,,1,,Imported value-added content of gross exports,,,,,,,,,,,,,,
10760,r022,All industries,All industries,,1,Total,221556,275735,172372,227427,296556,296893,292807,303990,237999,216807,237258,259692,235914,183517,241213
10760,r023,All industries -> Semiconductor and other electronic components manufacturing,All industries,Semiconductor and other electronic components manufacturing,2,3344,7861,7320,3389,3383,3039,4250,4805,4631,3578,3425,2282,2069,1873,1913,2322
10760,r024,All industries -> Computer and electronic products (excluding semiconductors) manufacturing,All industries,Computer and electronic products (excluding semiconductors) manufacturing,2,"334, excluding semiconductors",13794,13216,7439,7975,9333,6475,5751,5481,4656,4467,3438,2957,2554,2142,3026
10760,r025,All industries -> Aerospace product and parts manufacturing,All industries,Aerospace product and parts manufacturing,2,3364,14835,15018,12616,12339,14013,20094,23206,26720,23943,23080,22889,24838,20901,9156,10222
10760,r026,All industries -> Transportation equipment (excluding aerospace),All industries,Transportation equipment (excluding aerospace),2,"336, excluding aerospace",26077,28057,18252,25370,31691,32184,33492,36613,32821,30122,30368,30403,28875,21939,27593
10760,r027,All industries -> Pharmaceutical and medicines,All industries,Pharmaceutical and medicines,2,3254,2076,2407,1362,2062,2517,3596,4572,3759,6901,7960,7890,9566,8804,8978,12033
10760,r028,All industries -> Software publishers,All industries,Software publishers,2,5112,743,884,704,800,913,908,901,881,944,792,736,686,553,338,401
10760,r029,All industries -> IT and other information services,All industries,IT and other information services,2,"5415, 518, and 519",493,567,521,657,770,904,898,1042,1008,1059,1364,1522,1616,1587,1811
10760,r030,All industries -> Scientific R&D services,All industries,Scientific R&D services,2,5417,519,594,561,703,841,907,931,1058,1024,1502,1689,1811,1962,1941,1942
