table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
5462,r001,United States,United States,,1,58387551,61988017,62198981,63354376,63766242,64935600,67634588,70846712,74384893,78669198,81260563
5462,r002,United States -> Alabama,United States,Alabama,2,829363,878622,804713,807180,784855,868160,912302,942186,986864,1055431,1110640
5462,r003,United States -> Alaska,United States,Alaska,2,141190,140736,135751,133170,168948,157565,163092,171166,161208,165930,174978
5462,r004,United States -> Arizona,United States,Arizona,2,901697,951223,987123,1013898,987348,1031313,1072623,1139852,1284772,1346997,1401055
5462,r005,United States -> Arkansas,United States,Arkansas,2,255537,270576,275503,278640,268551,278259,284160,288722,311100,331290,343986
5462,r006,United States -> California,United States,California,2,7579752,7927260,8102898,8056392,8121682,8330954,8558740,8886352,9771478,10111852,10522381
5462,r007,United States -> Colorado,United States,Colorado,2,1128509,1240906,1249413,1200521,1184397,1226205,1326252,1402890,1486702,1539154,1569639
5462,r008,United States -> Connecticut,United States,Connecticut,2,866600,922694,924773,1041810,1029748,1062809,1143663,1210466,1251620,1352731,1370202
5462,r009,United States -> Delaware,United States,Delaware,2,161927,178496,176743,187730,187295,183868,189768,195591,198476,223447,237870
5462,r010,United States -> District of Columbia,United States,District of Columbia,2,430944,446448,455063,463042,487260,488789,483863,524970,547181,575707,590359
5462,r011,United States -> Florida,United States,Florida,2,1778300,1896576,1930189,1921895,2019460,2080940,2217780,2348688,2285505,2366990,2393608
5462,r012,United States -> Georgia,United States,Georgia,2,1611447,1657919,1711596,1789112,1850346,1918019,2029544,2177129,2283980,2470705,2574883
5462,r013,United States -> Hawaii,United States,Hawaii,2,314652,325915,328168,338992,330584,328698,314431,297425,294453,298641,295641
5462,r014,United States -> Idaho,United States,Idaho,2,122754,139392,142976,139444,137825,142954,150043,156152,161196,157439,162335
5462,r015,United States -> Illinois,United States,Illinois,2,2146061,2264226,2269727,2407183,2238266,2284059,2265419,2369632,2438295,2577826,2637507
5462,r016,United States -> Indiana,United States,Indiana,2,1048218,1141830,1150327,1200697,1169076,1191841,1235217,1294203,1331646,1511310,1608701
5462,r017,United States -> Iowa,United States,Iowa,2,689831,705684,695465,693052,743656,726233,774017,786287,838401,837341,829217
5462,r018,United States -> Kansas,United States,Kansas,2,460629,466851,479721,499788,485562,489955,478843,502399,540529,601894,635019
5462,r019,United States -> Kentucky,United States,Kentucky,2,538189,555579,546893,515406,505815,499960,526377,561729,576050,589110,614163
