table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_foreign_companies_subsidiariesa,field_foreign_companies_company_s_parent,field_foreign_companies_unaffiliated_companies,field_foreign_government_agencies,field_foreign_universities_colleges_and_academic_researchers,field_all_other
6659,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['46,840', '']","['27,117', '']","['17,563', '']","['1,991', '']","['123', '']","['3 - 16', '']","['32 - 44', '']"
6659,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['35,363', '']","['19,475', '']","['14,290', '']","['1,459', '']","['119', '']","['0 - 11', '']","['11 - 23', '']"
6659,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['365', '']","['129', 'i']","['234', '']","['2', '']","['0', '']","['0', '']","['0', '']"
6659,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['119', 'i']","['8', '']","['111', 'i']","['0', '']","['0', '']","['0', '']","['0', '']"
6659,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['13', 'i']","['8', '']","['*', 'i']","['5', 'i']","['0', '']","['0', '']","['0', '']"
6659,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['6', '']","['0', '']","['6', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6659,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['*', 'i']","['0', '']","['0', '']","['*', 'i']","['0', '']","['0', '']","['*', 'i']"
6659,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6659,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['154 - 274', '']","['74 - 170', '']","['72 - 104', '']","['0 - 9', 'i']","['0', '']","['0', '']","['0', '']"
6659,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['12,478', '']","['5,011', '']","['6,643', '']","['816', '']","['*', '']","['0 - 10', '']","['0 - 10', '']"
6659,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['160', '']","['19', '']","['141', '']","['*', '']","['0', '']","['0', '']","['0', '']"
6659,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['77', '']","['0 - 16', '']","['61 - 77', '']","['1', 'i']","['0', '']","['0', '']","['*', 'i']"
6659,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['391 - 836', '']","['73 - 490', '']","['287 - 345', '']","['0 - 15', '']","['0', '']","['0', '']","['0 - 10', '']"
6659,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['11,204', '']","['4,490', '']","['5,906', '']","['801', '']","['*', '']","['0 - 9', '']","['0 - 9', '']"
6659,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['172', '']","['14', '']","['158', '']","['1', 'i']","['0', '']","['0', '']","['*', 'i']"
6659,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['27 - 471', '']","['0 - 399', '']","['14 - 72', '']","['0 - 15', 'i']","['0', '']","['0 - 10', '']","['0 - 10', 'i']"
6659,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['14', '']","['4', '']","['10', '']","['*', 'i']","['0', '']","['0', '']","['1', '']"
6659,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['33', '']","['2', '']","['31', '']","['*', 'i']","['*', '']","['0', '']","['*', 'i']"
6659,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['4 - 16', '']","['*', '']","['0 - 10', 'i']","['5', '']","['*', 'i']","['0', '']","['0', '']"
6659,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['69', 'i']","['9', '']","['60', 'i']","['*', 'i']","['0', '']","['0', '']","['*', 'i']"
6659,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['723', '']","['33', '']","['632', '']","['57', '']","['*', '']","['0', '']","['*', '']"
6659,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['15', '']","['8', '']","['6', '']","['*', 'i']","['0', '']","['0', '']","['0', '']"
6659,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['559', '']","['3', '']","['497 - 557', '']","['0 - 58', '']","['0', '']","['0', '']","['*', '']"
6659,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['19', '']","['8', '']","['11', '']","['0', '']","['0', '']","['0', '']","['0', '']"
