table_id,row_id,_b_field_and_carnegie_category_b_full_path,_b_field_and_carnegie_category_b_level_1,_b_field_and_carnegie_category_b_level_2,_b_field_and_carnegie_category_b_level_3,_b_field_and_carnegie_category_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
4755,r001,All doctorate recipients,All doctorate recipients,,,1,48028,48909,50943,52703,53986,54886,54809,54552,55085,55614,55283
4755,r002,All doctorate recipients -> Doctoral: Very high research,All doctorate recipients,Doctoral: Very high research,,2,38603,39720,41251,42639,43190,43624,43351,43259,43604,43959,43487
4755,r003,All doctorate recipients -> Doctoral: High research,All doctorate recipients,Doctoral: High research,,2,5945,5859,6126,6460,6973,7280,7475,7442,7409,7467,7575
4755,r004,All doctorate recipients -> Doctoral/ Professional,All doctorate recipients,Doctoral/ Professional,,2,1458,1288,1408,1484,1774,1746,1847,1838,1908,1877,2027
4755,r005,All doctorate recipients -> Other universities,All doctorate recipients,Other universities,,2,2022,2042,2158,2120,2049,2236,2136,2013,2164,2311,2194
4755,r006,All doctorate recipients -> Life sciences<sup>a</sup>,All doctorate recipients,Life sciences<sup>a</sup>,,2,11319,11535,11964,12207,12484,12493,12539,12554,12755,12753,12561
4755,r007,All doctorate recipients -> Life sciences<sup>a</sup> -> Doctoral: Very high research,All doctorate recipients,Life sciences<sup>a</sup>,Doctoral: Very high research,3,9055,9144,9400,9653,9603,9555,9619,9749,9797,9790,9696
4755,r008,All doctorate recipients -> Life sciences<sup>a</sup> -> Doctoral: High research,All doctorate recipients,Life sciences<sup>a</sup>,Doctoral: High research,3,1038,1060,1148,1183,1361,1346,1385,1331,1421,1385,1372
4755,r009,All doctorate recipients -> Life sciences<sup>a</sup> -> Doctoral/ Professional,All doctorate recipients,Life sciences<sup>a</sup>,Doctoral/ Professional,3,141,162,172,205,294,290,315,325,309,293,354
4755,r010,All doctorate recipients -> Life sciences<sup>a</sup> -> Other universities,All doctorate recipients,Life sciences<sup>a</sup>,Other universities,3,1085,1169,1244,1166,1226,1302,1220,1149,1228,1285,1139
4755,r011,All doctorate recipients -> Physical sciences and earth sciences,All doctorate recipients,Physical sciences and earth sciences,,2,4995,5271,5419,5584,5910,5916,6251,6082,6331,6579,6247
4755,r012,All doctorate recipients -> Physical sciences and earth sciences -> Doctoral: Very high research,All doctorate recipients,Physical sciences and earth sciences,Doctoral: Very high research,3,4435,4619,4757,4882,5108,5153,5433,5323,5526,5738,5414
