table_id,row_id,time_period,_b_gerd_b_level_1,_b_gerd_b_level_2,_b_gerd_b_level_3,_b_gerd_b_level_4,_b_gerd_b_hierarchy_depth,value
10978,r001,Australia (2019),GERD,Current PPP dollars,1990,,3,3.83
10978,r002,Australia (2019),GERD,Current PPP dollars,2000,,3,7.94
10978,r003,Australia (2019),GERD,Current PPP dollars,2010,,3,20.56
10978,r004,Australia (2019),GERD,Current PPP dollars,2021a,,3,24.06
10978,r005,Australia (2019),GERD,Constant (2015) PPP dollars,1990,,3,6.4
10978,r006,Australia (2019),GERD,Constant (2015) PPP dollars,2000,,3,10.65
10978,r007,Australia (2019),GERD,Constant (2015) PPP dollars,2010,,3,21.37
10978,r008,Australia (2019),GERD,Constant (2015) PPP dollars,2021a,,3,21.74
10978,r009,Australia (2019),GDP,Current PPP dollars,1990,,3,304.41
10978,r010,Australia (2019),GDP,Current PPP dollars,2000,,3,538.76
10978,r011,Australia (2019),GDP,Current PPP dollars,2010,,3,943.32
10978,r012,Australia (2019),GDP,Current PPP dollars,2021a,,3,1337.59
10978,r013,Australia (2019), GERD-to-GDP ratio (%),1990,,,2,1.26
10978,r014,Australia (2019), GERD-to-GDP ratio (%),2000,,,2,1.47
10978,r015,Australia (2019), GERD-to-GDP ratio (%),2010,,,2,2.18
10978,r016,Australia (2019), GERD-to-GDP ratio (%),2021a,,,2,1.8
10978,r017,Australia (2019),Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,1990–2000,4,7.6
10978,r018,Australia (2019),Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2000–10,4,10.0
10978,r019,Australia (2019),Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2010–21a,4,1.8
10978,r020,Australia (2019),Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,1990–2000,4,5.2
10978,r021,Australia (2019),Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2000–10,4,7.2
10978,r022,Australia (2019),Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2010–21a,4,0.2
10978,r023,Australia (2019),Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,1990–2000,4,5.9
10978,r024,Australia (2019),Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2000–10,4,5.8
10978,r025,Australia (2019),Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2010–21a,4,4.0
10978,r026,Austria,GERD,Current PPP dollars,1990,,3,2.02
10978,r027,Austria,GERD,Current PPP dollars,2000,,3,4.44
10978,r028,Austria,GERD,Current PPP dollars,2010,,3,9.58
10978,r029,Austria,GERD,Current PPP dollars,2021a,,3,17.49
10978,r030,Austria,GERD,Constant (2015) PPP dollars,1990,,3,3.67
10978,r031,Austria,GERD,Constant (2015) PPP dollars,2000,,3,6.62
10978,r032,Austria,GERD,Constant (2015) PPP dollars,2010,,3,11.15
10978,r033,Austria,GERD,Constant (2015) PPP dollars,2021a,,3,14.89
10978,r034,Austria,GDP,Current PPP dollars,1990,,3,149.51
10978,r035,Austria,GDP,Current PPP dollars,2000,,3,235.39
10978,r036,Austria,GDP,Current PPP dollars,2010,,3,351.32
10978,r037,Austria,GDP,Current PPP dollars,2021a,,3,537.01
10978,r038,Austria, GERD-to-GDP ratio (%),1990,,,2,1.35
10978,r039,Austria, GERD-to-GDP ratio (%),2000,,,2,1.89
10978,r040,Austria, GERD-to-GDP ratio (%),2010,,,2,2.73
10978,r041,Austria, GERD-to-GDP ratio (%),2021a,,,2,3.26
10978,r042,Austria,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,1990–2000,4,8.2
10978,r043,Austria,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2000–10,4,8.0
10978,r044,Austria,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2010–21a,4,5.6
10978,r045,Austria,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,1990–2000,4,6.1
10978,r046,Austria,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2000–10,4,5.3
10978,r047,Austria,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2010–21a,4,2.7
10978,r048,Austria,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,1990–2000,4,4.6
10978,r049,Austria,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2000–10,4,4.1
10978,r050,Austria,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2010–21a,4,3.9
10978,r051,Belgium,GERD,Current PPP dollars,1990,,3,NA
10978,r052,Belgium,GERD,Current PPP dollars,2000,,3,5.52
10978,r053,Belgium,GERD,Current PPP dollars,2010,,3,8.95
10978,r054,Belgium,GERD,Current PPP dollars,2021a,,3,23.4
10978,r055,Belgium,GERD,Constant (2015) PPP dollars,1990,,3,NA
10978,r056,Belgium,GERD,Constant (2015) PPP dollars,2000,,3,7.98
10978,r057,Belgium,GERD,Constant (2015) PPP dollars,2010,,3,10.07
10978,r058,Belgium,GERD,Constant (2015) PPP dollars,2021a,,3,19.25
10978,r059,Belgium,GDP,Current PPP dollars,1990,,3,186.28
10978,r060,Belgium,GDP,Current PPP dollars,2000,,3,284.88
10978,r061,Belgium,GDP,Current PPP dollars,2010,,3,434.06
10978,r062,Belgium,GDP,Current PPP dollars,2021a,,3,682.14
10978,r063,Belgium, GERD-to-GDP ratio (%),1990,,,2,NA
10978,r064,Belgium, GERD-to-GDP ratio (%),2000,,,2,1.94
10978,r065,Belgium, GERD-to-GDP ratio (%),2010,,,2,2.06
10978,r066,Belgium, GERD-to-GDP ratio (%),2021a,,,2,3.43
10978,r067,Belgium,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,1990–2000,4,NA
10978,r068,Belgium,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2000–10,4,5.0
10978,r069,Belgium,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2010–21a,4,9.1
10978,r070,Belgium,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,1990–2000,4,NA
10978,r071,Belgium,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2000–10,4,2.4
10978,r072,Belgium,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2010–21a,4,6.1
10978,r073,Belgium,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,1990–2000,4,4.3
10978,r074,Belgium,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2000–10,4,4.3
10978,r075,Belgium,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2010–21a,4,4.2
10978,r076,Canada,GERD,Current PPP dollars,1990,,3,8.26
10978,r077,Canada,GERD,Current PPP dollars,2000,,3,16.74
10978,r078,Canada,GERD,Current PPP dollars,2010,,3,24.89
10978,r079,Canada,GERD,Current PPP dollars,2021a,,3,34.4
10978,r080,Canada,GERD,Constant (2015) PPP dollars,1990,,3,12.96
10978,r081,Canada,GERD,Constant (2015) PPP dollars,2000,,3,21.75
10978,r082,Canada,GERD,Constant (2015) PPP dollars,2010,,3,26.72
10978,r083,Canada,GERD,Constant (2015) PPP dollars,2021a,,3,30.48
10978,r084,Canada,GDP,Current PPP dollars,1990,,3,560.18
10978,r085,Canada,GDP,Current PPP dollars,2000,,3,901.0
10978,r086,Canada,GDP,Current PPP dollars,2010,,3,1363.58
10978,r087,Canada,GDP,Current PPP dollars,2021a,,3,2026.9
10978,r088,Canada, GERD-to-GDP ratio (%),1990,,,2,1.48
10978,r089,Canada, GERD-to-GDP ratio (%),2000,,,2,1.86
10978,r090,Canada, GERD-to-GDP ratio (%),2010,,,2,1.83
10978,r091,Canada, GERD-to-GDP ratio (%),2021a,,,2,1.7
10978,r092,Canada,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,1990–2000,4,7.3
10978,r093,Canada,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2000–10,4,4.0
10978,r094,Canada,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2010–21a,4,3.0
10978,r095,Canada,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,1990–2000,4,5.3
10978,r096,Canada,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2000–10,4,2.1
10978,r097,Canada,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2010–21a,4,1.2
10978,r098,Canada,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,1990–2000,4,4.9
10978,r099,Canada,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2000–10,4,4.2
10978,r100,Canada,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2010–21a,4,3.7
10978,r101,Chile (2020),GERD,Current PPP dollars,1990,,3,NA
10978,r102,Chile (2020),GERD,Current PPP dollars,2000,,3,NA
10978,r103,Chile (2020),GERD,Current PPP dollars,2010,,3,1.02
10978,r104,Chile (2020),GERD,Current PPP dollars,2021a,,3,1.61
10978,r105,Chile (2020),GERD,Constant (2015) PPP dollars,1990,,3,NA
10978,r106,Chile (2020),GERD,Constant (2015) PPP dollars,2000,,3,NA
10978,r107,Chile (2020),GERD,Constant (2015) PPP dollars,2010,,3,1.11
10978,r108,Chile (2020),GERD,Constant (2015) PPP dollars,2021a,,3,1.38
10978,r109,Chile (2020),GDP,Current PPP dollars,1990,,3,62.13
10978,r110,Chile (2020),GDP,Current PPP dollars,2000,,3,145.36
10978,r111,Chile (2020),GDP,Current PPP dollars,2010,,3,307.86
