table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
5391,r001,All R&D fields,All R&D fields,,,,1,61286610,65274393,65729007,67013138,67199090,68549882,71767849,75147144,79026269,83534148,86296178
5391,r002,All R&D fields -> Science,All R&D fields,Science,,,2,49061829,51955427,51914870,52620458,52790062,53865410,56261425,58935309,62021111,65452989,67567807
5391,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,1638047,1742486,1822321,2068499,1929197,1963406,2079944,2192394,2397782,2639075,2923149
5391,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,2991741,3153174,3173011,3195423,3227963,3247430,3083754,3147841,3159520,3185923,3281251
5391,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,429354,481275,476729,493460,501638,573932,626676,623504,608041,590385,612890
5391,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,1083969,1142630,1168945,1163744,1159352,1113633,998082,1084050,1131890,1121265,1159627
5391,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,1021857,1049630,1025472,1051418,1071412,1050173,1097963,1098634,1061402,1100768,1136259
5391,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,456561,479639,501865,486801,495561,509692,361033,341653,358187,373505,372475
5391,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,34984249,37337522,37200171,37565222,37959430,38773872,40869476,43099189,45611147,48256664,49640508
5391,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,3011150,3116840,3300098,3352448,3392786,3482399,3294486,3274597,3307251,3426773,3626162
5391,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,10946456,11855468,11611632,11681264,11706344,11704606,13030223,13722803,14516633,15392567,15761876
5391,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,19268085,20398377,20330413,20454258,20709668,21299466,22388131,23991344,25778953,27293004,28026662
5391,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation<sup>a</sup>,All R&D fields,Science,Life sciences,Natural resources and conservation<sup>a</sup>,4,na,na,na,na,na,na,693318,691653,779526,841877,900697
5391,r014,All R&D fields -> Science -> Life sciences -> Life sciences nec,All R&D fields,Science,Life sciences,Life sciences nec,4,1758558,1966837,1958028,2077252,2150632,2287401,1463318,1418792,1228784,1302443,1325111
5391,r015,All R&D fields -> Science -> Mathematics and statistics,All R&D fields,Science,Mathematics and statistics,,3,592200,640471,674461,670801,657887,640891,679494,700275,750374,769993,798975
5391,r016,All R&D fields -> Science -> Physical sciences,All R&D fields,Science,Physical sciences,,3,4621772,4768816,4710125,4646754,4616226,4659068,4887988,5049994,5232066,5551490,5667046
5391,r017,All R&D fields -> Science -> Physical sciences -> Astronomy and astrophysics,All R&D fields,Science,Physical sciences,Astronomy and astrophysics,4,573229,583847,706544,558781,567058,626606,621738,648830,668245,735006,780080
5391,r018,All R&D fields -> Science -> Physical sciences -> Chemistry,All R&D fields,Science,Physical sciences,Chemistry,4,1748465,1783604,1748904,1703881,1724038,1757330,1773406,1791311,1865955,1965712,1926772
5391,r019,All R&D fields -> Science -> Physical sciences -> Materials science<sup>a</sup>,All R&D fields,Science,Physical sciences,Materials science<sup>a</sup>,4,na,na,na,na,na,na,172271,227825,254447,259316,252193
5391,r020,All R&D fields -> Science -> Physical sciences -> Physics,All R&D fields,Science,Physical sciences,Physics,4,1998732,2108340,1985954,2097094,2056264,2047689,2120550,2155727,2206653,2327359,2434467
5391,r021,All R&D fields -> Science -> Physical sciences -> Physical sciences nec,All R&D fields,Science,Physical sciences,Physical sciences nec,4,301346,293025,268723,286998,268866,227443,200023,226301,236766,264097,273534
5391,r022,All R&D fields -> Science -> Psychology,All R&D fields,Science,Psychology,,3,1077655,1159180,1179323,1128269,1143347,1183628,1221218,1244640,1258635,1326304,1357081
5391,r023,All R&D fields -> Science -> Social sciences,All R&D fields,Science,Social sciences,,3,1999942,2063007,2053656,2173107,2211962,2319007,2364783,2554562,2721772,2808228,2947338
5391,r024,All R&D fields -> Science -> Social sciences -> Anthropology<sup>a</sup>,All R&D fields,Science,Social sciences,Anthropology<sup>a</sup>,4,na,na,na,na,na,na,95932,110928,118230,124402,119329
5391,r025,All R&D fields -> Science -> Social sciences -> Economics,All R&D fields,Science,Social sciences,Economics,4,352890,387036,383405,408153,428369,456410,398366,433961,455861,459822,562192
5391,r026,All R&D fields -> Science -> Social sciences -> Political science and government,All R&D fields,Science,Social sciences,Political science and government,4,374903,370694,390074,427522,426675,459274,383994,412112,438078,448438,425267
5391,r027,"All R&D fields -> Science -> Social sciences -> Sociology, demography, and population studies",All R&D fields,Science,Social sciences,"Sociology, demography, and population studies",4,419895,433484,461011,482284,504965,524697,503610,551875,608747,610435,591754
5391,r028,All R&D fields -> Science -> Social sciences -> Social sciences nec,All R&D fields,Science,Social sciences,Social sciences nec,4,852254,871793,819166,855148,851953,878626,982881,1045686,1100856,1165131,1248796
5391,r029,All R&D fields -> Science -> Sciences nec,All R&D fields,Science,Sciences nec,,3,1156223,1090771,1101802,1172383,1044050,1078108,1074768,946414,889815,915312,952459
5391,r030,All R&D fields -> Engineering,All R&D fields,Engineering,,,2,9325722,10032590,10284111,10733918,10976180,11070190,11373163,11911403,12363782,13216209,13692756
5391,r031,"All R&D fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,635234,667757,662444,689553,662456,734173,883100,990723,1010502,1170169,1295759
5391,r032,All R&D fields -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,Engineering,Bioengineering and biomedical engineering,,3,745277,817389,871917,884421,951157,1003932,1086194,1220680,1343753,1451159,1468229
5391,r033,All R&D fields -> Engineering -> Chemical engineering,All R&D fields,Engineering,Chemical engineering,,3,821163,913905,903613,910413,907096,914517,884662,934527,931039,977578,999312
5391,r034,All R&D fields -> Engineering -> Civil engineering,All R&D fields,Engineering,Civil engineering,,3,1106759,1208592,1232944,1296972,1256888,1287306,1329959,1302314,1354775,1433224,1422418
5391,r035,"All R&D fields -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,Engineering,"Electrical, electronic, and communications engineering",,3,2050292,2206894,2311665,2408824,2479789,2492434,2512529,2726627,2843975,2938343,3048420
5391,r036,All R&D fields -> Engineering -> Industrial and manufacturing engineering<sup>a</sup>,All R&D fields,Engineering,Industrial and manufacturing engineering<sup>a</sup>,,3,na,na,na,na,na,na,236678,351081,514781,556462,588127
5391,r037,All R&D fields -> Engineering -> Mechanical engineering,All R&D fields,Engineering,Mechanical engineering,,3,1458382,1556892,1550151,1647643,1504293,1514673,1435885,1535910,1630637,1705716,1812916
5391,r038,All R&D fields -> Engineering -> Metallurgical and materials engineering,All R&D fields,Engineering,Metallurgical and materials engineering,,3,703332,738892,757967,812240,1203073,1101946,744005,735699,762695,792370,816610
5391,r039,All R&D fields -> Engineering -> Engineering nec,All R&D fields,Engineering,Engineering nec,,3,1805283,1922269,1993410,2083852,2011428,2021209,2260151,2113842,1971625,2191188,2240965
5391,r040,All R&D fields -> Non-S&E,All R&D fields,Non-S&E,,,2,2899059,3286376,3530026,3658762,3432848,3614282,4133261,4300432,4641376,4864950,5035615
5391,r041,All R&D fields -> Non-S&E -> Business management and business administration,All R&D fields,Non-S&E,Business management and business administration,,3,370015,400376,443079,476091,482842,569670,642391,725239,783995,871253,878721
5391,r042,All R&D fields -> Non-S&E -> Communication and communications technologies,All R&D fields,Non-S&E,Communication and communications technologies,,3,130396,153743,159920,148900,166899,168516,166409,202542,191602,206913,191813
5391,r043,All R&D fields -> Non-S&E -> Education,All R&D fields,Non-S&E,Education,,3,993588,1120766,1233437,1221444,1245104,1292703,1340240,1384314,1503631,1526519,1603978
5391,r044,All R&D fields -> Non-S&E -> Humanities,All R&D fields,Non-S&E,Humanities,,3,260374,313032,339633,386759,402219,430183,443138,492626,504115,539984,563007
5391,r045,All R&D fields -> Non-S&E -> Law,All R&D fields,Non-S&E,Law,,3,98109,124779,131514,173479,149242,174695,184339,223825,266378,255797,267565
5391,r046,All R&D fields -> Non-S&E -> Social work,All R&D fields,Non-S&E,Social work,,3,177331,194667,199046,212331,226075,214211,211549,235299,245117,285850,307145
5391,r047,All R&D fields -> Non-S&E -> Visual and performing arts,All R&D fields,Non-S&E,Visual and performing arts,,3,68717,77358,84596,87765,95817,100644,133869,124882,137134,159482,171605
5391,r048,All R&D fields -> Non-S&E -> Non-S&E nec,All R&D fields,Non-S&E,Non-S&E nec,,3,800529,901655,938801,951993,664650,663660,1011326,911705,1009404,1019152,1051781
