table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_total,field_paid_for_by_the_company,field_paid_for_by_others
2046,r001,All business activities,All business activities,,1,21100–81000,"['400,100', '  ']","['339,036', '  ']","['61,065', '  ']"
2046,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['738 - 2,072', 'i ']","['739', '  ']","['0 - 1,333', 'i ']"
2046,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['117', '  ']","['117', '  ']","['1', 'i ']"
2046,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['1,474', 'i ']","['1,238', 'i ']","['235', '  ']"
2046,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['314', 'i ']","['277', '  ']","['36', 'i ']"
2046,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['587', '  ']","['564', '  ']","['23', '  ']"
2046,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['4,897', '  ']","['4,684', 'i ']","['213', '  ']"
2046,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['722', '  ']","['614', '  ']","['107', '  ']"
2046,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['170', '  ']","['170', '  ']","['*', '  ']"
2046,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['866', '  ']","['865', '  ']","['1', '  ']"
2046,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['238', '  ']","['232', '  ']","['5', '  ']"
2046,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['1,386', '  ']","['1,384', '  ']","['2', '  ']"
2046,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['262', '  ']","['251', '  ']","['11', '  ']"
2046,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['395', '  ']","['393', '  ']","['3', '  ']"
2046,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['126', '  ']","['126', '  ']","['0', '  ']"
2046,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['214', '  ']","['202', '  ']","['12', '  ']"
2046,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['3,045', '  ']","['2,862', '  ']","['183', '  ']"
2046,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['831', '  ']","['813', '  ']","['18', '  ']"
2046,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemicals manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemicals manufacturing",2,32530,"['1,964', '  ']","['1,554', 'i ']","['410', '  ']"
2046,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",2,32541,"['45,515', '  ']","['37,122', '  ']","['8,392', '  ']"
2046,r021,All business activities -> In vitro diagnostic substances manufacturing,All business activities,In vitro diagnostic substances manufacturing,2,32542,"['1,324', '  ']","['1,302', '  ']","['22', '  ']"
2046,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances),All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances),2,32543,"['18,330', '  ']","['15,892', '  ']","['2,439', '  ']"
2046,r023,"All business activities -> Soap, cleaning compound, and toilet preparations manufacturing",All business activities,"Soap, cleaning compound, and toilet preparations manufacturing",2,32591,"['2,168 - 3,502', '  ']","['2,169', '  ']","['0 - 1,333', '  ']"
2046,r024,"All business activities -> Paint, adhesive, and other chemical manufacturing",All business activities,"Paint, adhesive, and other chemical manufacturing",2,32592,"['1,663', '  ']","['1,640', '  ']","['23', '  ']"
2046,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['3,275', '  ']","['3,158', '  ']","['117', '  ']"
2046,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['1,234', '  ']","['1,215', '  ']","['19', 'i ']"
2046,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['382', '  ']","['369', '  ']","['13', 'i ']"
2046,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['589', '  ']","['572', '  ']","['17', 'i ']"
