table_id,row_id,occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_without_disability,field_with_disability
1193,r040,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Psychologist -> 50&#8211;75,All occupations,S&E occupations<sup>a</sup>,Science occupations,Psychologist,50&#8211;75,5,89000,90000,86000
1193,r041,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Social scientist,All occupations,S&E occupations<sup>a</sup>,Science occupations,Social scientist,,4,69000,73000,S
1193,r042,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Social scientist -> 29 and younger,All occupations,S&E occupations<sup>a</sup>,Science occupations,Social scientist,29 and younger,5,S,44000,S
1193,r043,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Social scientist -> 30&#8211;39,All occupations,S&E occupations<sup>a</sup>,Science occupations,Social scientist,30&#8211;39,5,59000,60000,54000
1193,r044,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Social scientist -> 40&#8211;49,All occupations,S&E occupations<sup>a</sup>,Science occupations,Social scientist,40&#8211;49,5,84000,85000,79000
1193,r045,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Social scientist -> 50&#8211;75,All occupations,S&E occupations<sup>a</sup>,Science occupations,Social scientist,50&#8211;75,5,96000,99000,86000
1193,r046,All occupations -> S&E occupations<sup>a</sup> -> Engineering occupations,All occupations,S&E occupations<sup>a</sup>,Engineering occupations,,,3,96000,96000,96000
1193,r047,All occupations -> S&E occupations<sup>a</sup> -> Engineering occupations -> 29 and younger,All occupations,S&E occupations<sup>a</sup>,Engineering occupations,29 and younger,,4,70000,70000,69000
1193,r048,All occupations -> S&E occupations<sup>a</sup> -> Engineering occupations -> 30&#8211;39,All occupations,S&E occupations<sup>a</sup>,Engineering occupations,30&#8211;39,,4,91000,92000,84000
1193,r049,All occupations -> S&E occupations<sup>a</sup> -> Engineering occupations -> 40&#8211;49,All occupations,S&E occupations<sup>a</sup>,Engineering occupations,40&#8211;49,,4,109000,109000,99000
1193,r050,All occupations -> S&E occupations<sup>a</sup> -> Engineering occupations -> 50&#8211;75,All occupations,S&E occupations<sup>a</sup>,Engineering occupations,50&#8211;75,,4,115000,116000,105000
1193,r051,All occupations -> S&E-related occupations<sup>b</sup>,All occupations,S&E-related occupations<sup>b</sup>,,,,2,80000,80000,73000
1193,r052,All occupations -> S&E-related occupations<sup>b</sup> -> 29 and younger,All occupations,S&E-related occupations<sup>b</sup>,29 and younger,,,3,53000,53000,46000
1193,r053,All occupations -> S&E-related occupations<sup>b</sup> -> 30&#8211;39,All occupations,S&E-related occupations<sup>b</sup>,30&#8211;39,,,3,71000,72000,56000
1193,r054,All occupations -> S&E-related occupations<sup>b</sup> -> 40&#8211;49,All occupations,S&E-related occupations<sup>b</sup>,40&#8211;49,,,3,90000,90000,84000
1193,r055,All occupations -> S&E-related occupations<sup>b</sup> -> 50&#8211;75,All occupations,S&E-related occupations<sup>b</sup>,50&#8211;75,,,3,92000,95000,79000
1193,r056,All occupations -> Non-S&E occupations,All occupations,Non-S&E occupations,,,,2,70000,70000,60000
1193,r057,All occupations -> Non-S&E occupations -> 29 and younger,All occupations,Non-S&E occupations,29 and younger,,,3,43000,43000,41000
1193,r058,All occupations -> Non-S&E occupations -> 30&#8211;39,All occupations,Non-S&E occupations,30&#8211;39,,,3,66000,67000,48000
1193,r059,All occupations -> Non-S&E occupations -> 40&#8211;49,All occupations,Non-S&E occupations,40&#8211;49,,,3,81000,81000,75000
1193,r060,All occupations -> Non-S&E occupations -> 50&#8211;75,All occupations,Non-S&E occupations,50&#8211;75,,,3,80000,83000,70000
