table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_level_3,region_country_or_economy_level_4,region_country_or_economy_hierarchy_depth,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
6240,r001,World,World,,,,1,438483,493868,566517,611993,669699,773527,874436,732876,850751,1000589,1019595,1026886,1051297,978246,986386,1071354,1168837,1163389
6240,r002,World -> North America,World,North America,,,2,111254,110503,119371,131100,140542,149476,152155,133904,146142,167833,176463,181437,183533,172472,162513,174504,183806,189701
6240,r003,World -> North America -> Canada,World,North America,Canada,,3,7632,8391,9699,10739,11986,13035,12722,10155,11440,14507,15253,14717,13899,11613,10720,12145,13190,13183
6240,r004,World -> North America -> Mexico,World,North America,Mexico,,3,4282,4084,4649,5212,5870,6096,6528,4591,6950,8019,8585,8792,8619,8351,8023,8947,9242,9537
6240,r005,World -> North America -> United States,World,North America,United States,,3,99340,98027,105023,115150,122686,130345,132905,119158,127752,145307,152625,157927,161014,152509,143771,153411,161374,166982
6240,r006,World -> Central and South America,World,Central and South America,,,2,7076,7540,9670,10717,12773,16813,21144,17680,25179,30237,28333,28081,25252,17243,15760,17301,16350,15529
6240,r007,World -> Central and South America -> Argentina,World,Central and South America,Argentina,,3,246,278,347,413,470,586,726,723,880,1028,1106,1069,768,551,345,181,177,162
6240,r008,World -> Central and South America -> Brazil,World,Central and South America,Brazil,,3,5685,6016,7875,8610,10280,13932,17703,14208,21537,25925,23455,23014,20883,13154,12415,13965,12614,12207
6240,r009,World -> Central and South America -> Chile,World,Central and South America,Chile,,3,309,343,418,497,613,640,671,743,915,1145,1335,1527,1167,1065,1109,1137,1527,1425
6240,r010,World -> Central and South America -> Colombia,World,Central and South America,Colombia,,3,184,184,245,307,362,493,544,469,577,606,630,672,649,477,471,379,385,364
6240,r011,World -> Central and South America -> Peru,World,Central and South America,Peru,,3,177,263,225,241,280,244,295,268,343,573,674,716,817,816,801,834,733,641
6240,r012,World -> Central and South America -> Other Central and South America,World,Central and South America,Other Central and South America,,3,475,457,561,648,768,918,1205,1269,928,962,1134,1082,968,1180,619,805,914,731
6240,r013,World -> Europe,World,Europe,,,2,160741,192096,224244,233153,256863,309223,338849,251180,275378,322550,304823,316820,325455,275720,273912,291827,319704,304136
6240,r014,World -> Europe -> EU,World,Europe,EU,,3,129701,156140,181826,187614,206996,248301,273864,209225,223848,261064,242971,252816,262886,225868,228873,245634,270819,256942
6240,r015,World -> Europe -> EU -> France,World,Europe,EU,France,4,11370,13626,15437,15434,16231,18665,20053,15753,14931,17215,16111,16058,16566,13503,13091,12808,13820,13176
6240,r016,World -> Europe -> EU -> Germany,World,Europe,EU,Germany,4,58328,70504,82263,84181,91901,110715,122913,90526,100372,118306,111598,116588,122054,104313,106957,115919,129240,120827
6240,r017,World -> Europe -> EU -> Italy,World,Europe,EU,Italy,4,23882,29588,34325,35264,38693,45622,49375,38099,39590,44371,41146,43583,45513,38638,40055,42636,46094,42936
6240,r018,World -> Europe -> EU -> Spain,World,Europe,EU,Spain,4,5878,7008,8099,8214,8640,9686,10883,9104,8233,8854,8410,8687,9136,7251,7120,7806,8442,8158
6240,r019,World -> Europe -> EU -> Other EU,World,Europe,EU,Other EU,4,30243,35413,41701,44522,51532,63613,70641,55742,60722,72318,65706,67899,69618,62163,61649,66465,73222,71845
6240,r020,World -> Europe -> Non-EU,World,Europe,Non-EU,,3,31040,35956,42418,45539,49867,60922,64985,41955,51530,61486,61852,64005,62568,49852,45040,46194,48885,47194
6240,r021,World -> Europe -> Non-EU -> United Kingdom,World,Europe,Non-EU,United Kingdom,4,17093,19193,21304,20880,21187,23695,20812,12746,17956,20621,22013,24045,25023,23161,19017,19393,20908,19243
6240,r022,World -> Europe -> Non-EU -> Russia,World,Europe,Non-EU,Russia,4,4050,5357,8078,10126,12577,18421,22151,10729,12832,15864,16300,15376,12965,4867,5495,5904,6217,6498
6240,r023,World -> Europe -> Non-EU -> Switzerland,World,Europe,Non-EU,Switzerland,4,7417,8266,8929,9135,9770,10790,12065,10404,11797,14150,12316,12736,13262,12356,12087,12156,12729,12187
6240,r024,World -> Europe -> Non-EU -> Other non-EU,World,Europe,Non-EU,Other non-EU,4,2479,3140,4106,5398,6332,8017,9957,8076,8944,10851,11224,11848,11319,9468,8440,8740,9031,9266
6240,r025,World -> Middle East,World,Middle East,,,2,2284,2538,2784,3259,3792,4835,5588,5290,5700,6807,5428,5777,6718,6330,6352,6999,6453,6455
