table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_hierarchy_depth,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10578,r001,Total,Total,,1,22804,26240,30599,42244,46014,50725,37592,49483,67013,61485,74203,121703,179163,195795,213252,347017,324284,371650,741987,540643
10578,r002,Total -> United States,Total,United States,2,18202,21894,23702,29794,35905,36701,27405,32076,45019,40883,48806,73024,86002,84000,89382,145884,150361,172059,345734,247925
10578,r003,Total -> Canada,Total,Canada,2,576,595,1033,707,908,1149,711,991,1390,1370,1430,1699,1967,2224,2917,3958,5564,4617,13654,9984
10578,r004,Total -> Rest of North America,Total,Rest of North America,2,0,0,0,0,0,24,9,65,36,54,160,295,220,154,259,724,1894,1143,4110,2160
10578,r005,Total -> United Kingdom<sup>a</sup>,Total,United Kingdom<sup>a</sup>,2,713,803,1170,1853,2075,2315,1597,3495,1878,3016,3394,4586,6790,6008,11074,13353,14211,17606,39331,37131
10578,r006,Total -> EU-27<sup>b</sup>,Total,EU-27<sup>b</sup>,2,851,1687,1730,2629,3369,4448,3262,4151,4697,4192,6085,8876,10546,11283,12783,18371,23314,31019,70287,61911
10578,r007,Total -> Rest of Europe,Total,Rest of Europe,2,55,278,322,307,515,590,975,1291,1243,1178,1564,1354,1605,1658,1823,2258,2767,4506,8000,7919
10578,r008,Total -> Central and South America,Total,Central and South America,2,92,14,7,1,16,50,41,130,221,700,720,702,796,546,1562,2502,2669,3502,13449,7366
10578,r009,Total -> China,Total,China,2,784,359,1752,5396,1748,3053,1992,4587,8792,6085,6146,19349,52972,76184,65881,123477,75987,93459,144112,88303
10578,r010,Total -> India,Total,India,2,87,42,214,558,421,630,428,736,1255,1151,1627,5871,9996,4178,12317,9577,18431,12448,36749,23957
10578,r011,Total -> Rest of Asia,Total,Rest of Asia,2,33,110,127,173,284,284,428,346,597,793,1687,2614,3569,4041,8192,15770,16492,16743,36566,26522
10578,r012,Total -> Africa,Total,Africa,2,35,37,14,28,23,17,26,36,111,146,91,298,304,280,367,758,800,780,2654,2985
10578,r013,Total -> Middle East,Total,Middle East,2,1366,407,400,745,668,1351,651,1448,1487,1751,2168,2562,3610,4466,5652,8462,9652,11191,21262,18318
10578,r014,Total -> Oceania,Total,Oceania,2,11,13,129,53,82,114,68,130,288,167,324,473,785,772,1042,1922,2142,2577,6080,6162
