table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_amount
6629,r001,All business activities,All business activities,,1,21100–81000,"['571,019', '&nbsp;']"
6629,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['902', '&nbsp;']"
6629,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['93 - 4,956', '&nbsp;']"
6629,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['1,650', 'i']"
6629,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['415', '&nbsp;']"
6629,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['899', '&nbsp;']"
6629,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['5,513', '&nbsp;']"
6629,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['723', '&nbsp;']"
6629,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['807', '&nbsp;']"
6629,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['965', '&nbsp;']"
6629,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['225 - 5,087', '&nbsp;']"
6629,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['1,791', '&nbsp;']"
6629,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['477', '&nbsp;']"
6629,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['525 - 5,388', '&nbsp;']"
6629,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['134', '&nbsp;']"
6629,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['106 - 4,969', '&nbsp;']"
6629,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['3,267', '&nbsp;']"
6629,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['1,803', '&nbsp;']"
6629,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemicals manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemicals manufacturing",2,32530,"['2,919', '&nbsp;']"
6629,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",2,32541,"['81,409', '&nbsp;']"
6629,r021,All business activities -> In vitro diagnostic substances manufacturing,All business activities,In vitro diagnostic substances manufacturing,2,32542,"['1,591', '&nbsp;']"
6629,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances),All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances),2,32543,"['40,986', '&nbsp;']"
6629,r023,"All business activities -> Soap, cleaning compound, and toilet preparations manufacturing",All business activities,"Soap, cleaning compound, and toilet preparations manufacturing",2,32591,"['3,196', '&nbsp;']"
6629,r024,"All business activities -> Paint, adhesive, and other chemical manufacturing",All business activities,"Paint, adhesive, and other chemical manufacturing",2,32592,"['1,747', '&nbsp;']"
6629,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['3,506', '&nbsp;']"
6629,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['1,511', '&nbsp;']"
6629,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['546', '&nbsp;']"
6629,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['851', '&nbsp;']"
6629,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['3,129', '&nbsp;']"
6629,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['2,458', '&nbsp;']"
6629,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['1,871', '&nbsp;']"
6629,r032,"All business activities -> Mining, oil, and gas field machinery and equipment manufacturing",All business activities,"Mining, oil, and gas field machinery and equipment manufacturing",2,33319,"['1,300', '&nbsp;']"
6629,r033,All business activities -> Semiconductor machinery manufacturing,All business activities,Semiconductor machinery manufacturing,2,33321,"['4,687', '&nbsp;']"
6629,r034,All business activities -> Industrial machinery manufacturing (except semiconductor machinery),All business activities,Industrial machinery manufacturing (except semiconductor machinery),2,33322,"['1,406', '&nbsp;']"
6629,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['147 - 5,010', '&nbsp;']"
6629,r036,"All business activities -> Commercial, service industry, temperature control, and air-flow control machinery manufacturing",All business activities,"Commercial, service industry, temperature control, and air-flow control machinery manufacturing",2,33332,"['2,169', '&nbsp;']"
6629,r037,All business activities -> Digital cameras manufacturing,All business activities,Digital cameras manufacturing,2,33333,"['463', '&nbsp;']"
6629,r038,"All business activities -> Engine, turbine, and power transmission equipment manufacturing",All business activities,"Engine, turbine, and power transmission equipment manufacturing",2,33360,"['3,146', '&nbsp;']"
6629,r039,All business activities -> Metalworking and other general purpose machinery manufacturing,All business activities,Metalworking and other general purpose machinery manufacturing,2,33390,"['2,861', '&nbsp;']"
6629,r040,All business activities -> Computers and peripheral equipment manufacturing and magnetic and optical media,All business activities,Computers and peripheral equipment manufacturing and magnetic and optical media,2,33412,"['25,296', '&nbsp;']"
6629,r041,"All business activities -> Telephone apparatus manufacturing, including routers, modems, and gateways",All business activities,"Telephone apparatus manufacturing, including routers, modems, and gateways",2,33421,"['11,254', '&nbsp;']"
6629,r042,"All business activities -> Radio, television, and wireless communication equipment manufacturing",All business activities,"Radio, television, and wireless communication equipment manufacturing",2,33422,"['2,475', '&nbsp;']"
6629,r043,"All business activities -> Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",All business activities,"Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",2,33429,"['2,293', '&nbsp;']"
6629,r044,All business activities -> Audio and video equipment manufacturing,All business activities,Audio and video equipment manufacturing,2,33430,"['1,714', '&nbsp;']"
6629,r045,All business activities -> Semiconductor and other electronic components manufacturing,All business activities,Semiconductor and other electronic components manufacturing,2,33440,"['46,556', '&nbsp;']"
