table_id,row_id,ffrdcs_full_path,ffrdcs_level_1,ffrdcs_level_2,ffrdcs_level_3,ffrdcs_hierarchy_depth,field_2017,field_2019
2532,r001,All postdocs,All postdocs,,,1,2975,3335
2532,r002,All postdocs -> University-administered FFRDCs,All postdocs,University-administered FFRDCs,,2,1296,1398
2532,r003,All postdocs -> University-administered FFRDCs -> Ames Laboratory,All postdocs,University-administered FFRDCs,Ames Laboratory,3,44,34
2532,r004,All postdocs -> University-administered FFRDCs -> Argonne National Laboratory,All postdocs,University-administered FFRDCs,Argonne National Laboratory,3,297,310
2532,r005,All postdocs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All postdocs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,97,68
2532,r006,All postdocs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All postdocs,University-administered FFRDCs,Jet Propulsion Laboratory,3,188,201
2532,r007,All postdocs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All postdocs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,438,509
2532,r008,All postdocs -> University-administered FFRDCs -> Lincoln Laboratory,All postdocs,University-administered FFRDCs,Lincoln Laboratory,3,4,4
2532,r009,All postdocs -> University-administered FFRDCs -> National Center for Atmospheric Research,All postdocs,University-administered FFRDCs,National Center for Atmospheric Research,3,60,59
2532,r010,All postdocs -> University-administered FFRDCs -> National Optical Astronomy Observatory,All postdocs,University-administered FFRDCs,National Optical Astronomy Observatory,3,1,1
2532,r011,All postdocs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All postdocs,University-administered FFRDCs,National Radio Astronomy Observatory,3,13,16
2532,r012,All postdocs -> University-administered FFRDCs -> National Solar Observatory,All postdocs,University-administered FFRDCs,National Solar Observatory,3,2,4
2532,r013,All postdocs -> University-administered FFRDCs -> Princeton Plasma Physics Laboratory,All postdocs,University-administered FFRDCs,Princeton Plasma Physics Laboratory,3,22,36
2532,r014,All postdocs -> University-administered FFRDCs -> SLAC National Accelerator Laboratory,All postdocs,University-administered FFRDCs,SLAC National Accelerator Laboratory,3,46,66
2532,r015,All postdocs -> University-administered FFRDCs -> Thomas Jefferson National Accelerator Facility,All postdocs,University-administered FFRDCs,Thomas Jefferson National Accelerator Facility,3,84,90
2532,r016,All postdocs -> Nonprofit-administered FFRDCs,All postdocs,Nonprofit-administered FFRDCs,,2,788,912
2532,r017,All postdocs -> Nonprofit-administered FFRDCs -> Brookhaven National Laboratory,All postdocs,Nonprofit-administered FFRDCs,Brookhaven National Laboratory,3,116,159
2532,r018,All postdocs -> Nonprofit-administered FFRDCs -> National Defense Research Institute,All postdocs,Nonprofit-administered FFRDCs,National Defense Research Institute,3,0,1
2532,r019,All postdocs -> Nonprofit-administered FFRDCs -> National Renewable Energy Laboratory,All postdocs,Nonprofit-administered FFRDCs,National Renewable Energy Laboratory,3,102,189
2532,r020,All postdocs -> Nonprofit-administered FFRDCs -> Oak Ridge National Laboratory,All postdocs,Nonprofit-administered FFRDCs,Oak Ridge National Laboratory,3,291,285
2532,r021,All postdocs -> Nonprofit-administered FFRDCs -> Pacific Northwest National Laboratory,All postdocs,Nonprofit-administered FFRDCs,Pacific Northwest National Laboratory,3,279,278
2532,r022,All postdocs -> Industry-administered FFRDCs,All postdocs,Industry-administered FFRDCs,,2,891,1025
2532,r023,All postdocs -> Industry-administered FFRDCs -> Frederick National Laboratory for Cancer Research,All postdocs,Industry-administered FFRDCs,Frederick National Laboratory for Cancer Research,3,22,15
2532,r024,All postdocs -> Industry-administered FFRDCs -> Idaho National Laboratory,All postdocs,Industry-administered FFRDCs,Idaho National Laboratory,3,34,46
2532,r025,All postdocs -> Industry-administered FFRDCs -> Lawrence Livermore National Laboratory,All postdocs,Industry-administered FFRDCs,Lawrence Livermore National Laboratory,3,228,253
2532,r026,All postdocs -> Industry-administered FFRDCs -> Los Alamos National Laboratory,All postdocs,Industry-administered FFRDCs,Los Alamos National Laboratory,3,379,459
2532,r027,All postdocs -> Industry-administered FFRDCs -> Sandia National Laboratories,All postdocs,Industry-administered FFRDCs,Sandia National Laboratories,3,221,251
2532,r028,All postdocs -> Industry-administered FFRDCs -> Savannah River National Laboratory,All postdocs,Industry-administered FFRDCs,Savannah River National Laboratory,3,7,1
