table_id,row_id,location_full_path,location_level_1,location_level_2,location_level_3,location_hierarchy_depth,field_total,field_paid_for_by_the_company,field_paid_for_by_others
12290,r001,Total,Total,,,1,"['149,584', '  ']","['135,009', '  ']","['14,575', 'i ']"
12290,r002,Total -> Puerto Rico<sup>a</sup>,Total,Puerto Rico<sup>a</sup>,,2,"['271', '  ']","['248', '  ']","['23', '  ']"
12290,r003,Total -> Canada,Total,Canada,,2,"['11,083', '  ']","['10,096', '  ']","['987', '  ']"
12290,r004,Total -> Latin America and other Western Hemisphere<sup>b</sup>,Total,Latin America and other Western Hemisphere<sup>b</sup>,,2,"['5,945', '  ']","['5,234', '  ']","['711', 'i ']"
12290,r005,Total -> Latin America and other Western Hemisphere<sup>b</sup> -> Argentina,Total,Latin America and other Western Hemisphere<sup>b</sup>,Argentina,3,"['544', 'i ']","['344', '  ']","['200', 'i ']"
12290,r006,Total -> Latin America and other Western Hemisphere<sup>b</sup> -> Brazil,Total,Latin America and other Western Hemisphere<sup>b</sup>,Brazil,3,"['1,623', '  ']","['1,445', '  ']","['178', 'i ']"
12290,r007,Total -> Latin America and other Western Hemisphere<sup>b</sup> -> Chile,Total,Latin America and other Western Hemisphere<sup>b</sup>,Chile,3,"['271', 'i ']","['239', 'i ']","['32', 'i ']"
12290,r008,Total -> Latin America and other Western Hemisphere<sup>b</sup> -> Mexico,Total,Latin America and other Western Hemisphere<sup>b</sup>,Mexico,3,"['1,649', '  ']","['1,419', '  ']","['230', 'i ']"
12290,r009,Total -> Latin America and other Western Hemisphere<sup>b</sup> -> Other Latin American and Western Hemisphere locations,Total,Latin America and other Western Hemisphere<sup>b</sup>,Other Latin American and Western Hemisphere locations,3,"['1,858', 'i ']","['1,787', 'i ']","['71', 'i ']"
12290,r010,Total -> Africa,Total,Africa,,2,"['633', '  ']","['455', '  ']","['177', 'i ']"
12290,r011,Total -> Africa -> South Africa,Total,Africa,South Africa,3,"['344', 'i ']","['179', '  ']","['165', 'i ']"
12290,r012,Total -> Africa -> Other African locations,Total,Africa,Other African locations,3,"['288', '  ']","['276', '  ']","['12', 'i ']"
12290,r013,Total -> Asia and Pacific,Total,Asia and Pacific,,2,"['52,070', '  ']","['48,282', '  ']","['3,789', 'i ']"
12290,r014,Total -> Asia and Pacific -> Australia,Total,Asia and Pacific,Australia,3,"['2,718', '  ']","['2,439', '  ']","['279', 'i ']"
12290,r015,Total -> Asia and Pacific -> China,Total,Asia and Pacific,China,3,"['13,052', '  ']","['12,067', '  ']","['984', 'i ']"
12290,r016,Total -> Asia and Pacific -> Hong Kong,Total,Asia and Pacific,Hong Kong,3,"['566', '  ']","['542', '  ']","['24', 'i ']"
12290,r017,Total -> Asia and Pacific -> India,Total,Asia and Pacific,India,3,"['18,266', '  ']","['17,567', '  ']","['699', 'i ']"
12290,r018,Total -> Asia and Pacific -> Indonesia,Total,Asia and Pacific,Indonesia,3,"['39', '  ']","['37', '  ']","['2', 'i ']"
12290,r019,Total -> Asia and Pacific -> Japan,Total,Asia and Pacific,Japan,3,"['5,293', '  ']","['4,394', '  ']","['899', 'i ']"
