table_id,row_id,field_sex_race_ethnicity_and_disability_status_full_path,field_sex_race_ethnicity_and_disability_status_level_1,field_sex_race_ethnicity_and_disability_status_level_2,field_sex_race_ethnicity_and_disability_status_level_3,field_sex_race_ethnicity_and_disability_status_level_4,field_sex_race_ethnicity_and_disability_status_hierarchy_depth,field_all_recipients,field_total,field_employed_full_time,field_employed_part_time,field_employed_postdoc,field_unemployed_seeking_work,field_unemployed_not_seeking_work,field_median_salary_for_full_time_employeda_
3328,r001,All SEH fields,All SEH fields,,,,1,73850,71100,54550,3100,13450,1200,1550,82000
3328,r002,All SEH fields -> Female,All SEH fields,Female,,,2,32200,30500,23050,2000,5450,650,1100,76000
3328,r003,All SEH fields -> Male,All SEH fields,Male,,,2,41650,40650,31550,1100,8000,550,500,90000
3328,r004,All SEH fields -> White,All SEH fields,White,,,2,38600,37400,29400,1750,6250,500,700,80000
3328,r005,All SEH fields -> Asian<sup>b</sup>,All SEH fields,Asian<sup>b</sup>,,,2,25000,24050,17700,800,5550,400,550,90000
3328,r006,All SEH fields -> Underrepresented minority<sup>c</sup>,All SEH fields,Underrepresented minority<sup>c</sup>,,,2,8600,8100,6200,550,1400,250,250,78000
3328,r007,All SEH fields -> Without disability,All SEH fields,Without disability,,,2,69250,66800,51250,2950,12600,1050,1400,83000
3328,r008,All SEH fields -> With disability,All SEH fields,With disability,,,2,4600,4300,3300,150,850,100,200,74000
3328,r009,All SEH fields -> Science,All SEH fields,Science,,,2,51700,49750,36650,2350,10750,800,1150,76000
3328,r010,All SEH fields -> Science -> Female,All SEH fields,Science,Female,,3,24650,23300,17150,1450,4650,550,850,73000
3328,r011,All SEH fields -> Science -> Male,All SEH fields,Science,Male,,3,27050,26450,19500,850,6050,300,300,80000
3328,r012,All SEH fields -> Science -> White,All SEH fields,Science,White,,3,28550,27750,21150,1300,5300,300,450,75000
3328,r013,All SEH fields -> Science -> Asian<sup>b</sup>,All SEH fields,Science,Asian<sup>b</sup>,,3,15450,14700,10050,600,4050,300,450,80000
3328,r014,All SEH fields -> Science -> Underrepresented minority<sup>c</sup>,All SEH fields,Science,Underrepresented minority<sup>c</sup>,,3,6350,6000,4500,400,1100,200,150,74000
3328,r015,All SEH fields -> Science -> Without disability,All SEH fields,Science,Without disability,,3,48400,46650,34450,2200,10000,750,1000,77000
3328,r016,All SEH fields -> Science -> With disability,All SEH fields,Science,With disability,,3,3300,3050,2200,150,750,50,150,68000
3328,r017,All SEH fields -> Science -> Biological/ life sciences,All SEH fields,Science,Biological/ life sciences,,3,18100,17300,10550,600,6150,250,550,63000
3328,r018,All SEH fields -> Science -> Biological/ life sciences -> Female,All SEH fields,Science,Biological/ life sciences,Female,4,9800,9200,5800,350,3050,150,400,64000
3328,r019,All SEH fields -> Science -> Biological/ life sciences -> Male,All SEH fields,Science,Biological/ life sciences,Male,4,8300,8100,4750,250,3100,50,150,62000
3328,r020,All SEH fields -> Science -> Biological/ life sciences -> White,All SEH fields,Science,Biological/ life sciences,White,4,9750,9450,6150,300,3050,100,150,65000
3328,r021,All SEH fields -> Science -> Biological/ life sciences -> Asian<sup>b</sup>,All SEH fields,Science,Biological/ life sciences,Asian<sup>b</sup>,4,5650,5350,2900,200,2250,,250,60000
3328,r022,All SEH fields -> Science -> Biological/ life sciences -> Underrepresented minority<sup>c</sup>,All SEH fields,Science,Biological/ life sciences,Underrepresented minority<sup>c</sup>,4,2100,1950,1200,100,650,50,100,65000
3328,r023,All SEH fields -> Science -> Biological/ life sciences -> Without disability,All SEH fields,Science,Biological/ life sciences,Without disability,4,16850,16150,9950,550,5700,200,500,64000
3328,r024,All SEH fields -> Science -> Biological/ life sciences -> With disability,All SEH fields,Science,Biological/ life sciences,With disability,4,1250,1100,600,,450,,S,59000
3328,r025,All SEH fields -> Science -> Computer and information sciences,All SEH fields,Science,Computer and information sciences,,3,3800,3700,3400,100,250,,,119000
3328,r026,All SEH fields -> Science -> Computer and information sciences -> Female,All SEH fields,Science,Computer and information sciences,Female,4,650,600,600,,0.05,,,115000
