table_id,row_id,time_period,_b_total_b_level_1,_b_total_b_level_2,_b_total_b_hierarchy_depth,value
7950,r107,2018,Nonfederal,Applied research,2,10144159
7950,r108,2018,Nonfederal,Experimental development,2,4302590
7950,r109,2019,Total,All R&D expenditures,2,83487471
7950,r110,2019,Total,Basic research,2,52484290
7950,r111,2019,Total,Applied research,2,23294601
7950,r112,2019,Total,Experimental development,2,7708580
7950,r113,2019,Federal,All R&D expenditures,2,44461456
7950,r114,2019,Federal,Basic research,2,28645621
7950,r115,2019,Federal,Applied research,2,12527294
7950,r116,2019,Federal,Experimental development,2,3288541
7950,r117,2019,Nonfederal,All R&D expenditures,2,39026015
7950,r118,2019,Nonfederal,Basic research,2,23838669
7950,r119,2019,Nonfederal,Applied research,2,10767307
7950,r120,2019,Nonfederal,Experimental development,2,4420039
7950,r121,2020,Total,All R&D expenditures,2,86300399
7950,r122,2020,Total,Basic research,2,54128971
7950,r123,2020,Total,Applied research,2,24121789
7950,r124,2020,Total,Experimental development,2,8049639
7950,r125,2020,Federal,All R&D expenditures,2,46114365
7950,r126,2020,Federal,Basic research,2,29292617
7950,r127,2020,Federal,Applied research,2,13062935
7950,r128,2020,Federal,Experimental development,2,3758813
7950,r129,2020,Nonfederal,All R&D expenditures,2,40186034
7950,r130,2020,Nonfederal,Basic research,2,24836354
7950,r131,2020,Nonfederal,Applied research,2,11058854
7950,r132,2020,Nonfederal,Experimental development,2,4290826
7950,r133,2021,Total,All R&D expenditures,2,89723447
7950,r134,2021,Total,Basic research,2,55947468
7950,r135,2021,Total,Applied research,2,25071537
7950,r136,2021,Total,Experimental development,2,8704442
7950,r137,2021,Federal,All R&D expenditures,2,49143460
7950,r138,2021,Federal,Basic research,2,31128457
7950,r139,2021,Federal,Applied research,2,13917379
7950,r140,2021,Federal,Experimental development,2,4097624
7950,r141,2021,Nonfederal,All R&D expenditures,2,40579987
7950,r142,2021,Nonfederal,Basic research,2,24819011
7950,r143,2021,Nonfederal,Applied research,2,11154158
7950,r144,2021,Nonfederal,Experimental development,2,4606818
