table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_companies_u_s_totala_number_,field_united_states,field_alabama,field_alaska,field_arizona,field_arkansas,field_california,field_colorado,field_connecticut,field_delaware,field_district_of_columbia,field_florida,field_georgia,field_hawaii,field_idaho,field_illinois,field_indiana,field_iowa,field_kansas,field_kentucky,field_louisiana,field_maine,field_maryland,field_massachusetts,field_michigan,field_minnesota,field_mississippi,field_missouri,field_montana
6572,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['26,270', '']","['428,968', '']","['1,191', '']","['41', '']","['4,570', '']","['397', '']","['158,850', '']","['5,208', '']","['6,171', '']","['1,436', '']","['277', '']","['5,611', '']","['3,924', '']","['86', '']","['2,608', '']","['13,383', '']","['6,895', '']","['2,285', '']","['1,857', '']","['939', '']","['534', '']","['373', '']","['4,248', '']","['25,955', '']","['18,918', '']","['7,547', '']","['276', '']","['4,150', '']","['176', '']"
6572,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['14,410', '']","['248,109', '']","['764', '']","['16', '']","['3,699', '']","['306', '']","['77,700', '']","['2,971', '']","['5,452', '']","['1,239', '']","['54', '']","['3,045', '']","['2,125', '']","['27', '']","['2,466', '']","['10,753', '']","['6,561', '']","['1,934', '']","['1,297', '']","['692', '']","['201', '']","['246', 'i']","['3,192', '']","['20,040', '']","['17,517', '']","['5,976', '']","['221', '']","['3,290', '']","['99', 'i']"
6572,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['860', '']","['3,937', '']","['9', '']","['2', 'e']","['4', '']","['40', '']","['170', '']","['35', '']","['25', '']","['322 - 436', 'i']","['*', 'e']","['25', '']","['38', '']","['1', 'e']","['104', '']","['807', 'i']","['34', '']","['497', 'i']","['20', '']","['26', '']","['5', '']","['2', '']","['50', '']","['35', '']","['136', '']","['354', '']","['4', '']","['42', '']","['3', '']"
6572,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['350', '']","['971', '']","['*', 'i']","['*', 'e']","['3', '']","['*', 'e']","['59', '']","['9', '']","['1', '']","['*', 'e']","['*', 'e']","['14', '']","['87', '']","['*', 'e']","['*', 'e']","['96', '']","['1', 'e']","['*', 'e']","['3', '']","['36', '']","['*', 'e']","['*', 'e']","['1', 'e']","['4', '']","['3', '']","['1', 'e']","['*', 'e']","['1', 'e']","['*', 'e']"
6572,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['210', '']","['873', '']","['4', '']","['*', 'e']","['1', 'e']","['3', '']","['322', '']","['9', '']","['1', 'e']","['*', 'e']","['0', '']","['16', 'i']","['101', '']","['*', '']","['*', 'e']","['10', '']","['2', 'i']","['*', 'e']","['2', '']","['2', 'i']","['*', 'e']","['1', 'e']","['1', 'e']","['36', '']","['16', '']","['7', '']","['1', 'e']","['1', 'e']","['*', 'e']"
6572,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['80', '']","['180', '']","['1', '']","['*', 'e']","['*', '']","['1', '']","['29', '']","['*', 'e']","['*', 'e']","['*', 'e']","['0', '']","['3', '']","['9', '']","['*', 'e']","['*', 'e']","['*', 'i']","['1', '']","['28', '']","['*', 'e']","['*', 'e']","['1', '']","['*', '']","['*', 'e']","['*', 'e']","['1', 'i']","['14', '']","['1', '']","['*', 'e']","['*', 'e']"
6572,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['90', '']","['1,064', '']","['13', '']","['0', '']","['1', '']","['34', '']","['11', '']","['*', '']","['4', '']","['*', '']","['0', '']","['19', '']","['36', '']","['*', 'e']","['*', 'e']","['18', '']","['2', 'i']","['1', '']","['4', '']","['12', '']","['6', '']","['14', '']","['1', '']","['11', '']","['10', '']","['4', '']","['*', 'e']","['1', 'e']","['*', 'e']"
6572,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['200', '']","['420', 'i']","['1', 'e']","['*', 'e']","['3', 'e']","['1', 'e']","['27', '']","['19', 'i']","['4', '']","['*', 'e']","['*', 'e']","['7', 'e']","['6', 'e']","['*', 'e']","['*', 'e']","['16', 'e']","['5', 'e']","['3', 'e']","['3', 'e']","['6', 'i']","['1', 'e']","['1', 'e']","['3', 'e']","['15', 'i']","['9', '']","['37', 'i']","['*', 'e']","['17', 'i']","['10', 'i']"
6572,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['70', '']","['1,203', '']","['*', 'e']","['*', 'e']","['*', 'e']","['3', '']","['13', '']","['3', '']","['*', 'e']","['*', 'e']","['0', '']","['6', '']","['2', '']","['0', '']","['*', 'e']","['34', '']","['27', '']","['0', '']","['5', '']","['0 - 31', '']","['1', 'e']","['*', 'e']","['9', '']","['*', 'e']","['*', 'e']","['*', 'e']","['2', '']","['3', '']","['0', '']"
6572,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['2,260', '']","['87,288', '']","['83', 'i']","['9', '']","['246', '']","['40', '']","['20,912', '']","['227', '']","['4,490', '']","['662', '']","['27', '']","['760', '']","['274', '']","['8', '']","['25', '']","['5,043', '']","['3,887', '']","['112', '']","['178', '']","['235', '']","['69', '']","['13', '']","['1,843', '']","['12,912', '']","['963', '']","['384', '']","['15', '']","['2,229', '']","['8', '']"
6572,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['240', '']","['2,198', '']","['4', '']","['0', '']","['18', '']","['6', '']","['87', '']","['2', '']","['72', '']","['91', '']","['0', '']","['4', '']","['80', '']","['*', 'e']","['*', 'e']","['63', '']","['16', '']","['52', '']","['5', '']","['15', '']","['26', '']","['*', 'e']","['70', '']","['97', '']","['20', '']","['2', '']","['6', '']","['18', '']","['*', 'e']"
6572,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['170', '']","['1,092', '']","['10', '']","['0', '']","['*', 'e']","['*', '']","['19', '']","['*', 'e']","['1', 'e']","['0 - 149', '']","['0', '']","['2', 'e']","['18', '']","['*', 'e']","['*', 'e']","['18', '']","['5', '']","['4', '']","['2', '']","['19', '']","['0 - 35', '']","['3', '']","['*', 'e']","['11', '']","['125 - 292', '']","['8', '']","['*', 'e']","['1', '']","['0', '']"
6572,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['150', '']","['1,501', '']","['1', '']","['9', '']","['44', '']","['10', '']","['55', '']","['5', '']","['*', 'e']","['0 - 149', '']","['0', '']","['6', '']","['19', '']","['3', '']","['2', '']","['33', '']","['10', '']","['5', '']","['5', '']","['*', '']","['2', 'e']","['*', 'e']","['4', '']","['0 - 146', '']","['20', '']","['2', '']","['2', '']","['29', '']","['1', '']"
6572,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['1,000', '']","['78,652', '']","['61', 'i']","['*', 'e']","['177', '']","['20', '']","['20,507', '']","['209', '']","['4,200', '']","['424', '']","['27', '']","['733', '']","['136', '']","['4', '']","['14', '']","['4,734', '']","['3,836', '']","['38', '']","['99', '']","['27', '']","['8', '']","['10', '']","['1,768', '']","['12,590', '']","['633', '']","['176', '']","['4', 'e']","['2,142', '']","['7', '']"
6572,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['260', '']","['2,596', '']","['1', 'e']","['0', '']","['2', '']","['2', '']","['170', '']","['2', 'e']","['100', '']","['*', 'e']","['0', '']","['12', '']","['13', '']","['*', 'e']","['9', '']","['124', '']","['4', 'e']","['5', 'i']","['63', 'i']","['*', 'e']","['*', 'e']","['*', 'e']","['1', 'e']","['71', '']","['1', 'e']","['135', '']","['*', 'e']","['12', '']","['*', 'e']"
6572,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['460', '']","['1,249', '']","['5', '']","['0', '']","['5', '']","['*', 'e']","['75', '']","['9', '']","['117', '']","['*', 'e']","['0', '']","['3', '']","['8', 'i']","['0', '']","['*', 'e']","['71', 'i']","['16', '']","['8', '']","['4', '']","['174', '']","['0 - 35', 'e']","['*', 'e']","['*', 'e']","['0 - 146', '']","['0 - 161', '']","['61', '']","['3', '']","['26', '']","['1', 'i']"
