table_id,row_id,r_d_activity_full_path,r_d_activity_level_1,r_d_activity_level_2,r_d_activity_hierarchy_depth,field_companies_number_,field_product_innovation_only_new_to_the_business_number_yes,field_product_innovation_only_new_to_the_business_number_no,field_product_innovation_only_new_to_the_business_percent_yes,field_product_innovation_only_new_to_the_business_percent_no
5680,r001,All companies,All companies,,1,"['    4,805,151 ', '&nbsp;']","['    355,669 ', '&nbsp;']","['    4,449,482 ', '&nbsp;']","['    7.4 ', '&nbsp;']","['    92.6 ', '&nbsp;']"
5680,r002,All companies -> R&D-active companies,All companies,R&D-active companies,2,"['    300,921 ', '&nbsp;']","['    124,277 ', '&nbsp;']","['    176,644 ', '&nbsp;']","['    41.3 ', '&nbsp;']","['    58.7 ', '&nbsp;']"
5680,r003,All companies -> Non-R&D-active companies,All companies,Non-R&D-active companies,2,"['    4,504,231 ', '&nbsp;']","['    231,392 ', '&nbsp;']","['    4,272,839 ', '&nbsp;']","['    5.1 ', '&nbsp;']","['    94.9 ', '&nbsp;']"
