table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_agriculture,field_energy,field_environment_and_natural_resources,field_health,field_transportation,field_other
2376,r001,United States<sup>a</sup>,United States<sup>a</sup>,,1,2426883,136396,323154,452270,1082056,260025,172982
2376,r002,United States<sup>a</sup> -> California,United States<sup>a</sup>,California,2,526919,7004,202263,40710,225535,34906,16500
2376,r003,United States<sup>a</sup> -> New York,United States<sup>a</sup>,New York,2,448502,10612,51408,33457,315479,8843,28703
2376,r004,United States<sup>a</sup> -> Texas,United States<sup>a</sup>,Texas,2,233030,1229,0,9798,204709,17295,0
2376,r005,United States<sup>a</sup> -> Florida,United States<sup>a</sup>,Florida,2,170509,11725,557,52486,90373,15367,0
2376,r006,United States<sup>a</sup> -> Ohio,United States<sup>a</sup>,Ohio,2,97758,0,14558,58098,3200,6887,15015
2376,r007,United States<sup>a</sup> -> Pennsylvania,United States<sup>a</sup>,Pennsylvania,2,85051,3187,5324,8385,53336,3914,10905
2376,r008,United States<sup>a</sup> -> Connecticut,United States<sup>a</sup>,Connecticut,2,57241,3857,0,10599,29922,3283,9580
2376,r009,United States<sup>a</sup> -> Washington,United States<sup>a</sup>,Washington,2,51963,17797,7621,16416,1189,5596,3344
2376,r010,United States<sup>a</sup> -> South Carolina,United States<sup>a</sup>,South Carolina,2,46983,1013,87,28246,14541,2159,937
2376,r011,United States<sup>a</sup> -> Oregon,United States<sup>a</sup>,Oregon,2,44223,1639,4550,19897,6000,5412,6726
2376,r012,United States<sup>a</sup> -> Colorado,United States<sup>a</sup>,Colorado,2,36587,722,3184,10799,10027,3288,8567
2376,r013,United States<sup>a</sup> -> Louisiana,United States<sup>a</sup>,Louisiana,2,35142,270,2875,11752,1533,10000,8713
2376,r014,United States<sup>a</sup> -> North Carolina,United States<sup>a</sup>,North Carolina,2,32754,14133,1657,7936,778,7960,291
2376,r015,United States<sup>a</sup> -> Maine,United States<sup>a</sup>,Maine,2,32593,7183,0,12056,2468,1136,9750
2376,r016,United States<sup>a</sup> -> Virginia,United States<sup>a</sup>,Virginia,2,29951,2765,350,7211,3183,12890,3552
2376,r017,United States<sup>a</sup> -> Oklahoma,United States<sup>a</sup>,Oklahoma,2,29608,1059,684,3698,16263,6849,1055
2376,r018,United States<sup>a</sup> -> Maryland,United States<sup>a</sup>,Maryland,2,29108,358,1182,1626,22521,1735,1687
2376,r019,United States<sup>a</sup> -> Massachusetts,United States<sup>a</sup>,Massachusetts,2,28425,50,5049,8939,6632,4425,3330
2376,r020,United States<sup>a</sup> -> Nebraska,United States<sup>a</sup>,Nebraska,2,28168,2852,4,4758,18987,1410,158
2376,r021,United States<sup>a</sup> -> Kentucky,United States<sup>a</sup>,Kentucky,2,26668,627,2020,2531,14470,7020,0
2376,r022,United States<sup>a</sup> -> New Jersey,United States<sup>a</sup>,New Jersey,2,23887,0,0,2192,15865,2717,3112
2376,r023,United States<sup>a</sup> -> Arkansas,United States<sup>a</sup>,Arkansas,2,21099,12519,853,2426,3477,855,968
2376,r024,United States<sup>a</sup> -> Minnesota,United States<sup>a</sup>,Minnesota,2,20151,3701,0,5357,0,11093,0
2376,r025,United States<sup>a</sup> -> Alabama,United States<sup>a</sup>,Alabama,2,19763,0,256,9404,1080,3602,5422
2376,r026,United States<sup>a</sup> -> Georgia,United States<sup>a</sup>,Georgia,2,18875,634,6336,3872,0,8034,0
2376,r027,United States<sup>a</sup> -> Idaho,United States<sup>a</sup>,Idaho,2,17828,5349,0,8365,338,3339,437
2376,r028,United States<sup>a</sup> -> Illinois,United States<sup>a</sup>,Illinois,2,17549,3990,0,0,16,9459,4085
2376,r029,United States<sup>a</sup> -> Wisconsin,United States<sup>a</sup>,Wisconsin,2,17474,3518,0,6060,1141,3755,3000
2376,r030,United States<sup>a</sup> -> Arizona,United States<sup>a</sup>,Arizona,2,17332,1055,0,1078,13843,1356,0
2376,r031,United States<sup>a</sup> -> Missouri,United States<sup>a</sup>,Missouri,2,15056,1154,0,11968,104,1830,0
2376,r032,United States<sup>a</sup> -> Alaska,United States<sup>a</sup>,Alaska,2,12502,0,1102,8392,320,2687,0
2376,r033,United States<sup>a</sup> -> Indiana,United States<sup>a</sup>,Indiana,2,12357,142,268,0,600,8496,2851
2376,r034,United States<sup>a</sup> -> Kansas,United States<sup>a</sup>,Kansas,2,12355,3999,0,3645,0,3715,996
2376,r035,United States<sup>a</sup> -> Mississippi,United States<sup>a</sup>,Mississippi,2,12170,600,0,5579,0,5992,0
2376,r036,United States<sup>a</sup> -> North Dakota,United States<sup>a</sup>,North Dakota,2,12140,2998,6229,1546,30,1337,0
2376,r037,United States<sup>a</sup> -> West Virginia,United States<sup>a</sup>,West Virginia,2,11068,25,1703,4142,1297,2125,1777
2376,r038,United States<sup>a</sup> -> Iowa,United States<sup>a</sup>,Iowa,2,9387,0,0,3798,61,5191,337
2376,r039,United States<sup>a</sup> -> Montana,United States<sup>a</sup>,Montana,2,8794,3133,0,4147,312,821,383
2376,r040,United States<sup>a</sup> -> New Hampshire,United States<sup>a</sup>,New Hampshire,2,8433,115,9,101,0,807,7400
2376,r041,United States<sup>a</sup> -> Michigan,United States<sup>a</sup>,Michigan,2,8023,1247,0,1556,88,5132,0
2376,r042,United States<sup>a</sup> -> Utah,United States<sup>a</sup>,Utah,2,7986,0,0,4538,13,3435,0
2376,r043,United States<sup>a</sup> -> Nevada,United States<sup>a</sup>,Nevada,2,7872,185,0,129,0,973,6585
2376,r044,United States<sup>a</sup> -> Tennessee,United States<sup>a</sup>,Tennessee,2,7439,0,107,906,0,3108,3319
2376,r045,United States<sup>a</sup> -> Hawaii,United States<sup>a</sup>,Hawaii,2,7326,1681,2511,896,0,802,1437
2376,r046,United States<sup>a</sup> -> Wyoming,United States<sup>a</sup>,Wyoming,2,6003,529,262,2152,250,1429,1381
