table_id,row_id,state_or_location_and_institution_full_path,state_or_location_and_institution_level_1,state_or_location_and_institution_level_2,state_or_location_and_institution_level_3,state_or_location_and_institution_hierarchy_depth,field_all_fields,field_science_life_sciences_total,field_science_life_sciences_agricultural_sciences_and_natural_resources,field_science_life_sciences_biological_and_biomedical_sciences,field_science_life_sciences_health_sciences,field_science_physical_sciences_and_earth_sciences_total,field_science_physical_sciences_and_earth_sciences_chemistry,field_science_physical_sciences_and_earth_sciences_geosciences_atmospheric_sciences_and_ocean_sciences,field_science_physical_sciences_and_earth_sciences_physics_and_astronomy,field_science_mathematics_and_computer_sciences_total,field_science_mathematics_and_computer_sciences_computer_and_information_sciences,field_science_mathematics_and_computer_sciences_mathematics_and_statistics,field_science_psychology_and_social_sciences_total,field_science_psychology_and_social_sciences_psychology,field_science_psychology_and_social_sciences_anthropology,field_science_psychology_and_social_sciences_economics,field_science_psychology_and_social_sciences_political_science_and_government,field_science_psychology_and_social_sciences_sociology,field_science_psychology_and_social_sciences_other_social_sciences,field_engineering_total,field_engineering_aerospace_aeronautical_and_astronautical,field_engineering_bioengineering_and_biomedical,field_engineering_chemical,field_engineering_civil,field_engineering_electrical_electronics_and_communications,field_engineering_industrial_and_manufacturing,field_engineering_materials_science,field_engineering_mechanical,field_engineering_other_engineering
1813,r001,All institutions,All institutions,,,1,55195,12780,1445,8801,2534,6335,2810,1185,2340,4030,2004,2026,8899,3837,424,1247,734,669,1988,10183,383,1134,981,677,1951,272,995,1504,2286
1813,r002,All institutions -> Alabama,All institutions,Alabama,,2,667,206,29,129,48,42,15,8,19,35,20,15,82,63,1,6,5,2,5,128,7,6,14,15,19,13,16,21,17
1813,r003,All institutions -> Alabama -> Alabama A&M U.,All institutions,Alabama,Alabama A&M U.,3,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1813,r004,All institutions -> Alabama -> Alabama State U.,All institutions,Alabama,Alabama State U.,3,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1813,r005,"All institutions -> Alabama -> Auburn U., Auburn",All institutions,Alabama,"Auburn U., Auburn",3,253,69,26,27,16,15,4,2,9,13,5,8,34,26,0,5,1,0,2,62,3,3,12,5,9,12,2,12,4
1813,r006,All institutions -> Alabama -> Tuskegee U.,All institutions,Alabama,Tuskegee U.,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
1813,r007,"All institutions -> Alabama -> U. Alabama, Birmingham",All institutions,Alabama,"U. Alabama, Birmingham",3,165,111,0,82,29,5,2,1,2,6,5,1,16,14,0,0,0,2,0,15,0,3,0,1,0,0,6,1,4
1813,r008,"All institutions -> Alabama -> U. Alabama, Huntsville",All institutions,Alabama,"U. Alabama, Huntsville",3,25,3,0,3,0,5,0,2,3,5,4,1,0,0,0,0,0,0,0,12,0,0,2,1,3,1,1,2,2
1813,r009,"All institutions -> Alabama -> U. Alabama, Tuscaloosa",All institutions,Alabama,"U. Alabama, Tuscaloosa",3,182,10,1,7,2,16,9,2,5,10,5,5,26,17,1,1,4,0,3,35,4,0,0,8,7,0,5,6,5
1813,r010,All institutions -> Alabama -> U. South Alabama,All institutions,Alabama,U. South Alabama,3,23,8,0,7,1,1,0,1,0,1,1,0,6,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
1813,r011,All institutions -> Alaska,All institutions,Alaska,,2,56,17,7,10,0,15,0,13,2,0,0,0,15,5,0,2,0,0,8,3,0,0,0,0,0,0,0,0,3
1813,r012,"All institutions -> Alaska -> U. Alaska, Anchorage",All institutions,Alaska,"U. Alaska, Anchorage",3,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1813,r013,"All institutions -> Alaska -> U. Alaska, Fairbanks",All institutions,Alaska,"U. Alaska, Fairbanks",3,54,17,7,10,0,15,0,13,2,0,0,0,13,3,0,2,0,0,8,3,0,0,0,0,0,0,0,0,3
1813,r014,All institutions -> Arizona,All institutions,Arizona,,2,764,130,15,84,31,95,24,31,40,52,22,30,139,38,8,8,10,3,72,144,3,13,14,5,37,7,15,13,37
1813,r015,All institutions -> Arizona -> Arizona State U.,All institutions,Arizona,Arizona State U.,3,338,43,5,31,7,17,5,6,6,31,18,13,56,20,5,2,4,0,25,96,1,8,7,3,28,7,12,9,21
1813,r016,All institutions -> Arizona -> Northern Arizona U.,All institutions,Arizona,Northern Arizona U.,3,27,8,0,7,1,2,0,2,0,0,0,0,13,1,0,0,5,0,7,1,0,0,0,0,0,0,0,0,1
1813,r017,All institutions -> Arizona -> Prescott C.,All institutions,Arizona,Prescott C.,3,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1813,r018,All institutions -> Arizona -> U. Arizona,All institutions,Arizona,U. Arizona,3,389,78,10,45,23,76,19,23,34,21,4,17,69,17,3,6,1,3,39,47,2,5,7,2,9,0,3,4,15
1813,r019,All institutions -> Arkansas,All institutions,Arkansas,,2,266,93,29,44,20,23,6,3,14,13,8,5,20,7,3,2,0,0,8,54,0,3,4,5,12,8,5,6,11
1813,r020,"All institutions -> Arkansas -> Arkansas State U., Jonesboro",All institutions,Arkansas,"Arkansas State U., Jonesboro",3,8,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0
1813,r021,All institutions -> Arkansas -> U. Arkansas for Medical Sciences,All institutions,Arkansas,U. Arkansas for Medical Sciences,3,33,32,0,21,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1813,r022,"All institutions -> Arkansas -> U. Arkansas, Fayetteville",All institutions,Arkansas,"U. Arkansas, Fayetteville",3,197,53,26,18,9,17,3,3,11,5,3,2,16,7,3,2,0,0,4,48,0,3,4,5,12,8,4,4,8
1813,r023,"All institutions -> Arkansas -> U. Arkansas, Little Rock",All institutions,Arkansas,"U. Arkansas, Little Rock",3,28,5,0,5,0,5,2,0,3,8,5,3,2,0,0,0,0,0,2,5,0,0,0,0,0,0,0,2,3
1813,r024,All institutions -> California,All institutions,California,,2,6076,1232,97,1003,132,884,373,189,322,486,260,226,1180,513,57,173,100,90,247,1189,46,161,94,65,259,2,155,186,221
