table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies_companies_number_,field_all_companies_amount,field_1_4_employees_companies_number_,field_1_4_employees_amount,field_5_9_employees_companies_number_,field_5_9_employees_amount
10975,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['15,339', '&#160;']","['6,124,669', '&#160;']","['9,611', '&#160;']","['2,590,797', '&#160;']","['5,727', '&#160;']","['3,533,871', '&#160;']"
10975,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['2,029', '&#160;']","['747,124', '&#160;']","['941', '&#160;']","['326,147', '&#160;']","['1,089', '&#160;']","['420,977', '&#160;']"
10975,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['71', 'r']","['18,270', 'r']","['16', '&#160;']","['7,327', '&#160;']","['54', 'r']","['10,944', 'r']"
10975,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['20', '&#160;']","['7,096', 'r']","['20', '&#160;']","['7,096', 'r']","['0', '&#160;']","['0', '&#160;']"
10975,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['0', '&#160;']","['134', '&#160;']","['0', '&#160;']","['134', '&#160;']","['0', '&#160;']","['0', '&#160;']"
10975,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['0', '&#160;']","['0', '&#160;']","['0', '&#160;']","['0', '&#160;']","['0', '&#160;']","['0', '&#160;']"
10975,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&#160;']","['0', '&#160;']","['0', '&#160;']","['0', '&#160;']","['0', '&#160;']","['0', '&#160;']"
10975,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['2', '&#160;']","['739', '&#160;']","['0', '&#160;']","['0', '&#160;']","['2', '&#160;']","['739', '&#160;']"
10975,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['320', '&#160;']","['132,255', '&#160;']","['164', '&#160;']","['65,465', '&#160;']","['156', '&#160;']","['66,790', '&#160;']"
10975,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['133', '&#160;']","['96,666', '&#160;']","['91', '&#160;']","['53,353', '&#160;']","['43', '&#160;']","['43,313', '&#160;']"
10975,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['186', '&#160;']","['35,589', '&#160;']","['74', '&#160;']","['12,112', '&#160;']","['112', '&#160;']","['23,477', '&#160;']"
10975,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['22', '&#160;']","['6,427', '&#160;']","['11', '&#160;']","['2,453', 'r']","['13', '&#160;']","['3,974', '&#160;']"
10975,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['16', 'r']","['3,638', 'r']","['15', 'r']","['3,187', 'r']","['3', 'r']","['450', '&#160;']"
10975,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['19', 'r']","['2,117', '&#160;']","['0', '&#160;']","['508', '&#160;']","['18', 'r']","['1,609', 'r']"
10975,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['70', 'r']","['11,983', 'r']","['34', 'r']","['6,702', 'r']","['37', 'r']","['5,281', 'r']"
10975,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['231', '&#160;']","['64,109', '&#160;']","['127', '&#160;']","['28,854', '&#160;']","['103', '&#160;']","['35,255', '&#160;']"
10975,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['724', '&#160;']","['279,203', '&#160;']","['337', '&#160;']","['88,957', '&#160;']","['387', '&#160;']","['190,246', '&#160;']"
10975,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['181', '&#160;']","['71,280', '&#160;']","['90', '&#160;']","['30,231', '&#160;']","['90', '&#160;']","['41,049', '&#160;']"
10975,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['394', '&#160;']","['164,799', '&#160;']","['167', '&#160;']","['42,347', '&#160;']","['226', '&#160;']","['122,452', '&#160;']"
10975,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['150', '&#160;']","['43,124', '&#160;']","['83', '&#160;']","['16,379', '&#160;']","['69', '&#160;']","['26,745', 'r']"
10975,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['145', '&#160;']","['40,032', '&#160;']","['50', '&#160;']","['8,370', '&#160;']","['94', 'r']","['31,662', '&#160;']"
10975,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['78', '&#160;']","['33,911', '&#160;']","['42', '&#160;']","['19,845', '&#160;']","['37', '&#160;']","['14,066', '&#160;']"
10975,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['34', '&#160;']","['13,003', '&#160;']","['17', '&#160;']","['7,688', 'r']","['16', '&#160;']","['5,315', '&#160;']"
10975,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['46', '&#160;']","['20,908', '&#160;']","['25', 'r']","['12,157', 'r']","['22', '&#160;']","['8,752', '&#160;']"
10975,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['4', '&#160;']","['1,471', 'r']","['2', 'r']","['1,094', 'r']","['3', 'r']","['377', '&#160;']"
10975,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['306', '&#160;']","['145,741', '&#160;']","['118', '&#160;']","['86,156', 'r']","['187', '&#160;']","['59,584', '&#160;']"
10975,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['13,312', '&#160;']","['5,377,544', '&#160;']","['8,671', '&#160;']","['2,264,650', '&#160;']","['4,639', '&#160;']","['3,112,894', '&#160;']"
10975,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['546', '&#160;']","['143,063', '&#160;']","['207', '&#160;']","['35,526', '&#160;']","['339', '&#160;']","['107,536', '&#160;']"
