table_id,row_id,_b_state_institutional_control_system_and_institution_b_full_path,_b_state_institutional_control_system_and_institution_b_level_1,_b_state_institutional_control_system_and_institution_b_level_2,_b_state_institutional_control_system_and_institution_b_level_3,_b_state_institutional_control_system_and_institution_b_level_4,_b_state_institutional_control_system_and_institution_b_hierarchy_depth,field_all_r_d_expenditures
7947,r001,Alabama,Alabama,,,,1,"['1,274,367', '']"
7947,r002,Alabama -> Public,Alabama,Public,,,2,"['1,252,354', '']"
7947,r003,Alabama -> Public -> Alabama A&M U.,Alabama,Public,Alabama A&M U.,,3,"['9,065', 'i']"
7947,r004,Alabama -> Public -> Alabama State U.,Alabama,Public,Alabama State U.,,3,"['2,631', '']"
7947,r005,Alabama -> Public -> Auburn U. System,Alabama,Public,Auburn U. System,,3,"['266,816', '']"
7947,r006,"Alabama -> Public -> Auburn U. System -> Auburn U., Auburn",Alabama,Public,Auburn U. System,"Auburn U., Auburn",4,"['266,374', '']"
7947,r007,"Alabama -> Public -> Auburn U. System -> Auburn U., Montgomery",Alabama,Public,Auburn U. System,"Auburn U., Montgomery",4,"['442', '']"
7947,r008,Alabama -> Public -> Jacksonville State U.,Alabama,Public,Jacksonville State U.,,3,"['275', '']"
7947,r009,Alabama -> Public -> Troy U.,Alabama,Public,Troy U.,,3,"['1,548', '']"
7947,r010,Alabama -> Public -> U. Alabama System,Alabama,Public,U. Alabama System,,3,"['923,631', '']"
7947,r011,"Alabama -> Public -> U. Alabama System -> U. Alabama, Birmingham",Alabama,Public,U. Alabama System,"U. Alabama, Birmingham",4,"['644,330', '']"
7947,r012,"Alabama -> Public -> U. Alabama System -> U. Alabama, Huntsville",Alabama,Public,U. Alabama System,"U. Alabama, Huntsville",4,"['149,792', '']"
7947,r013,"Alabama -> Public -> U. Alabama System -> U. Alabama, Tuscaloosa",Alabama,Public,U. Alabama System,"U. Alabama, Tuscaloosa",4,"['129,509', '']"
7947,r014,Alabama -> Public -> U. North Alabama,Alabama,Public,U. North Alabama,,3,"['539', '']"
7947,r015,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,,3,"['47,610', '']"
7947,r016,Alabama -> Public -> U. West Alabama,Alabama,Public,U. West Alabama,,3,"['239', '']"
7947,r017,Alabama -> Private,Alabama,Private,,,2,"['22,013', '']"
7947,r018,"Alabama -> Private -> Alabama C., Osteopathic Medicine",Alabama,Private,"Alabama C., Osteopathic Medicine",,3,"['184', '']"
7947,r019,Alabama -> Private -> Oakwood U.,Alabama,Private,Oakwood U.,,3,"['474', '']"
7947,r020,Alabama -> Private -> Tuskegee U.,Alabama,Private,Tuskegee U.,,3,"['21,355', '']"
7947,r021,Alaska,Alaska,,,,1,"['196,501', '']"
7947,r022,Alaska -> Public (U. Alaska System),Alaska,Public (U. Alaska System),,,2,"['195,465', '']"
7947,r023,"Alaska -> Public (U. Alaska System) -> U. Alaska, Anchorage",Alaska,Public (U. Alaska System),"U. Alaska, Anchorage",,3,"['21,332', '']"
