table_id,row_id,_b_type_of_institution_b_full_path,_b_type_of_institution_b_level_1,_b_type_of_institution_b_level_2,_b_type_of_institution_b_level_3,_b_type_of_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_r_d_expenditures_passed_through_to_subrecipients_total,field_r_d_expenditures_passed_through_to_subrecipients_to_higher_education_subrecipients,field_r_d_expenditures_passed_through_to_subrecipients_to_businesses,field_r_d_expenditures_passed_through_to_subrecipients_to_nonprofit_organizations,field_r_d_expenditures_passed_through_to_subrecipients_to_other_subrecipients
12722,r001,"Total R&D, all institutions","Total R&D, all institutions",,,1,108681008,9514892,5187467,1711781,1724170,891474
12722,r002,"Total R&D, all institutions -> Doctorate","Total R&D, all institutions",Doctorate,,2,107813315,9473272,5160665,1707534,1718274,886799
12722,r003,"Total R&D, all institutions -> Nondoctorate","Total R&D, all institutions",Nondoctorate,,2,867693,41620,26802,4247,5896,4675
12722,r004,"Total R&D, all institutions -> Public","Total R&D, all institutions",Public,,2,71001044,5737216,3178188,1104624,867137,587267
12722,r005,"Total R&D, all institutions -> Private","Total R&D, all institutions",Private,,2,37679964,3777676,2009279,607157,857033,304207
12722,r006,"Total R&D, all institutions -> Federally financed R&D, all institutions","Total R&D, all institutions","Federally financed R&D, all institutions",,2,59603993,8205341,4657136,1379718,1442979,725508
12722,r007,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Doctorate","Total R&D, all institutions","Federally financed R&D, all institutions",Doctorate,3,59120821,8172258,4634321,1375928,1439126,722883
12722,r008,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Nondoctorate","Total R&D, all institutions","Federally financed R&D, all institutions",Nondoctorate,3,483172,33083,22815,3790,3853,2625
12722,r009,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Public","Total R&D, all institutions","Federally financed R&D, all institutions",Public,3,37015780,5026899,2844526,952144,728626,501603
12722,r010,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Private","Total R&D, all institutions","Federally financed R&D, all institutions",Private,3,22588213,3178442,1812610,427574,714353,223905
