table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_level_4,agency_level_5,agency_hierarchy_depth,field_total,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_engineering,field_other_fields
10262,r001,All agencies,All agencies,,,,,1,43750114,3085502,1796822,19169498,212312,1612352,1835546,832410,10223332,4982338
10262,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,
10262,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,1361790,14353,22755,969211,7184,51201,11828,153027,48775,83456
10262,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,6663,0,0,6663,0,0,0,0,0,0
10262,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,604161,785,2658,555043,0,38787,0,1450,5437,0
10262,r006,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,85476,0,0,0,0,0,0,85476,0,0
10262,r007,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,154223,0,1826,120354,0,2191,0,25460,4392,0
10262,r008,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,5151,5151,0,0,0,0,0,0,0,0
10262,r009,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,505111,8417,18271,286146,7184,10223,11828,40641,38945,83456
10262,r010,All agencies -> Departments -> Department of Agriculture -> Natural Resources Conservation Service,All agencies,Departments,Department of Agriculture,Natural Resources Conservation Service,,4,1004,0,0,1004,0,0,0,0,0,0
10262,r011,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,1228287,179958,541903,82325,8774,74411,0.05,52563,272716,15597
10262,r012,All agencies -> Departments -> Department of Commerce -> Census Bureau,All agencies,Departments,Department of Commerce,Census Bureau,,4,55936,14013,0,0,5692,0,0,36232,0,0
10262,r013,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,506747,162260,9020,26853,1240,50469,0.05,399,256466,0
10262,r014,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,658725,3685,532883,55472,1842,23942,0,15932,9371,15597
10262,r015,All agencies -> Departments -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Departments,Department of Commerce,National Telecommunications and Information Administration,,4,6879,0,0,0,0,0,0,0,6879,0
10262,r016,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,6900567,1979309,343244,764435,9063,385593,66718,11414,2746963,593829
10262,r017,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,1335666,657228,51841,200101,306,36662,11933,167,284456,92972
10262,r018,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,114779,0,0,111887,0,0.05,0,0,388,2490
10262,r019,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,1683718,165073,0,70686,0,203000,0,0,1199681,45277
10262,r020,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,1372202,777914,8467,212479,0,4587,51764,0,0,316991
10262,r021,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,1023460,139519,282712,51376,0,33602,1315,3967,477637,33333
10262,r022,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,1370742,239574,225,117906,8757,107728,1706,7280,784801,102766
10262,r023,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,232600,0,0,0,0,0,0,0,0,232600
10262,r024,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,5276862,619417,84970,26349,4083,884048,0,0,3648204,9790
10262,r025,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,157363,15308,1582,26219,0,0,0,0,114253,0
10262,r026,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,49592,0,0,0,0,0,0,0,49592,0
10262,r027,All agencies -> Departments -> Department of Energy -> Energy Efficiency and Renewable Energy,All agencies,Departments,Department of Energy,Energy Efficiency and Renewable Energy,,4,1394973,0,0,0,0,0,0,0,1394973,0
10262,r028,All agencies -> Departments -> Department of Energy -> Environmental Management,All agencies,Departments,Department of Energy,Environmental Management,,4,9902,0,9902,0,0,0,0,0,0,0
10262,r029,All agencies -> Departments -> Department of Energy -> Fossil Energy,All agencies,Departments,Department of Energy,Fossil Energy,,4,689372,0,65490,0,0,109610,0,0,514272,0
10262,r030,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,2485060,602176,4942,130,4083,761599,0,0,1112131,0
10262,r031,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,2328172,585635,0,0,0,640781,0,0,1101756,0
10262,r032,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,156888,16541,4942,130,4083,120818,0,0,10375,0
10262,r033,All agencies -> Departments -> Department of Energy -> Nuclear Energy,All agencies,Departments,Department of Energy,Nuclear Energy,,4,346454,0,0,0,0,0,0,0,346454,0
10262,r034,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,144146,1933,3054,0,0,12839,0,0,116530,9790
10262,r035,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,21209856,35256,246620,15398125,174243,113222,1738826,397567,1374605,1731392
10262,r036,All agencies -> Departments -> Department of Health and Human Services -> Administration for Children and Families,All agencies,Departments,Department of Health and Human Services,Administration for Children and Families,,4,4590,0,0,0,0,0,0,4590,0,0
10262,r037,All agencies -> Departments -> Department of Health and Human Services -> Administration for Community Living,All agencies,Departments,Department of Health and Human Services,Administration for Community Living,,4,106908,0,0,0,0,0,0,106908,0,0
10262,r038,All agencies -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,,4,308145,34989,0,172574,8400,0,7799,20813,803,62767
10262,r039,All agencies -> Departments -> Department of Health and Human Services -> Agency for Toxic Substances and Disease Registry,All agencies,Departments,Department of Health and Human Services,Agency for Toxic Substances and Disease Registry,,4,10935,0,10935,0,0,0,0,0,0,0
10262,r040,All agencies -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,,4,592250,267,0,512096,236,2609,618,42874,23777,9773
10262,r041,All agencies -> Departments -> Department of Health and Human Services -> Food and Drug Administration,All agencies,Departments,Department of Health and Human Services,Food and Drug Administration,,4,589144,0,0,589144,0,0,0,0,0,0
10262,r042,All agencies -> Departments -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Departments,Department of Health and Human Services,Health Resources and Services Administration,,4,29521,0,0,29521,0,0,0,0,0,0
10262,r043,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,19550976,0,235684,14094791,165606,110612,1730409,222382,1350025,1641467
10262,r044,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,,4,17386,0,0,0,0,0,0,0,0,17386
10262,r045,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services -> Office of the Assistant Secretary for Planning and Evaluation,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,Office of the Assistant Secretary for Planning and Evaluation,5,17386,0,0,0,0,0,0,0,0,17386
10262,r046,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,187372,55839,1126,1751,0,14273,65,0,63524,50794
10262,r047,All agencies -> Departments -> Department of Homeland Security -> Coast Guard,All agencies,Departments,Department of Homeland Security,Coast Guard,,4,2995,1030,100,0,0,0,65,0,1800,0
10262,r048,All agencies -> Departments -> Department of Homeland Security -> Countering Weapons of Mass Destruction Office,All agencies,Departments,Department of Homeland Security,Countering Weapons of Mass Destruction Office,,4,15266,4559,0,1751,0,8955,0,0,0,0
10262,r049,All agencies -> Departments -> Department of Homeland Security -> Cybersecurity and Infrastructure Security Agency,All agencies,Departments,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,,4,9032,7213,1026,0,0,0,0,0,793,0
