table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_sales_worldwide,field_sales_domestic,field_sales_foreign
2703,r001,All business activities,All business activities,,1,21100–81000,"['14,458,452', '  ']","['10,698,764', '  ']","['3,759,688', '  ']"
2703,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['178,064', '  ']","['91,319', '  ']","['86,746', '  ']"
2703,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['44,894', '  ']","['25,850', '  ']","['19,044', '  ']"
2703,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['84,371', '  ']","['54,537', '  ']","['29,834', '  ']"
2703,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['333,570', '  ']","['328,791', '  ']","['4,779', '  ']"
2703,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['88,086', '  ']","['80,353', '  ']","['7,733', '  ']"
2703,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['718,232', '  ']","['527,388', '  ']","['190,844', '  ']"
2703,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['138,526', '  ']","['92,213', '  ']","['46,313', '  ']"
2703,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['67,551', '  ']","['35,613', '  ']","['31,938', '  ']"
2703,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['84,253', '  ']","['58,770', '  ']","['25,483', '  ']"
2703,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['41,022', '  ']","['34,873', '  ']","['6,148', '  ']"
2703,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['155,504', '  ']","['118,476', '  ']","['37,028', '  ']"
2703,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['36,023', '  ']","['31,028', '  ']","['4,995', '  ']"
2703,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['586,677', '  ']","['332,549', '  ']","['254,128', '  ']"
2703,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['17,795', '  ']","['11,426', '  ']","['6,369', '  ']"
2703,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['16,008', '  ']","['13,238', '  ']","['2,770', '  ']"
2703,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['262,008', '  ']","['181,047', '  ']","['80,961', '  ']"
2703,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['128,125', '  ']","['76,867', '  ']","['51,258', '  ']"
2703,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemicals manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemicals manufacturing",2,32530,"['83,309', '  ']","['53,085', '  ']","['30,224', '  ']"
2703,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",2,32541,"['681,423', '  ']","['521,549', '  ']","['159,874', '  ']"
