table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_basic_research,field_applied_research,field_development
2706,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['441,036', '  ']","['28,980', '  ']","['65,222', '  ']","['346,834', '  ']"
2706,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['274,075', '  ']","['20,873', '  ']","['44,027', '  ']","['209,175', '  ']"
2706,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,654', '  ']","['442', 'i ']","['1,457', 'i ']","['2,755', '  ']"
2706,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,113', '  ']","['121', '  ']","['254', '  ']","['738', '  ']"
2706,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['989', '  ']","['55', '  ']","['82', '  ']","['853', '  ']"
2706,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['203', '  ']","['13', '  ']","['38', '  ']","['153', '  ']"
2706,r007,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['242', '  ']","['18', '  ']","['37', '  ']","['187', '  ']"
2706,r008,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['84,137', '  ']","['11,972', '  ']","['18,531', '  ']","['53,635', '  ']"
2706,r009,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['74,592', '  ']","['10,957', '  ']","['16,177', '  ']","['47,458', '  ']"
2706,r010,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['9,545', '  ']","['1,015', '  ']","['2,353', '  ']","['6,177', '  ']"
2706,r011,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['2,751', '  ']","['168', '  ']","['457', '  ']","['2,126', '  ']"
2706,r012,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,385', '  ']","['200', 'i ']","['301', 'i ']","['884', 'i ']"
2706,r013,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['839', '  ']","['39', '  ']","['122', '  ']","['678', '  ']"
2706,r014,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,327', '  ']","['128', '  ']","['465', '  ']","['1,734', '  ']"
2706,r015,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['14,799', '  ']","['939', '  ']","['1,697', '  ']","['12,162', '  ']"
2706,r016,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['83,697', '  ']","['2,445', '  ']","['9,947', '  ']","['71,305', '  ']"
2706,r017,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['31,052', '  ']","['631', 'i ']","['3,287', 'i ']","['27,135', 'i ']"
2706,r018,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['16,727', '  ']","['905', 'i ']","['2,327', '  ']","['13,494', '  ']"
