table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_male,field_female
7898,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['39,087', '&nbsp;']","['30,961', '&nbsp;']","['8,126', '&nbsp;']"
7898,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['4,776', '&nbsp;']","['3,956', '&nbsp;']","['820', '&nbsp;']"
7898,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['103', '&nbsp;']","['92', '&nbsp;']","['11', 'r']"
7898,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['8', 'r']","['3', 'r']","['5', 'r']"
7898,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7898,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7898,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7898,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7898,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['1,177', '&nbsp;']","['845', '&nbsp;']","['332', '&nbsp;']"
7898,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['361', '&nbsp;']","['239', '&nbsp;']","['122', '&nbsp;']"
7898,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['816', '&nbsp;']","['606', '&nbsp;']","['210', '&nbsp;']"
7898,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['133', '&nbsp;']","['118', '&nbsp;']","['16', '&nbsp;']"
7898,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['3', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']"
7898,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['30', '&nbsp;']","['27', '&nbsp;']","['3', 'r']"
7898,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['298', 'r']","['260', 'r']","['38', 'r']"
7898,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['499', '&nbsp;']","['451', '&nbsp;']","['48', '&nbsp;']"
7898,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['1,658', '&nbsp;']","['1,425', '&nbsp;']","['233', '&nbsp;']"
7898,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['332', '&nbsp;']","['303', '&nbsp;']","['29', '&nbsp;']"
7898,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['1,066', '&nbsp;']","['879', '&nbsp;']","['186', '&nbsp;']"
7898,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['260', '&nbsp;']","['243', '&nbsp;']","['18', '&nbsp;']"
7898,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['225', '&nbsp;']","['210', '&nbsp;']","['15', 'r']"
7898,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['262', '&nbsp;']","['245', '&nbsp;']","['17', '&nbsp;']"
7898,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['152', '&nbsp;']","['140', '&nbsp;']","['13', '&nbsp;']"
7898,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['110', '&nbsp;']","['105', '&nbsp;']","['4', 'r']"
7898,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['3', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']"
7898,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['375', '&nbsp;']","['275', '&nbsp;']","['101', '&nbsp;']"
7898,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['34,311', '&nbsp;']","['27,005', '&nbsp;']","['7,306', '&nbsp;']"
7898,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['1,928', '&nbsp;']","['1,497', '&nbsp;']","['431', 'r']"
7898,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['6,767', '&nbsp;']","['5,540', '&nbsp;']","['1,227', '&nbsp;']"
7898,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['4,644', '&nbsp;']","['3,761', '&nbsp;']","['883', '&nbsp;']"
7898,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['2,123', '&nbsp;']","['1,779', '&nbsp;']","['344', '&nbsp;']"
7898,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['4,422', '&nbsp;']","['3,647', '&nbsp;']","['775', '&nbsp;']"
7898,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['10,277', '&nbsp;']","['8,653', '&nbsp;']","['1,624', '&nbsp;']"
7898,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['10,917', '&nbsp;']","['7,669', '&nbsp;']","['3,248', '&nbsp;']"
7898,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['1,145', '&nbsp;']","['891', '&nbsp;']","['254', '&nbsp;']"
7898,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['3,541', '&nbsp;']","['2,169', '&nbsp;']","['1,372', '&nbsp;']"
7898,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['6,131', '&nbsp;']","['4,543', '&nbsp;']","['1,588', '&nbsp;']"
7898,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['100', '&nbsp;']","['66', '&nbsp;']","['35', '&nbsp;']"
