table_id,row_id,fos_item_full_path,fos_item_level_1,fos_item_level_2,fos_item_hierarchy_depth,field_2020_sed_fos_codes,field_2021_sed_cip_codes,field_change_percentage_point_
7648,r001,Total ,Total ,,1,69.2,65.6,-3.6
7648,r002,Total  -> Associate's degree,Total ,Associate's degree,2,64.5,71.3,6.8
7648,r003,Total  -> Bachelor's degree,Total ,Bachelor's degree,2,78.9,68.9,-10
7648,r004,Total  -> Master's degree,Total ,Master's degree,2,68.0,58.5,-9.5
7648,r005,Total  -> Doctoral degree,Total ,Doctoral degree,2,79.5,81.8,2.3
7648,r006,Total  -> Dissertation research,Total ,Dissertation research,2,52.9,39.0,-13.9
