table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_all_federal_r_d_expenditures,field_dod,field_doe,field_hhs,field_nasa,field_nsf,field_usda,field_othera
12661,r001,All R&D fields,All R&D fields,,,,1,59603993,9047729,2671326,33097927,2295593,6699546,1700216,4091656
12661,r002,All R&D fields -> Science,All R&D fields,Science,,,2,46947867,4260197,1466742,31317960,1570433,4579053,1552432,2201050
12661,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,2417938,1089161,71235,194801,30726,844522,19686,167807
12661,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,2693891,321866,123855,59854,538770,886194,40799,722553
12661,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,583161,76730,27141,3750,178388,110762,2386,184004
12661,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,921482,75696,74059,6891,234313,347686,20629,162208
12661,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,891194,157043,12613,12340,82347,364017,5816,257018
12661,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,298054,12397,10042,36873,43722,63729,11968,119323
12661,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,33896235,1632039,236841,28903440,91364,907224,1385357,739970
12661,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,1458868,18706,45986,201617,10573,98938,950048,133000
